carnegie_id,AffiliationId,year,student.grad_students
102049.0,83321563.0,2010,1777.0
102049.0,83321563.0,2011,1808.0
102049.0,83321563.0,2012,1793.0
102049.0,83321563.0,2013,1820.0
102049.0,83321563.0,2014,1882.0
102049.0,83321563.0,2015,2038.0
102049.0,83321563.0,2016,2130.0
102049.0,83321563.0,2017,2136.0
102049.0,83321563.0,2018,2084.0
102049.0,83321563.0,2019,2101.0
102049.0,83321563.0,2020,2153.0
102049.0,83321563.0,2021,2151.0
102094.0,83809506.0,2001,466.0
102094.0,83809506.0,2002,1173.0
102094.0,83809506.0,2003,2670.0
102094.0,83809506.0,2004,2734.0
102094.0,83809506.0,2005,2715.0
102094.0,83809506.0,2006,2736.0
102094.0,83809506.0,2007,2810.0
102094.0,83809506.0,2008,3016.0
102094.0,83809506.0,2009,3114.0
102094.0,83809506.0,2010,3118.0
102094.0,83809506.0,2011,3191.0
102094.0,83809506.0,2012,3321.0
102094.0,83809506.0,2013,3758.0
102094.0,83809506.0,2014,4326.0
102094.0,83809506.0,2015,4687.0
102094.0,83809506.0,2016,4682.0
102094.0,83809506.0,2017,4581.0
102094.0,83809506.0,2018,4541.0
102094.0,83809506.0,2019,4796.0
102094.0,83809506.0,2020,5174.0
102094.0,83809506.0,2021,5159.0
102234.0,50213246.0,2001,219.0
102234.0,50213246.0,2002,246.0
102234.0,50213246.0,2003,268.0
102234.0,50213246.0,2004,215.0
102234.0,50213246.0,2005,198.0
102234.0,50213246.0,2006,228.0
102234.0,50213246.0,2007,220.0
102234.0,50213246.0,2008,216.0
102234.0,50213246.0,2009,211.0
102234.0,50213246.0,2010,218.0
102234.0,50213246.0,2011,182.0
102234.0,50213246.0,2012,128.0
102234.0,50213246.0,2013,130.0
102234.0,50213246.0,2014,139.0
102234.0,50213246.0,2015,127.0
102234.0,50213246.0,2016,95.0
102234.0,50213246.0,2017,108.0
102234.0,50213246.0,2018,125.0
102234.0,50213246.0,2019,130.0
102234.0,50213246.0,2020,130.0
102234.0,50213246.0,2021,117.0
102368.0,149292303.0,2001,1680.0
102368.0,149292303.0,2002,3280.0
102368.0,149292303.0,2003,3175.0
102368.0,149292303.0,2004,7602.0
102368.0,149292303.0,2005,8102.0
102368.0,149292303.0,2006,7869.0
102368.0,149292303.0,2007,7657.0
102368.0,149292303.0,2008,7159.0
102368.0,149292303.0,2009,7116.0
102368.0,149292303.0,2010,6075.0
102368.0,149292303.0,2011,5582.0
102368.0,149292303.0,2012,4642.0
102368.0,149292303.0,2013,4257.0
102368.0,149292303.0,2014,3927.0
102368.0,149292303.0,2015,3575.0
102368.0,149292303.0,2016,3711.0
102368.0,149292303.0,2017,3521.0
102368.0,149292303.0,2018,3529.0
102368.0,149292303.0,2019,3441.0
102368.0,149292303.0,2020,3785.0
102368.0,149292303.0,2021,3604.0
102377.0,6026837.0,2001,50.0
102377.0,6026837.0,2002,168.0
102377.0,6026837.0,2003,150.0
102377.0,6026837.0,2004,159.0
102377.0,6026837.0,2005,148.0
102377.0,6026837.0,2006,186.0
102377.0,6026837.0,2007,186.0
102377.0,6026837.0,2008,207.0
102377.0,6026837.0,2009,456.0
102377.0,6026837.0,2010,466.0
102377.0,6026837.0,2011,468.0
102377.0,6026837.0,2012,512.0
102377.0,6026837.0,2013,534.0
102377.0,6026837.0,2014,515.0
102377.0,6026837.0,2015,510.0
102377.0,6026837.0,2016,458.0
102377.0,6026837.0,2017,456.0
102377.0,6026837.0,2018,497.0
102377.0,6026837.0,2019,482.0
102377.0,6026837.0,2020,467.0
102377.0,6026837.0,2021,470.0
102553.0,147853995.0,2001,425.0
102553.0,147853995.0,2002,752.0
102553.0,147853995.0,2003,797.0
102553.0,147853995.0,2004,780.0
102553.0,147853995.0,2005,801.0
102553.0,147853995.0,2006,841.0
102553.0,147853995.0,2007,875.0
102553.0,147853995.0,2008,982.0
102553.0,147853995.0,2009,1034.0
102553.0,147853995.0,2010,1073.0
102553.0,147853995.0,2011,1054.0
102553.0,147853995.0,2012,999.0
102553.0,147853995.0,2013,983.0
102553.0,147853995.0,2014,860.0
102553.0,147853995.0,2015,881.0
102553.0,147853995.0,2016,772.0
102553.0,147853995.0,2017,778.0
102553.0,147853995.0,2018,759.0
102553.0,147853995.0,2019,663.0
102553.0,147853995.0,2020,630.0
102553.0,147853995.0,2021,586.0
102614.0,141472210.0,2001,307.0
102614.0,141472210.0,2002,934.0
102614.0,141472210.0,2003,1016.0
102614.0,141472210.0,2004,1083.0
102614.0,141472210.0,2005,1094.0
102614.0,141472210.0,2006,1067.0
102614.0,141472210.0,2007,1059.0
102614.0,141472210.0,2008,1062.0
102614.0,141472210.0,2009,1160.0
102614.0,141472210.0,2010,1203.0
102614.0,141472210.0,2011,1194.0
102614.0,141472210.0,2012,1177.0
102614.0,141472210.0,2013,1177.0
102614.0,141472210.0,2014,1136.0
102614.0,141472210.0,2015,1105.0
102614.0,141472210.0,2016,1121.0
102614.0,141472210.0,2017,1025.0
102614.0,141472210.0,2018,975.0
102614.0,141472210.0,2019,973.0
102614.0,141472210.0,2020,963.0
102614.0,141472210.0,2021,982.0
102632.0,90464598.0,2001,48.0
102632.0,90464598.0,2002,132.0
102632.0,90464598.0,2003,142.0
102632.0,90464598.0,2004,226.0
102632.0,90464598.0,2005,212.0
102632.0,90464598.0,2006,259.0
102632.0,90464598.0,2007,256.0
102632.0,90464598.0,2008,314.0
102632.0,90464598.0,2009,360.0
102632.0,90464598.0,2010,385.0
102632.0,90464598.0,2011,370.0
102632.0,90464598.0,2012,385.0
102632.0,90464598.0,2013,351.0
102632.0,90464598.0,2014,308.0
102632.0,90464598.0,2015,325.0
102632.0,90464598.0,2016,313.0
102632.0,90464598.0,2017,282.0
102632.0,90464598.0,2018,256.0
102632.0,90464598.0,2019,264.0
102632.0,90464598.0,2020,265.0
102632.0,90464598.0,2021,240.0
104151.0,55732556.0,2001,4353.0
104151.0,55732556.0,2002,10023.0
104151.0,55732556.0,2003,9757.0
104151.0,55732556.0,2004,9220.0
104151.0,55732556.0,2005,9719.0
104151.0,55732556.0,2006,8813.0
104151.0,55732556.0,2007,9278.0
104151.0,55732556.0,2008,13254.0
104151.0,55732556.0,2009,13787.0
104151.0,55732556.0,2010,13878.0
104151.0,55732556.0,2011,13850.0
104151.0,55732556.0,2012,13996.0
104151.0,55732556.0,2013,9972.0
104151.0,55732556.0,2014,10359.0
104151.0,55732556.0,2015,10156.0
104151.0,55732556.0,2016,9392.0
104151.0,55732556.0,2017,8737.0
104151.0,55732556.0,2018,8741.0
104151.0,55732556.0,2019,8825.0
104151.0,55732556.0,2020,11671.0
104151.0,55732556.0,2021,13165.0
