Source,Target,Year
Cleveland State University,Ohio State University,2000
Cleveland State University,Ohio University,2000
Cleveland State University,University Of Akron,2000
Cleveland State University,University Of Cincinnati,2000
Cleveland State University,University Of Toledo,2000
Kent State University,Ohio State University,2000
Kent State University,Ohio University,2000
Kent State University,University Of Akron,2000
Kent State University,University Of Cincinnati,2000
Kent State University,University Of Toledo,2000
Ohio State University,Ohio University,2000
Ohio State University,University Of Akron,2000
Ohio State University,University Of Cincinnati,2000
Ohio State University,University Of Toledo,2000
Ohio University,University Of Akron,2000
Ohio University,University Of Cincinnati,2000
Ohio University,University Of Toledo,2000
University Of Akron,University Of Cincinnati,2000
University Of Akron,University Of Toledo,2000
University Of Cincinnati,University Of Toledo,2000
Cleveland State University,Kent State University,2000
Cleveland State University,Ohio State University,2000
Cleveland State University,Ohio University,2000
Cleveland State University,University Of Akron,2000
Cleveland State University,University Of Cincinnati,2000
Cleveland State University,University Of Toledo,2000
Kent State University,Ohio State University,2000
Kent State University,Ohio University,2000
Kent State University,University Of Akron,2000
Kent State University,University Of Cincinnati,2000
Kent State University,University Of Toledo,2000
Ohio State University,Ohio University,2000
Ohio State University,University Of Akron,2000
Ohio State University,University Of Cincinnati,2000
Ohio State University,University Of Toledo,2000
Ohio University,University Of Akron,2000
Ohio University,University Of Cincinnati,2000
Ohio University,University Of Toledo,2000
University Of Akron,University Of Cincinnati,2000
University Of Akron,University Of Toledo,2000
University Of Cincinnati,University Of Toledo,2000
Cleveland State University,Kent State University,2000
Cleveland State University,Ohio State University,2000
Cleveland State University,Ohio University,2000
Cleveland State University,University Of Akron,2000
Cleveland State University,University Of Cincinnati,2000
Cleveland State University,University Of Toledo,2000
Kent State University,Ohio State University,2000
Kent State University,Ohio University,2000
Kent State University,University Of Akron,2000
Kent State University,University Of Cincinnati,2000
Kent State University,University Of Toledo,2000
Ohio State University,Ohio University,2000
Ohio State University,University Of Akron,2000
Ohio State University,University Of Cincinnati,2000
Ohio State University,University Of Toledo,2000
Ohio University,University Of Akron,2000
Ohio University,University Of Cincinnati,2000
Ohio University,University Of Toledo,2000
University Of Akron,University Of Cincinnati,2000
University Of Akron,University Of Toledo,2000
University Of Cincinnati,University Of Toledo,2000
Cleveland State University,Kent State University,2000
Cleveland State University,Ohio University,2000
Cleveland State University,University Of Akron,2000
Cleveland State University,University Of Cincinnati,2000
Cleveland State University,University Of Toledo,2000
Kent State University,Ohio University,2000
Kent State University,University Of Akron,2000
Kent State University,University Of Cincinnati,2000
Kent State University,University Of Toledo,2000
Ohio University,University Of Akron,2000
Ohio University,University Of Cincinnati,2000
Ohio University,University Of Toledo,2000
University Of Akron,University Of Cincinnati,2000
University Of Akron,University Of Toledo,2000
University Of Cincinnati,University Of Toledo,2000
Colgate University,Tufts University,2000
College Of Holy Cross,Loyola College In Maryland,2000
Colorado State University System,Regis University,2000
Columbia University,Yeshiva University,2000
Converse College,Mercer University,2000
Converse College,Wofford College,2000
Cornell University,University Of Tulsa,2000
Creighton University,Loyola University Chicago,2000
Creighton University,Xavier University,2000
Creighton University,Fairleigh Dickinson University,2000
Creighton University,Saint Josephs University,2000
Creighton University,Xavier University,2000
Saint Josephs University,Xavier University,2000
Creighton University,Marymount University,2000
Dartmouth College,University System Of New Hampshire,2000
Dartmouth College,Rockefeller University,2000
Davidson College,University Of North Carolina At Wilmington,2000
Denison University,University Of Indianapolis,2000
Depauw University,Drew University,2000
Depauw University,Lake Forest College,2000
Depauw University,Rollins College,2000
Depauw University,University Of Evansville,2000
Depauw University,University Of Indianapolis,2000
University Of Evansville,University Of Indianapolis,2000
Dominican University,Franklin & Marshall College,2000
Drew University,New Jersey Institute Of Technology,2000
Drew University,University Of Notre Dame,2000
New Jersey Institute Of Technology,University Of Notre Dame,2000
Drexel University,Juilliard School,2000
Drexel University,Trinity University,2000
Juilliard School,Trinity University,2000
Duquesne University,Gannon University,2000
Duquesne University,Gannon University,2000
Duquesne University,Gannon University,2000
East Stroudsburg University Of Pennsylvania,Pennsylvania State System Of Higher Education,2000
Eastern Illinois University,Trinity College,2000
Edinboro University Of Pennsylvania,Pennsylvania State System Of Higher Education,2000
Emporia State University,Kansas State University,2000
Emporia State University,University Of Kansas,2000
Emporia State University,Wichita State University,2000
Kansas State University,University Of Kansas,2000
Kansas State University,Wichita State University,2000
University Of Kansas,Wichita State University,2000
Emporia State University,Kansas State University,2000
Emporia State University,University Of Kansas,2000
Emporia State University,Wichita State University,2000
Kansas State University,University Of Kansas,2000
Kansas State University,Wichita State University,2000
University Of Kansas,Wichita State University,2000
Emporia State University,Kansas State University,2000
Emporia State University,University Of Kansas,2000
Emporia State University,Wichita State University,2000
Kansas State University,University Of Kansas,2000
Kansas State University,Wichita State University,2000
University Of Kansas,Wichita State University,2000
Emporia State University,Kansas State University,2000
Emporia State University,University Of Kansas,2000
Emporia State University,Wichita State University,2000
Kansas State University,University Of Kansas,2000
Kansas State University,Wichita State University,2000
University Of Kansas,Wichita State University,2000
Emporia State University,Kansas State University,2000
Emporia State University,University Of Kansas,2000
Emporia State University,Wichita State University,2000
Kansas State University,University Of Kansas,2000
Kansas State University,Wichita State University,2000
University Of Kansas,Wichita State University,2000
Emporia State University,Kansas State University,2000
Emporia State University,University Of Kansas,2000
Emporia State University,Wichita State University,2000
Kansas State University,University Of Kansas,2000
Kansas State University,Wichita State University,2000
University Of Kansas,Wichita State University,2000
Emporia State University,Kansas State University,2000
Emporia State University,University Of Kansas,2000
Emporia State University,Wichita State University,2000
Kansas State University,University Of Kansas,2000
Kansas State University,Wichita State University,2000
University Of Kansas,Wichita State University,2000
Emporia State University,Kansas State University,2000
Emporia State University,University Of Kansas,2000
Emporia State University,Wichita State University,2000
Kansas State University,University Of Kansas,2000
Kansas State University,Wichita State University,2000
University Of Kansas,Wichita State University,2000
Emporia State University,Kansas State University,2000
Emporia State University,University Of Kansas,2000
Emporia State University,Wichita State University,2000
Kansas State University,University Of Kansas,2000
Kansas State University,Wichita State University,2000
University Of Kansas,Wichita State University,2000
Fairfield University,St Bonaventure University,2000
Fairfield University,Widener University,2000
St Bonaventure University,Widener University,2000
Fordham University,Georgetown University,2000
Franklin & Marshall College,Johns Hopkins University,2000
Franklin & Marshall College,Santa Clara University,2000
Franklin & Marshall College,University Of Southern California,2000
Santa Clara University,University Of Southern California,2000
Gannon University,Loyola University Chicago,2000
George Mason University,Regis University,2000
George Washington University,Lafayette College,2000
George Washington University,Marquette University,2000
George Washington University,University System Of Maryland,2000
Georgetown University,New York University,2000
Georgetown University,University Of Connecticut,2000
New York University,University Of Connecticut,2000
Georgetown University,University Of Detroit Mercy,2000
Georgetown University,Saint Louis University,2000
Georgetown University,University Of Delaware,2000
Georgetown University,University Of Detroit Mercy,2000
Georgetown University,Rockefeller University,2000
Gonzaga University,Wayne State University,2000
Goucher College,Hobart And William Smith Colleges,2000
Goucher College,Loyola College In Maryland,2000
Hobart And William Smith Colleges,Loyola College In Maryland,2000
California Lutheran University,Gustavus Adolphus College,2000
California Lutheran University,St Olaf College,2000
Gustavus Adolphus College,St Olaf College,2000
Gwynedd Mercy College,Iona College,2000
Hampton University,Old Dominion University,2000
Hobart And William Smith Colleges,St John Fisher College,2000
Hofstra University,Yeshiva University,2000
Hofstra University,University Of Pittsburgh,2000
Hofstra University,St Michaels College,2000
Howard University,Johns Hopkins University,2000
Idaho State University,University Of Idaho,2000
Idaho State University,University Of Idaho,2000
Illinois Institute Of Technology,Loyola University Chicago,2000
Illinois Institute Of Technology,Loyola University Chicago,2000
Illinois Institute Of Technology,University Of Chicago,2000
Indiana State University,Wabash College,2000
Indiana University Of Pennsylvania,Pennsylvania State System Of Higher Education,2000
Indiana University Of Pennsylvania,Pennsylvania State System Of Higher Education,2000
Institute For Advanced Study,Johns Hopkins University,2000
Institute For Advanced Study,University Of Pennsylvania,2000
Institute For Advanced Study,New York University,2000
Institute For Advanced Study,St Johns University,2000
Iowa State University,University Of Iowa,2000
Iowa State University,University Of Northern Iowa,2000
University Of Iowa,University Of Northern Iowa,2000
Iowa State University,University Of Iowa,2000
Iowa State University,University Of Northern Iowa,2000
University Of Iowa,University Of Northern Iowa,2000
Iowa State University,University Of Iowa,2000
Iowa State University,University Of Northern Iowa,2000
University Of Iowa,University Of Northern Iowa,2000
Iowa State University,University Of Iowa,2000
Iowa State University,University Of Northern Iowa,2000
University Of Iowa,University Of Northern Iowa,2000
Iowa State University,University Of Northern Iowa,2000
Iowa State University,University Of Iowa,2000
Iowa State University,University Of Northern Iowa,2000
University Of Iowa,University Of Northern Iowa,2000
Iowa State University,University Of Iowa,2000
Iowa State University,University Of Northern Iowa,2000
University Of Iowa,University Of Northern Iowa,2000
Iowa State University,University Of Iowa,2000
Iowa State University,University Of Northern Iowa,2000
University Of Iowa,University Of Northern Iowa,2000
John Carroll University,University Of Scranton,2000
John Carroll University,Kent State University,2000
Johns Hopkins University,Massachusetts Institute Of Technology,2000
Johns Hopkins University,Loyola College In Maryland,2000
Juilliard School,New York University,2000
Kent State University,Ohio State University,2000
Kent State University,Ohio University,2000
Kent State University,University Of Akron,2000
Kent State University,University Of Cincinnati,2000
Kent State University,University Of Toledo,2000
Ohio State University,Ohio University,2000
Ohio State University,University Of Akron,2000
Ohio State University,University Of Cincinnati,2000
Ohio State University,University Of Toledo,2000
Ohio University,University Of Akron,2000
Ohio University,University Of Cincinnati,2000
Ohio University,University Of Toledo,2000
University Of Akron,University Of Cincinnati,2000
University Of Akron,University Of Toledo,2000
University Of Cincinnati,University Of Toledo,2000
La Salle University,Rochester Institute Of Technology,2000
Lake Forest College,University Of Michigan,2000
Lehigh University,Seton Hall University,2000
Linfield College,University Of Southern California,2000
Long Island University,Wellesley College,2000
Loyola University,Marquette University,2000
Loyola University,Spring Hill College,2000
Marquette University,Spring Hill College,2000
Loyola University,Spring Hill College,2000
Loyola University,Loyola University Chicago,2000
Loyola Marymount University,Loyola University Chicago,2000
Loyola University Chicago,University Of San Francisco,2000
Loyola University Chicago,Saint Josephs University,2000
Loyola University Chicago,University Of San Diego,2000
Lynchburg College,Virginia Commonwealth University,2000
Marist College,Thomas Jefferson University,2000
Marquette University,University Of St Thomas Minnesota,2000
Marquette University,University Of Chicago,2000
Marquette University,University Of Dayton,2000
Marshall University,West Virginia University,2000
Marshall University,Seattle University,2000
Marshall University,West Virginia University,2000
Seattle University,West Virginia University,2000
Marshall University,West Virginia University,2000
Marshall University,West Virginia University,2000
Marshall University,West Virginia University,2000
Marshall University,West Virginia University,2000
Marshall University,West Virginia University,2000
Marshall University,West Virginia University,2000
Marshall University,West Virginia University,2000
Marshall University,West Virginia University,2000
Marshall University,West Virginia University,2000
Marshall University,West Virginia University,2000
Marymount University,Stevens Institute Of Technology,2000
Marymount University,University Of San Francisco,2000
Massachusetts Institute Of Technology,Yeshiva University,2000
Massachusetts Institute Of Technology,University Of North Carolina At Greensboro,2000
Middlebury College,Seton Hall University,2000
Minnesota State University Mankato,Moorhead State University,2000
Minnesota State University Mankato,Moorhead State University,2000
Minnesota State University Mankato,Moorhead State University,2000
Minnesota State University Mankato,Moorhead State University,2000
Minnesota State University Mankato,Moorhead State University,2000
Minnesota State University Mankato,Moorhead State University,2000
Minnesota State University Mankato,Moorhead State University,2000
Minnesota State University Mankato,Moorhead State University,2000
Minnesota State University Mankato,Moorhead State University,2000
Mississippi State University,University Of Mississippi,2000
Mississippi State University,University Of Southern Mississippi,2000
University Of Mississippi,University Of Southern Mississippi,2000
Mississippi State University,University Of Mississippi,2000
Mississippi State University,University Of Southern Mississippi,2000
University Of Mississippi,University Of Southern Mississippi,2000
Mississippi State University,University Of Mississippi,2000
Mississippi State University,University Of Southern Mississippi,2000
University Of Mississippi,University Of Southern Mississippi,2000
Mississippi State University,University Of Mississippi,2000
Mississippi State University,University Of Southern Mississippi,2000
University Of Mississippi,University Of Southern Mississippi,2000
Mississippi State University,University Of Mississippi,2000
Mississippi State University,University Of Southern Mississippi,2000
University Of Mississippi,University Of Southern Mississippi,2000
Mississippi State University,University Of Mississippi,2000
Mississippi State University,University Of Southern Mississippi,2000
University Of Mississippi,University Of Southern Mississippi,2000
Mississippi State University,University Of Mississippi,2000
Mississippi State University,University Of Southern Mississippi,2000
University Of Mississippi,University Of Southern Mississippi,2000
Mississippi State University,University Of Mississippi,2000
Mississippi State University,University Of Southern Mississippi,2000
University Of Mississippi,University Of Southern Mississippi,2000
Mississippi State University,University Of Mississippi,2000
Mississippi State University,University Of Southern Mississippi,2000
University Of Mississippi,University Of Southern Mississippi,2000
Mississippi State University,University Of Mississippi,2000
Mississippi State University,University Of Southern Mississippi,2000
University Of Mississippi,University Of Southern Mississippi,2000
Mississippi State University,University Of Mississippi,2000
Mississippi State University,University Of Southern Mississippi,2000
University Of Mississippi,University Of Southern Mississippi,2000
Mount St Marys College,Scripps College,2000
New Jersey Institute Of Technology,University Of Pittsburgh,2000
New Mexico State University,University Of New Mexico,2000
New School University,Yale University,2000
New School University,University Of Chicago,2000
New York University,University Of Pennsylvania,2000
New York University,Yeshiva University,2000
New York University,University Of Notre Dame,2000
New York University,Rockefeller University,2000
Northeastern Ohio Universities College Of Medicine,University Of Akron,2000
Kent State University,Northeastern Ohio Universities College Of Medicine,2000
Northern Arizona University,University Of Arizona,2000
Loyola Marymount University,Occidental College,2000
Occidental College,Pomona College,2000
Occidental College,University Of Southern California,2000
Pomona College,University Of Southern California,2000
Occidental College,Washington And Lee University,2000
Ohio University,Xavier University,2000
Oklahoma State University,University Of Oklahoma,2000
Oklahoma State University,University Of Oklahoma,2000
Oklahoma State University,University Of Oklahoma,2000
Oklahoma State University,University Of Oklahoma,2000
Pennsylvania State System Of Higher Education,Pennsylvania State University,2000
Pennsylvania State System Of Higher Education,University Of Pittsburgh,2000
Pennsylvania State University,University Of Pittsburgh,2000
Pennsylvania State System Of Higher Education,Pennsylvania State University,2000
Pennsylvania State System Of Higher Education,Temple University,2000
Pennsylvania State System Of Higher Education,University Of Pittsburgh,2000
Pennsylvania State University,Temple University,2000
Pennsylvania State University,University Of Pittsburgh,2000
Temple University,University Of Pittsburgh,2000
Polytechnic University,Rensselaer Polytechnic Institute,2000
Polytechnic University,Rensselaer Polytechnic Institute,2000
Princeton University,Rockefeller University,2000
Providence College,Seton Hall University,2000
Reed College,Scripps College,2000
Regis University,Saint Josephs University,2000
Rice University,Stanford University,2000
Rockefeller University,Stanford University,2000
Harvard University,Rockefeller University,2000
Rockefeller University,University Of Pennsylvania,2000
Rollins College,University Of Miami,2000
Saint Marys College Of California,Xavier University,2000
Saint Marys College Of California,Saint Marys University Of Minnesota,2000
Scripps College,Swarthmore College,2000
Seton Hall University,Villanova University,2000
Smith College,University Of Miami,2000
South Dakota State University,University Of South Dakota,2000
South Dakota State University,University Of South Dakota,2000
South Dakota State University,University Of South Dakota,2000
Southern Methodist University,State University Of New York At Old Westbury,2000
Spring Hill College,University Of South Alabama,2000
St John Fisher College,Syracuse University,2000
Santa Clara University,Stanford University,2000
Stevens Institute Of Technology,Worcester Polytechnic Institute,2000
Thomas Jefferson University,Widener University,2000
Trinity University,University Of Tulsa,2000
Tufts University,University Of Delaware,2000
Tufts University,University Of Chicago,2000
Tuskegee University,Wofford College,2000
University Of Charleston,University Of Hartford,2000
University Of Charleston,University Of Miami,2000
University Of Connecticut,Yale University,2000
Santa Clara University,University Of Detroit Mercy,2000
University Of Evansville,Wabash College,2000
Loyola Marymount University,Mount St Marys College,2000
Loyola Marymount University,University Of Notre Dame,2000
Mount St Marys College,University Of Notre Dame,2000
University Of Notre Dame,University Of Portland,2000
University Of Notre Dame,University Of St Thomas Minnesota,2000
University Of Notre Dame,Vanderbilt University,2000
University Of Portland,University Of St Thomas Minnesota,2000
University Of Portland,Vanderbilt University,2000
University Of St Thomas Minnesota,Vanderbilt University,2000
University Of Pittsburgh,West Virginia Wesleyan College,2000
University Of Pittsburgh,University Of Scranton,2000
Brown University,University Of Rhode Island,2000
University Of Richmond,Virginia Commonwealth University,2000
University Of San Francisco,Xavier University,2000
Loyola Marymount University,University Of Southern California,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
University Of Utah,Utah State University,2000
University Of Utah,Weber State University,2000
Utah State University,Weber State University,2000
Vassar College,Yeshiva University,2000
Wabash College,Washington University,2000
Santa Clara University,Washington And Lee University,2000
Austin Pay State University,Tennessee State University,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee State University,Tennessee Technological University,2000
Tennessee State University,University Of Memphis,2000
Tennessee State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Austin Pay State University,Tennessee State University,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee State University,Tennessee Technological University,2000
Tennessee State University,University Of Memphis,2000
Tennessee State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Austin Pay State University,Tennessee State University,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee State University,Tennessee Technological University,2000
Tennessee State University,University Of Memphis,2000
Tennessee State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Austin Pay State University,Tennessee State University,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee State University,Tennessee Technological University,2000
Tennessee State University,University Of Memphis,2000
Tennessee State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Austin Pay State University,Tennessee State University,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee State University,Tennessee Technological University,2000
Tennessee State University,University Of Memphis,2000
Tennessee State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Austin Pay State University,Tennessee State University,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee State University,Tennessee Technological University,2000
Tennessee State University,University Of Memphis,2000
Tennessee State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Austin Pay State University,Tennessee State University,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee State University,Tennessee Technological University,2000
Tennessee State University,University Of Memphis,2000
Tennessee State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Austin Pay State University,Tennessee State University,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee State University,Tennessee Technological University,2000
Tennessee State University,University Of Memphis,2000
Tennessee State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Austin Pay State University,Tennessee State University,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee State University,Tennessee Technological University,2000
Tennessee State University,University Of Memphis,2000
Tennessee State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Austin Pay State University,Tennessee State University,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee State University,Tennessee Technological University,2000
Tennessee State University,University Of Memphis,2000
Tennessee State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Austin Pay State University,Tennessee State University,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee State University,Tennessee Technological University,2000
Tennessee State University,University Of Memphis,2000
Tennessee State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Austin Pay State University,Tennessee State University,2000
Austin Pay State University,Tennessee Technological University,2000
Austin Pay State University,University Of Memphis,2000
Austin Pay State University,University Of Tennessee System,2000
Tennessee State University,Tennessee Technological University,2000
Tennessee State University,University Of Memphis,2000
Tennessee State University,University Of Tennessee System,2000
Tennessee Technological University,University Of Memphis,2000
Tennessee Technological University,University Of Tennessee System,2000
University Of Memphis,University Of Tennessee System,2000
Louisiana State University System,University Of Louisiana System,2000
Louisiana State University System,University Of Louisiana System,2000
Louisiana State University System,University Of Louisiana System,2000
Louisiana State University System,University Of Louisiana System,2000
Louisiana State University System,University Of Louisiana System,2000
Louisiana State University System,University Of Louisiana System,2000
Louisiana State University System,University Of Louisiana System,2000
Louisiana State University System,University Of Louisiana System,2000
Louisiana State University System,University Of Louisiana System,2000
Louisiana State University System,University Of Louisiana System,2000
Louisiana State University System,University Of Louisiana System,2000
Louisiana State University System,University Of Louisiana System,2000
Louisiana State University System,University Of Louisiana System,2000
Mount St Marys College,Santa Clara University,2000
Abilene Christian University,Stetson University,2005
Agnes Scott College,Mount Saint Marys University,2005
Agnes Scott College,North Carolina Central University,2005
Agnes Scott College,Lehigh University,2005
Albion College,Alliant International University,2005
American University,Gustavus Adolphus College,2005
Andrews University,Loma Linda University,2005
Andrews University,Loma Linda University,2005
Andrews University,Loma Linda University,2005
Andrews University,Loma Linda University,2005
Andrews University,Loma Linda University,2005
Arcadia University,Drexel University,2005
Arizona State University,Northern Arizona University,2005
Arizona State University,University Of Arizona,2005
Northern Arizona University,University Of Arizona,2005
Arizona State University,Northern Arizona University,2005
Arizona State University,University Of Arizona,2005
Northern Arizona University,University Of Arizona,2005
Arizona State University,Northern Arizona University,2005
Arizona State University,University Of Arizona,2005
Northern Arizona University,University Of Arizona,2005
Arizona State University,Northern Arizona University,2005
Arizona State University,University Of Arizona,2005
Northern Arizona University,University Of Arizona,2005
Arizona State University,Northern Arizona University,2005
Arizona State University,University Of Arizona,2005
Northern Arizona University,University Of Arizona,2005
Arizona State University,Northern Arizona University,2005
Arizona State University,University Of Arizona,2005
Northern Arizona University,University Of Arizona,2005
Arizona State University,Northern Arizona University,2005
Arizona State University,University Of Arizona,2005
Northern Arizona University,University Of Arizona,2005
Arizona State University,Northern Arizona University,2005
Arizona State University,University Of Arizona,2005
Northern Arizona University,University Of Arizona,2005
Arizona State University,Northern Arizona University,2005
Arizona State University,University Of Arizona,2005
Northern Arizona University,University Of Arizona,2005
Arizona State University,University Of Arizona,2005
Auburn University,University Of Alabama System,2005
Auburn University,University Of South Alabama,2005
University Of Alabama System,University Of South Alabama,2005
Austin Pay State University,East Tennessee State University,2005
Austin Pay State University,Middle Tennessee State University,2005
Austin Pay State University,Tennessee State University,2005
Austin Pay State University,Tennessee Technological University,2005
Austin Pay State University,University Of Memphis,2005
East Tennessee State University,Middle Tennessee State University,2005
East Tennessee State University,Tennessee State University,2005
East Tennessee State University,Tennessee Technological University,2005
East Tennessee State University,University Of Memphis,2005
Middle Tennessee State University,Tennessee State University,2005
Middle Tennessee State University,Tennessee Technological University,2005
Middle Tennessee State University,University Of Memphis,2005
Tennessee State University,Tennessee Technological University,2005
Tennessee State University,University Of Memphis,2005
Tennessee Technological University,University Of Memphis,2005
Austin Pay State University,East Tennessee State University,2005
Austin Pay State University,Middle Tennessee State University,2005
Austin Pay State University,Tennessee State University,2005
Austin Pay State University,Tennessee Technological University,2005
Austin Pay State University,University Of Memphis,2005
East Tennessee State University,Middle Tennessee State University,2005
East Tennessee State University,Tennessee State University,2005
East Tennessee State University,Tennessee Technological University,2005
East Tennessee State University,University Of Memphis,2005
Middle Tennessee State University,Tennessee State University,2005
Middle Tennessee State University,Tennessee Technological University,2005
Middle Tennessee State University,University Of Memphis,2005
Tennessee State University,Tennessee Technological University,2005
Tennessee State University,University Of Memphis,2005
Tennessee Technological University,University Of Memphis,2005
Austin Pay State University,East Tennessee State University,2005
Austin Pay State University,Middle Tennessee State University,2005
Austin Pay State University,Tennessee State University,2005
Austin Pay State University,Tennessee Technological University,2005
Austin Pay State University,University Of Memphis,2005
Austin Pay State University,University Of Tennessee System,2005
East Tennessee State University,Middle Tennessee State University,2005
East Tennessee State University,Tennessee State University,2005
East Tennessee State University,Tennessee Technological University,2005
East Tennessee State University,University Of Memphis,2005
East Tennessee State University,University Of Tennessee System,2005
Middle Tennessee State University,Tennessee State University,2005
Middle Tennessee State University,Tennessee Technological University,2005
Middle Tennessee State University,University Of Memphis,2005
Middle Tennessee State University,University Of Tennessee System,2005
Tennessee State University,Tennessee Technological University,2005
Tennessee State University,University Of Memphis,2005
Tennessee State University,University Of Tennessee System,2005
Tennessee Technological University,University Of Memphis,2005
Tennessee Technological University,University Of Tennessee System,2005
University Of Memphis,University Of Tennessee System,2005
Austin Pay State University,East Tennessee State University,2005
Austin Pay State University,Middle Tennessee State University,2005
Austin Pay State University,Tennessee State University,2005
Austin Pay State University,Tennessee Technological University,2005
Austin Pay State University,University Of Memphis,2005
East Tennessee State University,Middle Tennessee State University,2005
East Tennessee State University,Tennessee State University,2005
