Source,Target,Year
College Of Charleston,University Of South Carolina,1999
College Of Charleston,Winthrop University,1999
University Of South Carolina,Winthrop University,1999
Citadel,University Of South Carolina,1999
Citadel,Winthrop University,1999
University Of South Carolina,Winthrop University,1999
City University Of New York,College Of Mount St Joseph,1999
Clark Atlanta University,West Virginia Wesleyan College,1999
Clark Atlanta University,Emory University,1999
Clark Atlanta University,University System Of Georgia,1999
Clark Atlanta University,Emory University,1999
Colgate University,Tufts University,1999
College Of Holy Cross,Loyola College In Maryland,1999
College Of St Scholastica,Mount St Marys College,1999
Converse College,Mercer University,1999
Converse College,Wofford College,1999
Creighton University,Xavier University,1999
Creighton University,Xavier University,1999
Creighton University,Fairleigh Dickinson University,1999
Creighton University,Marylhurst College,1999
Dartmouth College,New School University,1999
Dartmouth College,University System Of New Hampshire,1999
Denison University,University Of Indianapolis,1999
Depaul University,Saint Xavier University,1999
Depaul University,Rollins College,1999
Depaul University,Drew University,1999
Depaul University,University Of Evansville,1999
Depaul University,University Of Indianapolis,1999
University Of Evansville,University Of Indianapolis,1999
Depaul University,University Of Illinois At Urbana Champaign,1999
Depaul University,Saint Marys University Of Minnesota,1999
Dominican University,Franklin & Marshall College,1999
Drew University,New Jersey Institute Of Technology,1999
Drew University,University Of Notre Dame,1999
New Jersey Institute Of Technology,University Of Notre Dame,1999
Drexel University,Juilliard School,1999
Drexel University,Trinity University,1999
Juilliard School,Trinity University,1999
Duquesne University,Gannon University,1999
Duquesne University,Gannon University,1999
Duquesne University,Gannon University,1999
Eastern Illinois University,Trinity College,1999
Edinboro University Of Pennsylvania,Pennsylvania State System Of Higher Education,1999
Emporia State University,University Of Kansas,1999
Emporia State University,Wichita State University,1999
University Of Kansas,Wichita State University,1999
Emporia State University,Kansas State University,1999
Emporia State University,University Of Kansas,1999
Emporia State University,Wichita State University,1999
Kansas State University,University Of Kansas,1999
Kansas State University,Wichita State University,1999
University Of Kansas,Wichita State University,1999
Emporia State University,Kansas State University,1999
Emporia State University,University Of Kansas,1999
Emporia State University,Wichita State University,1999
Kansas State University,University Of Kansas,1999
Kansas State University,Wichita State University,1999
University Of Kansas,Wichita State University,1999
Emporia State University,Kansas State University,1999
Emporia State University,University Of Kansas,1999
Emporia State University,Wichita State University,1999
Kansas State University,University Of Kansas,1999
Kansas State University,Wichita State University,1999
University Of Kansas,Wichita State University,1999
Emporia State University,Kansas State University,1999
Emporia State University,University Of Kansas,1999
Emporia State University,Wichita State University,1999
Kansas State University,University Of Kansas,1999
Kansas State University,Wichita State University,1999
University Of Kansas,Wichita State University,1999
Emporia State University,Kansas State University,1999
Emporia State University,University Of Kansas,1999
Emporia State University,Wichita State University,1999
Kansas State University,University Of Kansas,1999
Kansas State University,Wichita State University,1999
University Of Kansas,Wichita State University,1999
Emporia State University,Kansas State University,1999
Emporia State University,University Of Kansas,1999
Emporia State University,Wichita State University,1999
Kansas State University,University Of Kansas,1999
Kansas State University,Wichita State University,1999
University Of Kansas,Wichita State University,1999
Emporia State University,Kansas State University,1999
Emporia State University,University Of Kansas,1999
Emporia State University,Wichita State University,1999
Kansas State University,University Of Kansas,1999
Kansas State University,Wichita State University,1999
University Of Kansas,Wichita State University,1999
Fairfield University,St Bonaventure University,1999
Fairfield University,Widener University,1999
St Bonaventure University,Widener University,1999
Fordham University,St Bonaventure University,1999
Fordham University,Georgetown University,1999
Franklin & Marshall College,Johns Hopkins University,1999
Franklin & Marshall College,Santa Clara University,1999
Franklin & Marshall College,University Of Southern California,1999
Santa Clara University,University Of Southern California,1999
Gannon University,Seton Hall University,1999
Gannon University,Loyola University,1999
George Mason University,Regis University,1999
George Washington University,Massachusetts Institute Of Technology,1999
George Washington University,St John Fisher College,1999
George Washington University,Lafayette College,1999
George Washington University,Marquette University,1999
Georgetown University,University Of Detroit Mercy,1999
Georgetown University,University Of Delaware,1999
Georgetown University,New York University,1999
Georgetown University,University Of Detroit Mercy,1999
Goucher College,Hobart And William Smith Colleges,1999
Goucher College,Loyola College In Maryland,1999
Hobart And William Smith Colleges,Loyola College In Maryland,1999
Gustavus Adolphus College,St Olaf College,1999
Gwynedd Mercy College,Iona College,1999
Gwynedd Mercy College,Marylhurst College,1999
Hampton University,Old Dominion University,1999
Hobart And William Smith Colleges,St John Fisher College,1999
Hofstra University,Yeshiva University,1999
Hofstra University,University Of Pittsburgh,1999
Howard University,Johns Hopkins University,1999
Idaho State University,University Of Idaho,1999
Idaho State University,University Of Idaho,1999
Illinois Institute Of Technology,Loyola University,1999
Illinois Institute Of Technology,Loyola University Chicago,1999
Illinois Institute Of Technology,University Of Chicago,1999
Indiana State University,Wabash College,1999
Indiana University Of Pennsylvania,Pennsylvania State System Of Higher Education,1999
Indiana University Of Pennsylvania,Pennsylvania State System Of Higher Education,1999
Institute For Advanced Study,St Johns University,1999
Institute For Advanced Study,Smith College,1999
Institute For Advanced Study,Johns Hopkins University,1999
Iona College,State University Of New York At Stony Brook,1999
Iona College,Lafayette College,1999
Iowa State University,University Of Iowa,1999
Iowa State University,University Of Northern Iowa,1999
University Of Iowa,University Of Northern Iowa,1999
Iowa State University,University Of Iowa,1999
Iowa State University,University Of Northern Iowa,1999
University Of Iowa,University Of Northern Iowa,1999
Iowa State University,University Of Iowa,1999
Iowa State University,University Of Northern Iowa,1999
University Of Iowa,University Of Northern Iowa,1999
Iowa State University,University Of Iowa,1999
Iowa State University,University Of Northern Iowa,1999
University Of Iowa,University Of Northern Iowa,1999
Iowa State University,University Of Iowa,1999
Iowa State University,University Of Northern Iowa,1999
University Of Iowa,University Of Northern Iowa,1999
Iowa State University,University Of Iowa,1999
Iowa State University,University Of Northern Iowa,1999
University Of Iowa,University Of Northern Iowa,1999
Iowa State University,University Of Iowa,1999
Iowa State University,University Of Northern Iowa,1999
University Of Iowa,University Of Northern Iowa,1999
Iowa State University,University Of Iowa,1999
Iowa State University,University Of Northern Iowa,1999
University Of Iowa,University Of Northern Iowa,1999
