Year,Canonical_Name,Fuzzy_Matches,Institution_1,Institution_2
1999,Gerald H Gordon,Gerald H Gordon,Ohio State University,University Of Toledo
1999,Gerald H Gordon,Gerald H Gordon,Ohio University,University Of Akron
1999,Gerald H Gordon,Gerald H Gordon,Ohio University,University Of Cincinnati
1999,Gerald H Gordon,Gerald H Gordon,Ohio University,University Of Toledo
1999,Gerald H Gordon,Gerald H Gordon,University Of Akron,University Of Cincinnati
1999,Gerald H Gordon,Gerald H Gordon,University Of Akron,University Of Toledo
1999,Gerald H Gordon,Gerald H Gordon,University Of Cincinnati,University Of Toledo
1999,Tahlman Krumm,Tahlman Krumm,Cleveland State University,Kent State University
1999,Tahlman Krumm,Tahlman Krumm,Cleveland State University,Ohio University
1999,Tahlman Krumm,Tahlman Krumm,Cleveland State University,University Of Akron
1999,Tahlman Krumm,Tahlman Krumm,Cleveland State University,University Of Cincinnati
1999,Tahlman Krumm,Tahlman Krumm,Cleveland State University,University Of Toledo
1999,Tahlman Krumm,Tahlman Krumm,Kent State University,Ohio University
1999,Tahlman Krumm,Tahlman Krumm,Kent State University,University Of Akron
1999,Tahlman Krumm,Tahlman Krumm,Kent State University,University Of Cincinnati
1999,Tahlman Krumm,Tahlman Krumm,Kent State University,University Of Toledo
1999,Tahlman Krumm,Tahlman Krumm,Ohio University,University Of Akron
1999,Tahlman Krumm,Tahlman Krumm,Ohio University,University Of Cincinnati
1999,Tahlman Krumm,Tahlman Krumm,Ohio University,University Of Toledo
1999,Tahlman Krumm,Tahlman Krumm,University Of Akron,University Of Cincinnati
1999,Tahlman Krumm,Tahlman Krumm,University Of Akron,University Of Toledo
1999,Tahlman Krumm,Tahlman Krumm,University Of Cincinnati,University Of Toledo
1999,Merle G Kearns,Merle G Kearns,Cleveland State University,Kent State University
1999,Merle G Kearns,Merle G Kearns,Cleveland State University,Ohio State University
1999,Merle G Kearns,Merle G Kearns,Cleveland State University,Ohio University
1999,Merle G Kearns,Merle G Kearns,Cleveland State University,University Of Akron
1999,Merle G Kearns,Merle G Kearns,Cleveland State University,University Of Cincinnati
1999,Merle G Kearns,Merle G Kearns,Cleveland State University,University Of Toledo
1999,Merle G Kearns,Merle G Kearns,Kent State University,Ohio State University
1999,Merle G Kearns,Merle G Kearns,Kent State University,Ohio University
1999,Merle G Kearns,Merle G Kearns,Kent State University,University Of Akron
1999,Merle G Kearns,Merle G Kearns,Kent State University,University Of Cincinnati
1999,Merle G Kearns,Merle G Kearns,Kent State University,University Of Toledo
1999,Merle G Kearns,Merle G Kearns,Ohio State University,Ohio University
1999,Merle G Kearns,Merle G Kearns,Ohio State University,University Of Akron
1999,Merle G Kearns,Merle G Kearns,Ohio State University,University Of Cincinnati
1999,Merle G Kearns,Merle G Kearns,Ohio State University,University Of Toledo
1999,Merle G Kearns,Merle G Kearns,Ohio University,University Of Akron
1999,Merle G Kearns,Merle G Kearns,Ohio University,University Of Cincinnati
1999,Merle G Kearns,Merle G Kearns,Ohio University,University Of Toledo
1999,Merle G Kearns,Merle G Kearns,University Of Akron,University Of Cincinnati
1999,Merle G Kearns,Merle G Kearns,University Of Akron,University Of Toledo
1999,Merle G Kearns,Merle G Kearns,University Of Cincinnati,University Of Toledo
1999,Michael A Fox,Michael A Fox,Cleveland State University,Kent State University
1999,Michael A Fox,Michael A Fox,Cleveland State University,Ohio State University
1999,Michael A Fox,Michael A Fox,Cleveland State University,Ohio University
1999,Michael A Fox,Michael A Fox,Cleveland State University,University Of Akron
1999,Michael A Fox,Michael A Fox,Cleveland State University,University Of Cincinnati
1999,Michael A Fox,Michael A Fox,Cleveland State University,University Of Toledo
1999,Michael A Fox,Michael A Fox,Kent State University,Ohio State University
1999,Michael A Fox,Michael A Fox,Kent State University,Ohio University
1999,Michael A Fox,Michael A Fox,Kent State University,University Of Akron
1999,Michael A Fox,Michael A Fox,Kent State University,University Of Cincinnati
1999,Michael A Fox,Michael A Fox,Kent State University,University Of Toledo
1999,Michael A Fox,Michael A Fox,Ohio State University,Ohio University
1999,Michael A Fox,Michael A Fox,Ohio State University,University Of Akron
1999,Michael A Fox,Michael A Fox,Ohio State University,University Of Cincinnati
1999,Michael A Fox,Michael A Fox,Ohio State University,University Of Toledo
1999,Michael A Fox,Michael A Fox,Ohio University,University Of Akron
1999,Michael A Fox,Michael A Fox,Ohio University,University Of Cincinnati
1999,Michael A Fox,Michael A Fox,Ohio University,University Of Toledo
1999,Michael A Fox,Michael A Fox,University Of Akron,University Of Cincinnati
1999,Michael A Fox,Michael A Fox,University Of Akron,University Of Toledo
1999,Michael A Fox,Michael A Fox,University Of Cincinnati,University Of Toledo
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,Kent State University,Ohio State University
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,Kent State University,Ohio University
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,Kent State University,University Of Akron
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,Kent State University,University Of Cincinnati
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,Kent State University,University Of Toledo
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,Ohio State University,Ohio University
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,Ohio State University,University Of Akron
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,Ohio State University,University Of Cincinnati
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,Ohio State University,University Of Toledo
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,Ohio University,University Of Akron
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,Ohio University,University Of Cincinnati
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,Ohio University,University Of Toledo
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,University Of Akron,University Of Cincinnati
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,University Of Akron,University Of Toledo
1999,Jeanette G Grasselli Brown,Jeanette G Grasselli Brown,University Of Cincinnati,University Of Toledo
1999,Elizabeth K Lanier,Elizabeth K Lanier,Cleveland State University,Kent State University
1999,Elizabeth K Lanier,Elizabeth K Lanier,Cleveland State University,Ohio University
1999,Elizabeth K Lanier,Elizabeth K Lanier,Cleveland State University,University Of Akron
1999,Elizabeth K Lanier,Elizabeth K Lanier,Cleveland State University,University Of Cincinnati
1999,Elizabeth K Lanier,Elizabeth K Lanier,Cleveland State University,University Of Toledo
1999,Elizabeth K Lanier,Elizabeth K Lanier,Kent State University,Ohio University
1999,Elizabeth K Lanier,Elizabeth K Lanier,Kent State University,University Of Akron
1999,Elizabeth K Lanier,Elizabeth K Lanier,Kent State University,University Of Cincinnati
1999,Elizabeth K Lanier,Elizabeth K Lanier,Kent State University,University Of Toledo
1999,Elizabeth K Lanier,Elizabeth K Lanier,Ohio University,University Of Akron
1999,Elizabeth K Lanier,Elizabeth K Lanier,Ohio University,University Of Cincinnati
1999,Elizabeth K Lanier,Elizabeth K Lanier,Ohio University,University Of Toledo
1999,Elizabeth K Lanier,Elizabeth K Lanier,University Of Akron,University Of Cincinnati
1999,Elizabeth K Lanier,Elizabeth K Lanier,University Of Akron,University Of Toledo
1999,Elizabeth K Lanier,Elizabeth K Lanier,University Of Cincinnati,University Of Toledo
1999,Frank E Walsh,Frank E Walsh,Lehigh University,Seton Hall University
1999,Kathleen L Mccarthy,Kathleen L Mccarthy,Loyola Marymount University,University Of Southern California
1999,Gerald A Rauenhorst,Gerald A Rauenhorst,Marquette University,University Of St Thomas Minnesota
1999,Willie D Davis,Willie D Davis,Marquette University,University Of Chicago
1999,Charles W Manning,Charles W Manning,Marshall University,West Virginia University
1999,David G Todd,David G Todd,Marshall University,West Virginia University
1999,Ron D Stollings,Ron D Stollings,Marshall University,West Virginia University
