Year,Canonical_Name,Fuzzy_Matches,Institution_1,Institution_2
2000,Robert A Gardner,Robert A Gardner,University Of Akron,University Of Cincinnati
2000,Robert A Gardner,Robert A Gardner,University Of Akron,University Of Toledo
2000,Robert A Gardner,Robert A Gardner,University Of Cincinnati,University Of Toledo
2000,Elizabeth K Lanier,Elizabeth K Lanier,Cleveland State University,Kent State University
2000,Elizabeth K Lanier,Elizabeth K Lanier,Cleveland State University,Ohio State University
2000,Elizabeth K Lanier,Elizabeth K Lanier,Cleveland State University,Ohio University
2000,Elizabeth K Lanier,Elizabeth K Lanier,Cleveland State University,University Of Akron
2000,Elizabeth K Lanier,Elizabeth K Lanier,Cleveland State University,University Of Cincinnati
2000,Elizabeth K Lanier,Elizabeth K Lanier,Cleveland State University,University Of Toledo
2000,Elizabeth K Lanier,Elizabeth K Lanier,Kent State University,Ohio State University
2000,Elizabeth K Lanier,Elizabeth K Lanier,Kent State University,Ohio University
2000,Elizabeth K Lanier,Elizabeth K Lanier,Kent State University,University Of Akron
2000,Elizabeth K Lanier,Elizabeth K Lanier,Kent State University,University Of Cincinnati
2000,Elizabeth K Lanier,Elizabeth K Lanier,Kent State University,University Of Toledo
2000,Elizabeth K Lanier,Elizabeth K Lanier,Ohio State University,Ohio University
2000,Elizabeth K Lanier,Elizabeth K Lanier,Ohio State University,University Of Akron
