Id,Source,Target,Type,Weight,Year
e_2008_588,Marquette University,University of New Hampshire Durham,Undirected,0.010638297872340425,2008
e_2008_589,University Of South Carolina,University of North Carolina at Chapel Hill,Undirected,0.018518518518518517,2008
e_2008_590,Texas Christian University,University of North Carolina at Chapel Hill,Undirected,0.013157894736842105,2008
e_2008_591,New York University,Vanderbilt University,Undirected,0.00641025641025641,2008
e_2008_592,Mercer University,Vanderbilt University,Undirected,0.009433962264150943,2008
e_2008_593,University Of St Thomas Minnesota,Vanderbilt University,Undirected,0.009900990099009901,2008
e_2008_594,Drexel University,Villanova University,Undirected,0.015384615384615385,2008
e_2008_595,University of North Carolina at Charlotte,Wake Forest University,Undirected,0.016666666666666666,2008
e_2008_596,Duke University,West Virginia University,Undirected,0.017857142857142856,2008
e_2008_597,Wake Forest University,Western Michigan University,Undirected,0.018518518518518517,2008
e_2008_598,George Mason University,Western Michigan University,Undirected,0.038461538461538464,2008
e_2008_599,University of Maine Orono,Western Michigan University,Undirected,0.017857142857142856,2008
e_2008_600,Boston College,Worcester Polytechnic Institute,Undirected,0.012345679012345678,2008
e_2008_601,University of Alaska Fairbanks,Worcester Polytechnic Institute,Undirected,0.02127659574468085,2008
e_2008_602,University Of Connecticut,Yale University,Undirected,0.024390243902439025,2008
e_2008_603,Massachusetts Institute Of Technology,Yale University,Undirected,0.013888888888888888,2008
e_2008_604,Fordham University,Yeshiva University,Undirected,0.007407407407407408,2008
e_2008_605,Columbia University,Yeshiva University,Undirected,0.005847953216374269,2008
e_2008_606,Johns Hopkins University,Yeshiva University,Undirected,0.006134969325153374,2008
e_2008_607,Johns Hopkins University,Loyola Marymount University,Undirected,0.00625,2008
e_2008_608,Loyola Marymount University,University Of San Diego,Undirected,0.007462686567164179,2008
e_2008_609,Loyola Marymount University,University Of Notre Dame,Undirected,0.006756756756756757,2008
e_2008_610,New Jersey Institute Of Technology,Princeton University,Undirected,0.010869565217391304,2008
e_2008_611,Columbia University,New Jersey Institute Of Technology,Undirected,0.007936507936507936,2008
e_2008_612,Hofstra University,Yeshiva University,Undirected,0.00819672131147541,2008
