Id,Label,Interlock_Count,AffiliationId,Board_Size
Carnegie Mellon University,Carnegie Mellon University,4,74973139,98
Clark Atlanta University,Clark Atlanta University,1,52064589,31
Clarkson University,Clarkson University,1,16944753,28
Columbia University,Columbia University,2,78577930,54
Cornell University,Cornell University,4,205783295,66
Dartmouth College,Dartmouth College,2,107672454,17
Drexel University,Drexel University,1,72816309,41
Duke University,Duke University,1,170897317,36
Duquesne University,Duquesne University,2,165102784,35
Emory University,Emory University,1,150468666,35
Fordham University,Fordham University,4,164389053,38
George Washington University,George Washington University,1,193531525,33
Georgetown University,Georgetown University,4,184565670,45
Harvard University,Harvard University,2,136199984,41
Hofstra University,Hofstra University,2,139290212,30
Howard University,Howard University,1,137853757,26
Illinois Institute Of Technology,Illinois Institute Of Technology,1,180949307,60
Johns Hopkins University,Johns Hopkins University,1,145311948,71
Lehigh University,Lehigh University,1,186143895,33
Loma Linda University,Loma Linda University,5,26347476,22
Loyola Marymount University,Loyola Marymount University,7,35566140,85
Loyola University Chicago,Loyola University Chicago,5,1925986,66
Marquette University,Marquette University,1,102461120,40
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,6,63966007,49
New Jersey Institute Of Technology,New Jersey Institute Of Technology,2,118118575,55
New School,New School,6,102179633,47
New York University,New York University,8,57206974,99
North Dakota University System,North Dakota University System,2,4210127926,9
Pennsylvania State University,Pennsylvania State University,2,130769515,67
Princeton University,Princeton University,4,20089843,40
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,1,165799507,30
Rochester Institute Of Technology,Rochester Institute Of Technology,1,155173764,54
Temple University,Temple University,3,84392919,44
Tennessee Board of Regents,Tennessee Board of Regents,4,94658018,24
Tufts University,Tufts University,3,121934306,36
University Of Chicago,University Of Chicago,5,40347166,50
University Of Connecticut,University Of Connecticut,2,140172145,20
University Of New Mexico,University Of New Mexico,1,169521973,9
University Of Notre Dame,University Of Notre Dame,4,107639228,57
University Of Pittsburgh,University Of Pittsburgh,4,170201317,52
University Of San Diego,University Of San Diego,2,160856358,36
University Of South Alabama,University Of South Alabama,3,83809506,15
University Of St Thomas Minnesota,University Of St Thomas Minnesota,2,161515732,34
University Of Virginia,University Of Virginia,1,51556381,17
University System of Georgia,University System of Georgia,1,1289702989,18
University System of New Hampshire,University System of New Hampshire,1,2800453862,25
University System of Ohio,University System of Ohio,2,2802096936,100
University of Alabama System,University of Alabama System,3,2800507078,15
University of North Carolina System,University of North Carolina System,1,4210158053,96
University of Tennessee System,University of Tennessee System,4,2799495847,24
Vanderbilt University,Vanderbilt University,3,200719446,64
Villanova University,Villanova University,1,7863295,27
Wake Forest University,Wake Forest University,1,47251452,44
Washington State University,Washington State University,1,72951846,10
West Virginia University,West Virginia University,1,12097938,15
Yale University,Yale University,1,32971472,17
Yeshiva University,Yeshiva University,4,19772626,97
Andrews University,Andrews University,6,102298084,38
Auburn University,Auburn University,2,82497590,27
Boston College,Boston College,3,103531236,39
Brandeis University,Brandeis University,2,6902469,47
Brown University,Brown University,1,27804330,57
Carnegie Mellon University,Carnegie Mellon University,3,74973139,97
Chapman University,Chapman University,1,185071736,48
Clark Atlanta University,Clark Atlanta University,1,52064589,29
Clarkson University,Clarkson University,1,16944753,28
Clemson University,Clemson University,3,8078737,137
Columbia University,Columbia University,5,78577930,50
Cornell University,Cornell University,11,205783295,171
Dartmouth College,Dartmouth College,1,107672454,18
Duke University,Duke University,2,170897317,40
Fordham University,Fordham University,4,164389053,38
George Washington University,George Washington University,1,193531525,33
Georgetown University,Georgetown University,3,184565670,38
Howard University,Howard University,1,137853757,29
Illinois Institute Of Technology,Illinois Institute Of Technology,1,180949307,25
Johns Hopkins University,Johns Hopkins University,3,145311948,67
Loma Linda University,Loma Linda University,6,26347476,22
Long Island University,Long Island University,1,138873065,41
Loyola Marymount University,Loyola Marymount University,4,35566140,94
Loyola University Chicago,Loyola University Chicago,2,1925986,40
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,5,63966007,50
Mercer University,Mercer University,2,150149174,47
New Jersey Institute Of Technology,New Jersey Institute Of Technology,4,118118575,51
New School,New School,6,102179633,55
New York University,New York University,7,57206974,88
Pennsylvania State University,Pennsylvania State University,2,130769515,33
Princeton University,Princeton University,5,20089843,30
