Id,Label,Interlock_Count,AffiliationId,female_president,control,region,betweenness,closeness,eigenvector,degree,clustering
Idaho State University,Idaho State University,0.5,106969075.0,False,Public,West,0.0,0.005434782608695652,1.0839854092989834e-12,1,0.0
Illinois Institute Of Technology,Illinois Institute Of Technology,0.2708333333333333,180949307.0,False,Private,Midwest,0.0023758612497030173,0.04590889228752458,8.55757491402715e-15,2,0.0
Illinois State University,Illinois State University,0.0,47301684.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
Indiana State University,Indiana State University,0.0,86420138.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
Indiana University Of Pennsylvania,Indiana University Of Pennsylvania,0.09090909090909091,200885203.0,False,Public,Northeast,0.0,0.005434782608695652,1.9991739588057615e-16,1,0.0
Iowa State University,Iowa State University,1.0000000000000002,173911158.0,False,Public,Midwest,0.0,0.005434782608695652,2.5607626392581823e-09,1,0.0
James Madison University,James Madison University,0.0,11883440.0,False,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
Johns Hopkins University,Johns Hopkins University,0.07422143629040182,145311948.0,False,Private,South,0.00688999762413875,0.040603864734299513,1.1212625631369405e-16,3,0.0
Kansas State University,Kansas State University,1.7777777777777783,189590672.0,False,Public,Midwest,0.0,0.010869565217391304,3.638601661611212e-05,2,0.9244816991341795
Kent State University,Kent State University,3.2179090259585643,149910238.0,True,Public,Midwest,0.0,0.03162055335968379,0.4059482903756386,6,0.5065970574433982
Lehigh University,Lehigh University,0.03125,186143895.0,False,Private,Northeast,0.0,0.009782608695652173,6.672229040420632e-17,1,0.0
Loma Linda University,Loma Linda University,0.08333333333333333,26347476.0,True,Private,West,0.0,0.005434782608695652,1.656289737821975e-16,1,0.0
Long Island University,Long Island University,0.0,138873065.0,False,Private,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
Loyola Marymount University,Loyola Marymount University,0.023809523809523808,35566140.0,False,Private,West,0.0,0.03322134387351778,9.979037752125476e-17,1,0.0
Loyola University Chicago,Loyola University Chicago,0.25,1925986.0,False,Private,Midwest,0.0,0.038225395670365654,8.515270528005883e-15,1,0.0
Marquette University,Marquette University,0.09375,102461120.0,False,Private,Midwest,0.017403183654074603,0.0605024474517708,2.636451985361459e-16,3,0.0
Marshall University,Marshall University,0.9375,88694374.0,False,Public,South,0.0,0.005434782608695652,1.0866398903153897e-09,1,0.0
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,0.061731581619045156,63966007.0,False,Private,Northeast,0.008790686623901164,0.055368906455862975,9.6161059329783e-17,3,0.0
Mercer University,Mercer University,0.0,150149174.0,False,Private,South,0.0,0.0,1.9079168433384416e-17,0,0.0
Miami University,Miami University,0.0,83328450.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
Michigan State University,Michigan State University,0.0,87216513.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
Michigan Technological University,Michigan Technological University,0.0,11957088.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
Middle Tennessee State University,Middle Tennessee State University,0.1111111111111111,169615421.0,False,Public,South,0.0,0.005434782608695652,3.2810412250681304e-16,1,0.0
Mississippi State University,Mississippi State University,1.9090909090909085,99041443.0,False,Public,South,0.0,0.010869565217391304,4.859288448675081e-05,2,0.9384364685966975
Montclair State University,Montclair State University,0.0,166088655.0,True,Public,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
New Jersey Institute Of Technology,New Jersey Institute Of Technology,0.06312636165577343,118118575.0,False,Public,Northeast,0.01781895937277263,0.056048279541210985,1.5974141471908513e-16,3,0.0
New Mexico State University,New Mexico State University,0.14285714285714285,10052268.0,False,Public,West,0.0,0.005434782608695652,7.020079177276516e-16,1,0.0
New School University,New School University,0.08333333333333333,102179633.0,False,Private,Northeast,0.0023758612497030173,0.04590889228752458,2.1181805165230547e-16,2,0.0
New York University,New York University,0.06825396825396826,57206974.0,False,Private,Northeast,0.00819672131147541,0.054058399794185745,1.172065213237861e-16,3,0.0
North Carolina Agricultural And Technical State University,North Carolina Agricultural And Technical State University,0.0,35777872.0,False,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
North Carolina State University,North Carolina State University,0.0,137902535.0,True,Public,South,0.0,0.0,1.9079168433384416e-17,0,0.0
Northern Arizona University,Northern Arizona University,1.80909090909091,203172682.0,True,Public,West,0.0,0.010869565217391304,4.438519602441275e-05,2,0.9352978616456158
Northern Illinois University,Northern Illinois University,0.0,102502594.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
Nova Southeastern University,Nova Southeastern University,0.0,203088144.0,False,Private,South,0.0,0.0,1.9079168433384416e-17,0,0.0
Oakland University,Oakland University,0.0,177721651.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
Ohio State University,Ohio State University,1.8461538461538454,52357470.0,False,Public,Midwest,0.0010097410311237824,0.03864734299516908,0.23360373056709532,7,0.2610651198055474
Ohio University,Ohio University,3.0836984996427708,4210106879.0,False,Public,Midwest,0.0,0.03162055335968379,0.3917588638534257,6,0.4954116757380444
Oklahoma State University,Oklahoma State University,0.2857142857142857,115475287.0,False,Public,South,0.0,0.03334258965407807,3.056670937564222e-14,1,0.0
Old Dominion University,Old Dominion University,0.0625,81365321.0,False,Public,South,0.0,0.005434782608695652,9.804846242292005e-17,1,0.0
Pace University,Pace University,0.0,126863827.0,True,Private,Northeast,0.0,0.0,1.9079168433384416e-17,0,0.0
Pennsylvania State University,Pennsylvania State University,0.07692307692307693,130769515.0,False,Public,Northeast,0.0,0.04350414078674948,2.1851087790956136e-16,2,0.03203417890926642
Pepperdine University,Pepperdine University,0.05128205128205128,100191712.0,False,Private,West,0.004632929436920884,0.04567934782608695,8.67192249078682e-17,2,0.0
Polytechnic University,Polytechnic University,0.03225806451612903,57206974.0,False,Private,Northeast,0.0,0.005434782608695652,4.496174137150832e-17,1,0.0
Princeton University,Princeton University,0.07763157894736841,20089843.0,False,Private,Northeast,0.0023758612497030173,0.04545208738914124,1.2118175918708052e-16,2,0.0
Purdue University,Purdue University,0.0,219193219.0,False,Public,Midwest,0.0,0.0,1.9079168433384416e-17,0,0.0
