Id,Label,Interlock_Count,AffiliationId,female_president,control,region,betweenness,closeness,eigenvector,degree,clustering
Adelphi University,Adelphi University,0.0,71965598.0,False,Private,Northeast,0.0,0.0,2.1161783260482722e-14,0,0.0
American University,American University,0.0,181401687.0,False,Private,Northeast,0.0,0.0,2.1161783260482722e-14,0,0.0
Andrews University,Andrews University,0.18181818181818182,102298084.0,False,Private,Midwest,0.0,0.005434782608695652,3.75511242213652e-12,1,0.0
Arizona State University,Arizona State University,0.0,55732556.0,False,Public,West,0.0,0.0,2.1161783260482722e-14,0,0.0
Auburn University,Auburn University,0.06666666666666667,82497590.0,False,Public,South,0.0,0.005434782608695652,1.5647418335334271e-13,1,0.0
Ball State University,Ball State University,0.0,198089087.0,False,Public,Midwest,0.0,0.0,2.1161783260482722e-14,0,0.0
Baylor University,Baylor University,0.0,157394403.0,False,Private,South,0.0,0.0,2.1161783260482722e-14,0,0.0
Biola University,Biola University,0.0,152479009.0,False,Private,West,0.0,0.0,2.1161783260482722e-14,0,0.0
Boston College,Boston College,0.09090909090909091,103531236.0,False,Private,Northeast,0.0,0.06198880757640981,5.799006752695844e-13,2,0.03545597425656654
Boston University,Boston University,0.0,111088046.0,False,Private,Northeast,0.0,0.0,2.1161783260482722e-14,0,0.0
Bowling Green State University,Bowling Green State University,0.0,157417397.0,False,Public,Midwest,0.0,0.0,2.1161783260482722e-14,0,0.0
Brandeis University,Brandeis University,0.02702702702702703,6902469.0,False,Private,Northeast,0.0,0.0802675585284281,4.889179480463274e-13,1,0.0
Brigham Young University,Brigham Young University,0.0,100005738.0,False,Private,West,0.0,0.0,2.1161783260482722e-14,0,0.0
Brown University,Brown University,0.054804804804804805,27804330.0,True,Private,Northeast,0.001900688999762414,0.08347826086956521,7.088861314361266e-13,2,0.0
California Institute Of Technology,California Institute Of Technology,0.11043014766882361,122411786.0,False,Private,West,0.0027916369684010452,0.07237999497361144,1.0817816500010798e-12,3,0.013681382985336749
Carnegie Mellon University,Carnegie Mellon University,0.10137362637362637,74973139.0,False,Private,Northeast,0.004514136374435733,0.07365728900255754,4.442570342086186e-13,3,0.0
Case Western Reserve University,Case Western Reserve University,0.0,58956616.0,False,Private,Midwest,0.0,0.0,2.1161783260482722e-14,0,0.0
Catholic University Of America,Catholic University Of America,0.0,84470341.0,False,Private,Northeast,0.0,0.0,2.1161783260482722e-14,0,0.0
Central Michigan University,Central Michigan University,0.0,1629065.0,False,Public,Midwest,0.0,0.0,2.1161783260482722e-14,0,0.0
Chapman University,Chapman University,0.020833333333333332,185071736.0,False,Private,West,0.0,0.05691699604743083,1.773263081148036e-13,1,0.0
Clark Atlanta University,Clark Atlanta University,0.0,52064589.0,False,Private,South,0.0,0.0,2.1161783260482722e-14,0,0.0
