Id,Label,Interlock_Count,AffiliationId,female_president,control,region,betweenness,closeness,eigenvector,degree,clustering
Adelphi University,Adelphi University,0.0,71965598.0,False,Private,Northeast,0.0,0.0,2.428556013917241e-13,0,0.0
American University,American University,0.0,181401687.0,False,Private,Northeast,0.0,0.0,2.428556013917241e-13,0,0.0
Andrews University,Andrews University,0.27272727272727276,102298084.0,False,Private,Midwest,0.0,0.005376344086021506,1.8645946515995648e-11,1,0.0
Arizona State University,Arizona State University,0.0,55732556.0,False,Public,West,0.0,0.0,2.428556013917241e-13,0,0.0
Auburn University,Auburn University,0.058823529411764705,82497590.0,False,Public,South,0.0,0.005376344086021506,6.79473669400127e-13,1,0.0
Ball State University,Ball State University,0.0,198089087.0,False,Public,Midwest,0.0,0.0,2.428556013917241e-13,0,0.0
Baylor University,Baylor University,0.0,157394403.0,False,Private,South,0.0,0.0,2.428556013917241e-13,0,0.0
Biola University,Biola University,0.0,152479009.0,False,Private,West,0.0,0.0,2.428556013917241e-13,0,0.0
Boston College,Boston College,0.07759784075573549,103531236.0,False,Private,Northeast,0.003254867770996803,0.06588881262868908,1.0624031349323304e-12,3,0.0
Boston University,Boston University,0.0,111088046.0,False,Private,Northeast,0.0,0.0,2.428556013917241e-13,0,0.0
Bowling Green State University,Bowling Green State University,0.0,157417397.0,False,Public,Midwest,0.0,0.0,2.428556013917241e-13,0,0.0
Brandeis University,Brandeis University,0.09518477043673013,6902469.0,False,Private,Northeast,0.0,0.08723307587460245,2.3935368657947057e-12,3,0.006947419210748662
Brigham Young University,Brigham Young University,0.0,100005738.0,False,Private,West,0.0,0.0,2.428556013917241e-13,0,0.0
Brown University,Brown University,0.017543859649122806,27804330.0,True,Private,Northeast,0.0,0.08043569333891915,6.767242990176984e-13,1,0.0
California Institute Of Technology,California Institute Of Technology,0.10635391444713478,122411786.0,False,Private,West,0.005696018599244406,0.08662305436498985,1.891935245454908e-12,4,0.0
Carnegie Mellon University,Carnegie Mellon University,0.05921568627450981,74973139.0,False,Private,Northeast,0.00023249055507120023,0.06998359759431383,1.1460639064947939e-12,2,0.0
Case Western Reserve University,Case Western Reserve University,0.0,58956616.0,False,Private,Midwest,0.0,0.0,2.428556013917241e-13,0,0.0
Catholic University Of America,Catholic University Of America,0.0,84470341.0,False,Private,Northeast,0.0,0.0,2.428556013917241e-13,0,0.0
Central Michigan University,Central Michigan University,0.0,1629065.0,False,Public,Midwest,0.0,0.0,2.428556013917241e-13,0,0.0
Chapman University,Chapman University,0.04714912280701754,185071736.0,False,Private,West,0.0018599244405696018,0.07243916242218448,7.539026566661933e-13,2,0.0
Clark Atlanta University,Clark Atlanta University,0.0,52064589.0,False,Private,South,0.0,0.0,2.428556013917241e-13,0,0.0
Clark University,Clark University,0.0,130785548.0,False,Private,Northeast,0.0,0.0,2.428556013917241e-13,0,0.0
Clarkson University,Clarkson University,0.03571428571428571,16944753.0,False,Private,Northeast,0.0,0.005376344086021506,4.567383964607113e-13,1,0.0
Clemson University,Clemson University,0.1641337386018237,8078737.0,False,Public,South,5.812263876780006e-05,0.010752688172043012,2.9408937166171733e-12,2,0.0
Cleveland State University,Cleveland State University,0.14285714285714285,102607778.0,False,Public,Midwest,0.0,0.007168458781362007,2.880670997645034e-12,1,0.0
College Of William And Mary,College Of William And Mary,0.0,16285277.0,False,Public,South,0.0,0.0,2.428556013917241e-13,0,0.0
Colorado School Of Mines,Colorado School Of Mines,0.0,167576493.0,False,Public,West,0.0,0.0,2.428556013917241e-13,0,0.0
Columbia University,Columbia University,0.10127659574468086,78577930.0,False,Private,Northeast,0.0032258064516129032,0.09753619507239014,1.9340801908039874e-12,5,0.005596880777457991
Cornell University,Cornell University,0.2614782639772407,205783295.0,False,Private,Northeast,0.02752106945655333,0.11576725957190231,4.0134417738582e-12,12,0.0018996748722629022
Dartmouth College,Dartmouth College,0.05555555555555555,107672454.0,False,Private,Northeast,0.0,0.07599445873738374,1.824661633894889e-12,1,0.0
Drexel University,Drexel University,0.02631578947368421,72816309.0,False,Private,Northeast,0.0,0.005376344086021506,3.876201204507602e-13,1,0.0
Duke University,Duke University,0.05,170897317.0,False,Private,South,0.0,0.08426596445029624,1.1514550786856216e-12,2,0.0
Duquesne University,Duquesne University,0.0,165102784.0,False,Private,Northeast,0.0,0.0,2.428556013917241e-13,0,0.0
East Carolina University,East Carolina University,0.0,186335123.0,False,Public,South,0.0,0.0,2.428556013917241e-13,0,0.0
East Tennessee State University,East Tennessee State University,3.875,119443389.0,False,Public,South,0.0,0.021505376344086023,0.4542237779699585,4,0.9579554862527773
Eastern Michigan University,Eastern Michigan University,0.0,138216421.0,False,Public,Midwest,0.0,0.0,2.428556013917241e-13,0,0.0
Emory University,Emory University,0.0,150468666.0,False,Private,South,0.0,0.0,2.428556013917241e-13,0,0.0
Florida Agricultural And Mechanical University,Florida Agricultural And Mechanical University,0.0,8248082.0,False,Public,South,0.0,0.0,2.428556013917241e-13,0,0.0
Florida Atlantic University,Florida Atlantic University,0.0,63772739.0,False,Public,South,0.0,0.0,2.428556013917241e-13,0,0.0
Florida Institute Of Technology,Florida Institute Of Technology,0.0,106959904.0,False,Private,South,0.0,0.0,2.428556013917241e-13,0,0.0
Florida State University,Florida State University,0.0,103163165.0,False,Public,South,0.0,0.0,2.428556013917241e-13,0,0.0
Fordham University,Fordham University,0.10526315789473684,164389053.0,False,Private,Northeast,0.004533565823888404,0.07329643061652988,1.3620659700063797e-12,3,0.0
Gallaudet University,Gallaudet University,0.0,66108857.0,False,Private,Northeast,0.0,0.0,2.428556013917241e-13,0,0.0
George Mason University,George Mason University,0.0,162714631.0,False,Public,South,0.0,0.0,2.428556013917241e-13,0,0.0
George Washington University,George Washington University,0.1,193531525.0,False,Private,Northeast,0.0,0.005376344086021506,1.3502570628564147e-12,1,0.0
Georgetown University,Georgetown University,0.10526315789473684,184565670.0,False,Private,Northeast,0.0027317640220866028,0.061627347135291284,1.2404061784890623e-12,3,0.0
Harvard University,Harvard University,0.02857142857142857,136199984.0,False,Private,Northeast,0.0,0.06519524617996604,6.21918736764748e-13,1,0.0
Hofstra University,Hofstra University,0.0,139290212.0,False,Private,Northeast,0.0,0.0,2.428556013917241e-13,0,0.0
Howard University,Howard University,0.034482758620689655,137853757.0,False,Private,Northeast,0.0,0.07417423218079969,1.1871668338471434e-12,1,0.0
Idaho State University,Idaho State University,1.0,106969075.0,False,Public,West,0.0,0.005376344086021506,6.366313877123212e-08,1,0.0
Illinois Institute Of Technology,Illinois Institute Of Technology,0.04,180949307.0,False,Private,Midwest,0.0,0.06588881262868908,1.101853795116664e-12,1,0.0
