Id,Source,Target,Type,Weight,Year,PersonName_Source,PersonName_Target
e56,Kent State University,University Of Akron,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e57,Ohio University,University Of Akron,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e58,Kent State University,University Of Akron,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e59,Ohio University,University Of Akron,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e60,Kent State University,University Of Akron,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e61,Ohio University,University Of Akron,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e62,Kent State University,University Of Akron,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e63,Ohio University,University Of Akron,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e64,Auburn University,University Of Alabama,Undirected,1,1999,Ed Richardson,Ed Richardson
e65,Tufts University,University Of Chicago,Undirected,1,1999,Joseph Neubauer,Joseph Neubauer
e66,Illinois Institute Of Technology,University Of Chicago,Undirected,1,1999,Casey Cowell,Casey Cowell
e67,Marquette University,University Of Chicago,Undirected,1,1999,Willie D. Davis,Willie D. Davis
e68,New School University,University Of Chicago,Undirected,1,1999,Strachan Donnelley,Strachan Donnelley
e69,Kent State University,University Of Cincinnati,Undirected,1,1999,Thomas W. Noe,Thomas W. Noe
e70,Ohio University,University Of Cincinnati,Undirected,1,1999,Thomas W. Noe,Thomas W. Noe
e71,University Of Akron,University Of Cincinnati,Undirected,1,1999,Thomas W. Noe,Thomas W. Noe
e72,Kent State University,University Of Cincinnati,Undirected,1,1999,Ralph E. Schey,Ralph E. Schey
e73,Ohio University,University Of Cincinnati,Undirected,1,1999,Ralph E. Schey,Ralph E. Schey
e74,University Of Akron,University Of Cincinnati,Undirected,1,1999,Ralph E. Schey,Ralph E. Schey
e75,Kent State University,University Of Cincinnati,Undirected,1,1999,J. Gilbert Reese,J. Gilbert Reese
e76,Ohio University,University Of Cincinnati,Undirected,1,1999,J. Gilbert Reese,J. Gilbert Reese
e77,University Of Akron,University Of Cincinnati,Undirected,1,1999,J. Gilbert Reese,J. Gilbert Reese
e78,Kent State University,University Of Cincinnati,Undirected,1,1999,Stephen A. Perry,Stephen A. Perry
e79,Ohio University,University Of Cincinnati,Undirected,1,1999,Stephen A. Perry,Stephen A. Perry
e80,University Of Akron,University Of Cincinnati,Undirected,1,1999,Stephen A. Perry,Stephen A. Perry
e81,Kent State University,University Of Cincinnati,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e82,Ohio University,University Of Cincinnati,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e83,University Of Akron,University Of Cincinnati,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e84,Kent State University,University Of Cincinnati,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e85,Ohio University,University Of Cincinnati,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e86,University Of Akron,University Of Cincinnati,Undirected,1,1999,Michael A. Fox,Michael A. Fox
e87,Kent State University,University Of Cincinnati,Undirected,1,1999,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr"
e88,Ohio University,University Of Cincinnati,Undirected,1,1999,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr"
e89,University Of Akron,University Of Cincinnati,Undirected,1,1999,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr"
e90,Kent State University,University Of Cincinnati,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e91,Ohio University,University Of Cincinnati,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e92,University Of Akron,University Of Cincinnati,Undirected,1,1999,Merle G. Kearns,Merle G. Kearns
e93,Kent State University,University Of Cincinnati,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e94,Ohio University,University Of Cincinnati,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e95,University Of Akron,University Of Cincinnati,Undirected,1,1999,Gerald H. Gordon,Gerald H. Gordon
e96,Kent State University,University Of Cincinnati,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e97,Ohio University,University Of Cincinnati,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e98,University Of Akron,University Of Cincinnati,Undirected,1,1999,Jeanette G. Grasselli Brown,Jeanette G. Grasselli Brown
e99,Kent State University,University Of Cincinnati,Undirected,1,1999,Elizabeth K. Lanier,Elizabeth K. Lanier
e100,Ohio University,University Of Cincinnati,Undirected,1,1999,Elizabeth K. Lanier,Elizabeth K. Lanier
e101,University Of Akron,University Of Cincinnati,Undirected,1,1999,Elizabeth K. Lanier,Elizabeth K. Lanier
e102,Tufts University,University Of Delaware,Undirected,1,1999,John A. Krol,John A. Krol
e103,Georgetown University,University Of Delaware,Undirected,1,1999,Charles M. Cawley,Charles M. Cawley
e104,Idaho State University,University Of Idaho,Undirected,1,1999,Anne C. Fox,Anne C. Fox
e105,Idaho State University,University Of Idaho,Undirected,1,1999,Curtis H. Eaton,Curtis H. Eaton
e106,Depaul University,University Of Illinois At Urbana Champaign,Undirected,1,1999,Roger L. Plummer,Roger L. Plummer
e107,New Mexico State University,University Of New Mexico,Undirected,1,1999,Gary Johnson,Gary Johnson
e108,Middle Tennessee State University,University Of North Texas,Undirected,1,1999,Martha Turner,Martha Turner
e109,New York University,University Of Notre Dame,Undirected,1,1999,Thomas G. Labrecque,Thomas G. Labrecque
e110,New Jersey Institute Of Technology,University Of Notre Dame,Undirected,1,1999,Raymond G. Chambers,Raymond G. Chambers
e111,Carnegie Mellon University,University Of Oklahoma,Undirected,1,1999,Stephen J. Jatras,Stephen J. Jatras
e112,Oklahoma State University,University Of Oklahoma,Undirected,1,1999,Marlin Glass,Marlin Glass
e113,Oklahoma State University,University Of Oklahoma,Undirected,1,1999,"Leonard J. Eaton, Jr","Leonard J. Eaton, Jr"
e114,Oklahoma State University,University Of Oklahoma,Undirected,1,1999,Hans Brisch,Hans Brisch
e115,Oklahoma State University,University Of Oklahoma,Undirected,1,1999,Bill W. Burgess,"Bill W. Burgess, Jr"
e116,Hofstra University,University Of Pittsburgh,Undirected,1,1999,Thomas H. O'Brien,Thomas H. O'Brien
e117,Carnegie Mellon University,University Of Pittsburgh,Undirected,1,1999,Frank V. Cahouet,Frank V. Cahouet
e118,Pennsylvania State University,University Of Pittsburgh,Undirected,1,1999,"Eugene W. Hickok, Jr.","Eugene W. Hickok, Jr"
e119,Temple University,University Of Pittsburgh,Undirected,1,1999,"Eugene W. Hickok, Jr.","Eugene W. Hickok, Jr"
