Id,Source,Target,Type,Weight,Year,PersonName_Source,PersonName_Target
e273,Kent State University,University Of Toledo,Undirected,1,1999,Ralph E. Schey,Ralph E. Schey
e274,Ohio University,University Of Toledo,Undirected,1,1999,Ralph E. Schey,Ralph E. Schey
e275,University Of Akron,University Of Toledo,Undirected,1,1999,Ralph E. Schey,Ralph E. Schey
e276,University Of Cincinnati,University Of Toledo,Undirected,1,1999,Ralph E. Schey,Ralph E. Schey
e277,Cleveland State University,University Of Toledo,Undirected,1,1999,Ralph E. Schey,Ralph E. Schey
e278,New York University,Yeshiva University,Undirected,1,1999,Diane Belfer,Diane Belfer
e279,Hofstra University,Yeshiva University,Undirected,1,1999,David S. Mack,David S. Mack
e280,Massachusetts Institute Of Technology,Yeshiva University,Undirected,1,1999,Elliot K. Wolk,Elliot K. Wolk
e281,California Institute Of Technology,Chapman University,Undirected,1,2000,George L. Argyros,George L. Argyros
e282,Carnegie Mellon University,Duquesne University,Undirected,1,2000,"John G. Rangos, Sr","John G. Rangos, Sr"
e283,Carnegie Mellon University,Duquesne University,Undirected,1,2000,Carol R. Brown,Carol R. Brown
e284,Carnegie Mellon University,Duquesne University,Undirected,1,2000,Stanley R. Gumberg,Stanley R. Gumberg
e285,Brandeis University,Fordham University,Undirected,1,2000,Robert Shapiro,Robert Shapiro
e286,Fordham University,Georgetown University,Undirected,1,2000,William P. Frank,William P. Frank
e287,California Institute Of Technology,Harvard University,Undirected,1,2000,Mildred S. Dresselhaus,Mildred S. Dresselhaus
e288,Howard University,Johns Hopkins University,Undirected,1,2000,Frank Savage,Frank Savage
e289,Brown University,Johns Hopkins University,Undirected,1,2000,Joanne Leedom-Ackerman,Joanne Leedom-Ackerman
e290,Cleveland State University,Kent State University,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e291,Cleveland State University,Kent State University,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e292,Cleveland State University,Kent State University,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e293,Cleveland State University,Kent State University,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e294,Cleveland State University,Kent State University,Undirected,1,2000,Ralph E. Schey,Ralph E. Schey
e295,Cleveland State University,Kent State University,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e296,Cleveland State University,Kent State University,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e297,Cleveland State University,Kent State University,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e298,Cleveland State University,Kent State University,Undirected,1,2000,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr"
e299,Andrews University,Loma Linda University,Undirected,1,2000,G. Ralph Thompson,G. Ralph Thompson
e300,Andrews University,Loma Linda University,Undirected,1,2000,Alfred C. McClure,Alfred C. McClure
e301,Boston College,Loyola University Chicago,Undirected,1,2000,"Rev. William P. Leahy, SJ","Rev. William P. Leahy, SJ"
e302,Illinois Institute Of Technology,Loyola University Chicago,Undirected,1,2000,"Homer J. Livingston, Jr","Homer J. Livingston, Jr"
e303,Creighton University,Loyola University Chicago,Undirected,1,2000,"Rev. Michael G. Morrison, SJ","Rev. Michael G. Morrison, SJ"
e304,Illinois Institute Of Technology,Loyola University Chicago,Undirected,1,2000,Fidelis N. Umeh.,Fidelis N. Umeh
e305,George Washington University,Marquette University,Undirected,1,2000,John M. Kucharski,John M. Kucharski
e306,Johns Hopkins University,Massachusetts Institute Of Technology,Undirected,1,2000,Norman R. Augustine,Norman R. Augustine
e307,Boston University,Massachusetts Institute Of Technology,Undirected,1,2000,Norman E. Gaut,Norman E. Gaut
e308,Georgetown University,New York University,Undirected,1,2000,William R. Berkley,William R. Berkley
e309,Case Western Reserve University,Ohio State University,Undirected,1,2000,David L. Brennan,David L. Brennan
e310,Hampton University,Old Dominion University,Undirected,1,2000,"Edward L. Hamm, Jr","Edward L. Hamm, Jr"
e311,Polytechnic University,Rensselaer Polytechnic Institute,Undirected,1,2000,William C.W. Mow,William C.W. Mow
e312,Polytechnic University,Rensselaer Polytechnic Institute,Undirected,1,2000,"George Campbell, Jr.","George Campbell, Jr"
e313,Dartmouth College,Rockefeller University,Undirected,1,2000,Russell L. Carson,Russell L. Carson
e314,Georgetown University,Rockefeller University,Undirected,1,2000,Gustavo A. Cisneros,Gustavo A. Cisneros
e315,Princeton University,Rockefeller University,Undirected,1,2000,Anthony B. Evnin,Anthony B. Evnin
e316,New York University,Rockefeller University,Undirected,1,2000,Maurice R. Greenberg,Maurice R. Greenberg
e317,Georgetown University,Saint Louis University,Undirected,1,2000,"John W. Padberg, SJ","John W. Padberg, SJ"
e318,Lehigh University,Seton Hall University,Undirected,1,2000,"Frank E. Walsh, Jr","Frank E. Walsh, Jr"
e319,Catholic University Of America,Seton Hall University,Undirected,1,2000,Most Rev. Theodore E. McCarrick,Most Rev. Theodore E. McCarrick
e320,Rice University,Stanford University,Undirected,1,2000,Burton J. McMurtry,Burton J. McMurtry
e321,Rockefeller University,Stanford University,Undirected,1,2000,Robert M. Bass,Robert M. Bass
e322,Pennsylvania State University,Temple University,Undirected,1,2000,Eugene W. Hickok,"Eugene W. Hickok, Jr."
e323,Brown University,Tufts University,Undirected,1,2000,Martin Granoff,Martin Granoff
e324,Cleveland State University,University Of Akron,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e325,Kent State University,University Of Akron,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e326,Cleveland State University,University Of Akron,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e327,Kent State University,University Of Akron,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e328,Cleveland State University,University Of Akron,Undirected,1,2000,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr"
e329,Kent State University,University Of Akron,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e330,Cleveland State University,University Of Akron,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e331,Kent State University,University Of Akron,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e332,Kent State University,University Of Akron,Undirected,1,2000,Jeanette Grasselli Brown,Jeanette Grasselli Brown
e333,Cleveland State University,University Of Akron,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e334,Kent State University,University Of Akron,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e335,Cleveland State University,University Of Akron,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e336,Kent State University,University Of Akron,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e337,Cleveland State University,University Of Akron,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e338,Kent State University,University Of Akron,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e339,Cleveland State University,University Of Akron,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e340,Kent State University,University Of Akron,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e341,Cleveland State University,University Of Akron,Undirected,1,2000,Ralph E. Schey,Ralph E. Schey
e342,Kent State University,University Of Akron,Undirected,1,2000,Ralph E. Schey,Ralph E. Schey
e343,Tufts University,University Of Chicago,Undirected,1,2000,Joseph Neubauer,Joseph Neubauer
e344,Illinois Institute Of Technology,University Of Chicago,Undirected,1,2000,Casey Cowell,Casey Cowell
e345,Marquette University,University Of Chicago,Undirected,1,2000,Willie D. Davis,Willie D. Davis
e346,New School University,University Of Chicago,Undirected,1,2000,Strachan Donnelley,Strachan Donnelley
e347,Georgetown University,University Of Connecticut,Undirected,1,2000,William R. Berkley,William R. Berkley
e348,New York University,University Of Connecticut,Undirected,1,2000,William R. Berkley,William R. Berkley
e349,Marquette University,University Of Dayton,Undirected,1,2000,Richard A. Abdoo,Richard A. Abdoo
e350,Tufts University,University Of Delaware,Undirected,1,2000,John A. Krol,John A. Krol
e351,Georgetown University,University Of Delaware,Undirected,1,2000,Charles M. Cawley,Charles M. Cawley
e352,Idaho State University,University Of Idaho,Undirected,1,2000,Harold W. Davis,Harold W. Davis
e353,Idaho State University,University Of Idaho,Undirected,1,2000,Curtis H. Eaton,Curtis H. Eaton
e354,New Mexico State University,University Of New Mexico,Undirected,1,2000,Michael J. Davis,Michael J. Davis
e355,Massachusetts Institute Of Technology,University Of North Carolina At Greensboro,Undirected,1,2000,Theresa M. Stone,Theresa M. Stone
e356,New York University,University Of Notre Dame,Undirected,1,2000,Thomas G. Labrecque *,Thomas G. Labrecque
e357,New Jersey Institute Of Technology,University Of Notre Dame,Undirected,1,2000,Raymond G. Chambers,Raymond G. Chambers
e358,Carnegie Mellon University,University Of Oklahoma,Undirected,1,2000,Stephen J. Jatras.,Stephen J. Jatras
e359,Oklahoma State University,University Of Oklahoma,Undirected,1,2000,"Leonard J. Eaton, Jr.","Leonard J. Eaton, Jr"
e360,Oklahoma State University,University Of Oklahoma,Undirected,1,2000,Bill W. Burgess,"Bill W. Burgess, Jr"
e361,Oklahoma State University,University Of Oklahoma,Undirected,1,2000,Hans Brisch,Hans Brisch
e362,Oklahoma State University,University Of Oklahoma,Undirected,1,2000,Marlin Glass,Marlin Glass
e363,New York University,University Of Pennsylvania,Undirected,1,2000,Henry R. Silverman,Henry R. Silverman
e364,Rockefeller University,University Of Pennsylvania,Undirected,1,2000,Christopher H. Browne,Christopher H. Browne
e365,Pennsylvania State University,University Of Pittsburgh,Undirected,1,2000,Thomas J. Ridge,Thomas J. Ridge
e366,Hofstra University,University Of Pittsburgh,Undirected,1,2000,Thomas H. O'Brien,Thomas H. O'Brien
e367,New Jersey Institute Of Technology,University Of Pittsburgh,Undirected,1,2000,Paul E. Lego,Paul E. Lego
e368,Pennsylvania State University,University Of Pittsburgh,Undirected,1,2000,Eugene W. Hickok,"Eugene W. Hickok, Jr"
e369,Temple University,University Of Pittsburgh,Undirected,1,2000,"Eugene W. Hickok, Jr.","Eugene W. Hickok, Jr"
e370,Carnegie Mellon University,University Of Pittsburgh,Undirected,1,2000,Frank V. Cahouet,Frank V. Cahouet
e371,Carnegie Mellon University,University Of Pittsburgh,Undirected,1,2000,William S. Dietrich II.,William S. Dietrich II
e372,Loyola University Chicago,University Of San Diego,Undirected,1,2000,Alice B. Hayes,Alice B. Hayes
e373,Loyola University Chicago,University Of San Francisco,Undirected,1,2000,"Rev. John P. Schlegel, SJ","Rev. John P. Schlegel, SJ"
e374,Auburn University,University Of South Alabama,Undirected,1,2000,Don Siegelman,Don Siegelman
e375,Auburn University,University Of South Alabama,Undirected,1,2000,Ed Richardson,Ed Richardson
e376,South Dakota State University,University Of South Dakota,Undirected,1,2000,David Gienapp,David Gienapp
e377,South Dakota State University,University Of South Dakota,Undirected,1,2000,Jack Rentschler,Jack Rentschler
e378,South Dakota State University,University Of South Dakota,Undirected,1,2000,Robert T. Perry,Robert T. Perry
e379,Marquette University,University Of St Thomas Minnesota,Undirected,1,2000,Gerald A. Rauenhorst,Gerald A. Rauenhorst
e380,University Of Notre Dame,University Of St Thomas Minnesota,Undirected,1,2000,"Rev. Edward A. Malloy, CSC","Rev. Edward A. Malloy, CSC"
e381,Cornell University,University Of Tulsa,Undirected,1,2000,Peter C. Meinig,Peter C. Meinig
e382,University Of Utah,Utah State University,Undirected,1,2000,Jerry C. Atkin,Jerry C. Atkin
e383,University Of Utah,Utah State University,Undirected,1,2000,Pamela J. Atkinson,Pamela J. Atkinson
e384,University Of Utah,Utah State University,Undirected,1,2000,Aileen H. Clyde,Aileen H. Clyde
e385,University Of Utah,Utah State University,Undirected,1,2000,David J. Grant,David J. Grant
e386,University Of Utah,Utah State University,Undirected,1,2000,L. Brent Hoggan,L. Brent Hoggan
e387,University Of Utah,Utah State University,Undirected,1,2000,Karen H. Huntsman,Karen H. Huntsman
e388,University Of Utah,Utah State University,Undirected,1,2000,Kenneth G. Anderton,Kenneth G. Anderton
e389,University Of Utah,Utah State University,Undirected,1,2000,Charles E. Johnson,Charles E. Johnson
e390,University Of Utah,Utah State University,Undirected,1,2000,David J. Jordan,David J. Jordan
e391,University Of Utah,Utah State University,Undirected,1,2000,E. George Mantes,E. George Mantes
e392,University Of Utah,Utah State University,Undirected,1,2000,Winn L. Richards,Winn L. Richards
e393,University Of Utah,Utah State University,Undirected,1,2000,Paul S. Rogers,Paul S. Rogers
e394,University Of Utah,Utah State University,Undirected,1,2000,Maria Sweeten,Maria Sweeten
e395,University Of Utah,Utah State University,Undirected,1,2000,James S. Jardine,James S. Jardine
e396,University Of Utah,Utah State University,Undirected,1,2000,Michael R. Jensen,Michael R. Jensen
e397,Seton Hall University,Villanova University,Undirected,1,2000,Lawrence E. Bathgate II,Lawrence E. Bathgate II
e398,Indiana University Of Pennsylvania,West Chester University Of Pennsylvania,Undirected,1,2000,James H. McCormick,James H. McCormick
e399,Marshall University,West Virginia University,Undirected,1,2000,Lucia B. James,Lucia B. James
e400,Marshall University,West Virginia University,Undirected,1,2000,Ron D. Stollings,Ron D. Stollings
e401,Marshall University,West Virginia University,Undirected,1,2000,Joseph W. Powell,Joseph W. Powell
e402,Marshall University,West Virginia University,Undirected,1,2000,Thomas E. Potter,Thomas E. Potter
e403,Marshall University,West Virginia University,Undirected,1,2000,J. Thomas Jones,J. Thomas Jones
e404,Marshall University,West Virginia University,Undirected,1,2000,Jeremy Posey,Jeremy Posey
e405,Marshall University,West Virginia University,Undirected,1,2000,Phyllis H. Arnold,Phyllis H. Arnold
e406,Marshall University,West Virginia University,Undirected,1,2000,Ellen Broudy,Ellen Broudy
e407,Marshall University,West Virginia University,Undirected,1,2000,John David,John David
e408,Marshall University,West Virginia University,Undirected,1,2000,Michael J. Farrell,Michael J. Farrell
e409,Marshall University,West Virginia University,Undirected,1,2000,James H. Harless,James H. Harless
e410,Marshall University,West Virginia University,Undirected,1,2000,John R. Hoblitzell,John R. Hoblitzell
e411,Thomas Jefferson University,Widener University,Undirected,1,2000,Peter M. Mattoon,Peter M. Mattoon
e412,Carnegie Mellon University,Worcester Polytechnic Institute,Undirected,1,2000,Paul A. Allaire,Paul A. Allaire
e413,Stevens Institute Of Technology,Worcester Polytechnic Institute,Undirected,1,2000,Thomas A. Corcoran,Thomas A. Corcoran
e414,New School University,Yale University,Undirected,1,2000,"Barrington D. Parker, Jr","Barrington D. Parker, Jr"
e415,University Of Connecticut,Yale University,Undirected,1,2000,John G. Rowland,John G. Rowland
e416,Hofstra University,Yeshiva University,Undirected,1,2000,David S. Mack,David S. Mack
e417,Massachusetts Institute Of Technology,Yeshiva University,Undirected,1,2000,Elliot K. Wolk,Elliot K. Wolk
e418,Columbia University,Yeshiva University,Undirected,1,2000,John E. Zuccotti,John E. Zuccotti
e419,New York University,Yeshiva University,Undirected,1,2000,Diane Belfer,Diane Belfer
e420,Brown University,University Of Rhode Island,Undirected,1,2000,Frederick Lippitt,Frederick Lippitt
e421,Harvard University,Rockefeller University,Undirected,1,2000,D. Ronald Daniel,D. Ronald Daniel
e422,Loyola Marymount University,University Of Notre Dame,Undirected,1,2000,"Thomas E. Larkin, Jr","Thomas E. Larkin, Jr"
e423,Loyola Marymount University,University Of Southern California,Undirected,1,2000,Kathleen L. McCarthy,Kathleen L. McCarthy
e424,Loyola Marymount University,Loyola University Chicago,Undirected,1,2000,"Rev. John J. Piderit, SJ","Rev. John J. Piderit, SJ"
e425,Cleveland State University,Ohio State University,Undirected,1,2000,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr"
e426,Kent State University,Ohio State University,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e427,Ohio State University,University Of Akron,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e428,Cleveland State University,Ohio State University,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e429,Kent State University,Ohio State University,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e430,Ohio State University,University Of Akron,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e431,Cleveland State University,Ohio State University,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e432,Kent State University,Ohio State University,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e433,Ohio State University,University Of Akron,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e434,Kent State University,Ohio State University,Undirected,1,2000,Jeanette Grasselli Brown,Jeanette Grasselli Brown
e435,Ohio State University,University Of Akron,Undirected,1,2000,Jeanette Grasselli Brown,Jeanette Grasselli Brown
e436,Cleveland State University,Ohio State University,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e437,Kent State University,Ohio State University,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e438,Ohio State University,University Of Akron,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e439,Cleveland State University,Ohio State University,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e440,Kent State University,Ohio State University,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e441,Ohio State University,University Of Akron,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e442,Cleveland State University,Ohio State University,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e443,Kent State University,Ohio State University,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e444,Ohio State University,University Of Akron,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e445,Cleveland State University,Ohio State University,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e446,Kent State University,Ohio State University,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e447,Ohio State University,University Of Akron,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e448,Cleveland State University,Ohio State University,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e449,Kent State University,Ohio State University,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e450,Ohio State University,University Of Akron,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e451,Cleveland State University,Ohio University,Undirected,1,2000,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr"
e452,Kent State University,Ohio University,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e453,Ohio University,University Of Akron,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e454,Ohio State University,Ohio University,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e455,Cleveland State University,Ohio University,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e456,Kent State University,Ohio University,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e457,Ohio University,University Of Akron,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e458,Ohio State University,Ohio University,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e459,Cleveland State University,Ohio University,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e460,Kent State University,Ohio University,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e461,Ohio University,University Of Akron,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e462,Ohio State University,Ohio University,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e463,Kent State University,Ohio University,Undirected,1,2000,Jeanette Grasselli Brown,Jeanette Grasselli Brown
e464,Ohio University,University Of Akron,Undirected,1,2000,Jeanette Grasselli Brown,Jeanette Grasselli Brown
e465,Ohio State University,Ohio University,Undirected,1,2000,Jeanette Grasselli Brown,Jeanette Grasselli Brown
e466,Cleveland State University,Ohio University,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e467,Kent State University,Ohio University,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e468,Ohio University,University Of Akron,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e469,Ohio State University,Ohio University,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e470,Cleveland State University,Ohio University,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e471,Kent State University,Ohio University,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e472,Ohio University,University Of Akron,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e473,Ohio State University,Ohio University,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e474,Cleveland State University,Ohio University,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e475,Kent State University,Ohio University,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e476,Ohio University,University Of Akron,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e477,Ohio State University,Ohio University,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e478,Cleveland State University,Ohio University,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e479,Kent State University,Ohio University,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e480,Ohio University,University Of Akron,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e481,Ohio State University,Ohio University,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e482,Cleveland State University,Ohio University,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e483,Kent State University,Ohio University,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e484,Ohio University,University Of Akron,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e485,Ohio State University,Ohio University,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e486,Cleveland State University,Ohio University,Undirected,1,2000,Ralph E. Schey,Ralph E. Schey
e487,Kent State University,Ohio University,Undirected,1,2000,Ralph E. Schey,Ralph E. Schey
e488,Ohio University,University Of Akron,Undirected,1,2000,Ralph E. Schey,Ralph E. Schey
e489,Cleveland State University,University Of Cincinnati,Undirected,1,2000,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr"
e490,Kent State University,University Of Cincinnati,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e491,University Of Akron,University Of Cincinnati,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e492,Ohio State University,University Of Cincinnati,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e493,Ohio University,University Of Cincinnati,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e494,Cleveland State University,University Of Cincinnati,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e495,Kent State University,University Of Cincinnati,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e496,University Of Akron,University Of Cincinnati,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e497,Ohio State University,University Of Cincinnati,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e498,Ohio University,University Of Cincinnati,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e499,Cleveland State University,University Of Cincinnati,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e500,Kent State University,University Of Cincinnati,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e501,University Of Akron,University Of Cincinnati,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e502,Ohio State University,University Of Cincinnati,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e503,Ohio University,University Of Cincinnati,Undirected,1,2000,Robert A. Gardner,Robert A. Gardner
e504,Kent State University,University Of Cincinnati,Undirected,1,2000,Jeanette Grasselli Brown,Jeanette Grasselli Brown
e505,University Of Akron,University Of Cincinnati,Undirected,1,2000,Jeanette Grasselli Brown,Jeanette Grasselli Brown
e506,Ohio State University,University Of Cincinnati,Undirected,1,2000,Jeanette Grasselli Brown,Jeanette Grasselli Brown
e507,Ohio University,University Of Cincinnati,Undirected,1,2000,Jeanette Grasselli Brown,Jeanette Grasselli Brown
e508,Cleveland State University,University Of Cincinnati,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e509,Kent State University,University Of Cincinnati,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e510,University Of Akron,University Of Cincinnati,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e511,Ohio State University,University Of Cincinnati,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e512,Ohio University,University Of Cincinnati,Undirected,1,2000,Elizabeth K. Lanier,Elizabeth K. Lanier
e513,Cleveland State University,University Of Cincinnati,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e514,Kent State University,University Of Cincinnati,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e515,University Of Akron,University Of Cincinnati,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e516,Ohio State University,University Of Cincinnati,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e517,Ohio University,University Of Cincinnati,Undirected,1,2000,Gerald M. Miller,Gerald M. Miller
e518,Cleveland State University,University Of Cincinnati,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e519,Kent State University,University Of Cincinnati,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e520,University Of Akron,University Of Cincinnati,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e521,Ohio State University,University Of Cincinnati,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e522,Ohio University,University Of Cincinnati,Undirected,1,2000,Thomas W. Noe,Thomas W. Noe
e523,Cleveland State University,University Of Cincinnati,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e524,Kent State University,University Of Cincinnati,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e525,University Of Akron,University Of Cincinnati,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e526,Ohio State University,University Of Cincinnati,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e527,Ohio University,University Of Cincinnati,Undirected,1,2000,Stephen A. Perry,Stephen A. Perry
e528,Cleveland State University,University Of Cincinnati,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e529,Kent State University,University Of Cincinnati,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e530,University Of Akron,University Of Cincinnati,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e531,Ohio State University,University Of Cincinnati,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e532,Ohio University,University Of Cincinnati,Undirected,1,2000,J. Gilbert Reese,J. Gilbert Reese
e533,Cleveland State University,University Of Cincinnati,Undirected,1,2000,Ralph E. Schey,Ralph E. Schey
e534,Kent State University,University Of Cincinnati,Undirected,1,2000,Ralph E. Schey,Ralph E. Schey
e535,University Of Akron,University Of Cincinnati,Undirected,1,2000,Ralph E. Schey,Ralph E. Schey
e536,Ohio University,University Of Cincinnati,Undirected,1,2000,Ralph E. Schey,Ralph E. Schey
e537,Cleveland State University,University Of Toledo,Undirected,1,2000,"Tahlman Krumm, Jr.","Tahlman Krumm, Jr"
e538,Kent State University,University Of Toledo,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e539,University Of Akron,University Of Toledo,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e540,Ohio State University,University Of Toledo,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e541,Ohio University,University Of Toledo,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e542,University Of Cincinnati,University Of Toledo,Undirected,1,2000,"Tahlman Krumm, Jr","Tahlman Krumm, Jr"
e543,Cleveland State University,University Of Toledo,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e544,Kent State University,University Of Toledo,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e545,University Of Akron,University Of Toledo,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e546,Ohio State University,University Of Toledo,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
e547,Ohio University,University Of Toledo,Undirected,1,2000,Gerald H. Gordon,Gerald H. Gordon
