Id,Interlock_Count,AffiliationId,Label,female_president,control,region
Oklahoma State University,37,115475287.0,Oklahoma State University,False,Public,South
Old Dominion University,2,81365321.0,Old Dominion University,False,Public,South
Oregon Health & Science University,0,165690674.0,Oregon Health & Science University,False,Public,West
Pace University,0,126863827.0,Pace University,True,Private,Northeast
Pennsylvania State University,30,130769515.0,Pennsylvania State University,False,Public,Northeast
Pepperdine University,4,100191712.0,Pepperdine University,False,Private,West
Polytechnic Institute Of New York University,6,57206974.0,Polytechnic Institute Of New York University,False,Private,Northeast
Polytechnic University,6,57206974.0,Polytechnic University,False,Private,Northeast
Princeton University,24,20089843.0,Princeton University,False,Private,Northeast
Purdue University,0,219193219.0,Purdue University,False,Public,Midwest
Rensselaer Polytechnic Institute,12,165799507.0,Rensselaer Polytechnic Institute,False,Private,Northeast
Rice University,13,74775410.0,Rice University,False,Private,South
Rochester Institute Of Technology,11,155173764.0,Rochester Institute Of Technology,False,Private,Northeast
Rockefeller University,51,83399316.0,Rockefeller University,False,Private,Northeast
Rowan University,1,44265643.0,Rowan University,False,Public,Northeast
Rutgers State University Of New Jersey,1,102322142.0,Rutgers State University Of New Jersey,False,Public,Northeast
Saint Louis University,10,47838141.0,Saint Louis University,False,Private,Midwest
Seton Hall University,15,12524447.0,Seton Hall University,False,Private,Northeast
South Dakota State University,46,177156846.0,South Dakota State University,True,Public,Midwest
Southern Illinois University,0,2801502357.0,Southern Illinois University,False,Public,Midwest
Southern Illinois University System,0,2801502357.0,Southern Illinois University System,False,Public,Midwest
Southern Methodist University,2,178169726.0,Southern Methodist University,False,Private,South
St Johns University,12,142823887.0,St Johns University,False,Private,Northeast
Stanford University,11,97018004.0,Stanford University,False,Private,West
State University Of New York At Albany,1,392282.0,State University Of New York At Albany,True,Public,Northeast
State University Of New York At Binghamton,0,123946342.0,State University Of New York At Binghamton,True,Public,Northeast
State University Of New York At Buffalo,0,63190737.0,State University Of New York At Buffalo,False,Public,Northeast
State University Of New York At Stony Brook,0,59553526.0,State University Of New York At Stony Brook,True,Public,Northeast
State University Of New York Stony Brook,0,59553526.0,State University Of New York Stony Brook,True,Public,Northeast
Stevens Institute Of Technology,1,108468826.0,Stevens Institute Of Technology,False,Private,Northeast
Syracuse University,8,70983195.0,Syracuse University,False,Private,Northeast
Temple University,17,84392919.0,Temple University,False,Public,Northeast
Tennessee State University,338,75256744.0,Tennessee State University,False,Public,South
Tennessee Technological University,344,63920570.0,Tennessee Technological University,False,Public,South
Texas Christian University,2,128956969.0,Texas Christian University,False,Private,South
Texas State University San Marcos,0,13511017.0,Texas State University San Marcos,True,Public,South
Texas Tech University,0,12315562.0,Texas Tech University,False,Public,South
Texas Womans University,0,150913223.0,Texas Womans University,True,Public,South
Thomas Jefferson University,8,149251103.0,Thomas Jefferson University,False,Private,Northeast
Tufts University,17,121934306.0,Tufts University,False,Private,Northeast
Union Institute,0,204669301.0,Union Institute,False,Private,Midwest
Union Institute & University,0,204669301.0,Union Institute & University,False,Private,Midwest
University At Albany Suny,0,392282.0,University At Albany Suny,True,Public,Northeast
University At Buffalo State University Of New York,0,63190737.0,University At Buffalo State University Of New York,False,Public,Northeast
University Of Akron,116,110152177.0,University Of Akron,True,Public,Midwest
University Of Alabama,2,17301866.0,University Of Alabama,False,Public,South
University Of Arizona,118,138006243.0,University Of Arizona,False,Public,West
University Of California Berkeley,0,95457486.0,University Of California Berkeley,False,Public,West
University Of California Los Angeles,0,161318765.0,University Of California Los Angeles,False,Public,West
University Of Central Florida,0,106165777.0,University Of Central Florida,False,Public,South
University Of Chicago,44,40347166.0,University Of Chicago,False,Private,Midwest
University Of Cincinnati,116,63135867.0,University Of Cincinnati,False,Public,Midwest
University Of Connecticut,13,140172145.0,University Of Connecticut,False,Public,Northeast
University Of Dayton,1,127591826.0,University Of Dayton,False,Private,Midwest
University Of Delaware,5,86501945.0,University Of Delaware,False,Public,South
University Of Denver,2,131651094.0,University Of Denver,False,Private,West
University Of Florida,0,33213144.0,University Of Florida,False,Public,South
University Of Hartford,0,162281398.0,University Of Hartford,False,Private,Northeast
University Of Houston,0,44461941.0,University Of Houston,True,Public,South
University Of Idaho,26,155093810.0,University Of Idaho,False,Public,West
University Of Illinois At Urbana Champaign,1,157725225.0,University Of Illinois At Urbana Champaign,False,Public,Midwest
University Of Iowa,47,126307644.0,University Of Iowa,True,Public,Midwest
University Of Kansas,107,146416000.0,University Of Kansas,False,Public,Midwest
University Of Kentucky,0,143302722.0,University Of Kentucky,False,Public,South
University Of La Verne,0,708430.0,University Of La Verne,False,Private,West
University Of Louisville,1,142740786.0,University Of Louisville,False,Public,South
University Of Massachusetts Worcester,0,166722992.0,University Of Massachusetts Worcester,False,Public,Northeast
University Of Memphis,330,94658018.0,University Of Memphis,False,Public,South
University Of Miami,0,145608581.0,University Of Miami,False,Private,South
University Of Michigan,0,27837315.0,University Of Michigan,False,Public,Midwest
University Of Minnesota,0,130238516.0,University Of Minnesota,False,Public,Midwest
University Of Mississippi,42,368840534.0,University Of Mississippi,False,Public,South
University Of Missouri Columbia,0,76835614.0,University Of Missouri Columbia,False,Public,Midwest
University Of Missouri St Louis,0,208333798.0,University Of Missouri St Louis,True,Public,Midwest
University Of Montana Missoula,0,6750721.0,University Of Montana Missoula,False,Public,West
University Of Nevada Reno,0,134113660.0,University Of Nevada Reno,False,Public,West
University Of New Mexico,6,169521973.0,University Of New Mexico,False,Public,West
University Of North Carolina At Charlotte,2,102149020.0,University Of North Carolina At Charlotte,False,Public,South
University Of North Carolina At Greensboro,4,169335092.0,University Of North Carolina At Greensboro,True,Public,South
University Of North Carolina At Wilmington,0,153901656.0,University Of North Carolina At Wilmington,False,Public,South
University Of North Florida,0,11874761.0,University Of North Florida,False,Public,South
University Of North Texas,1,123534392.0,University Of North Texas,False,Public,South
University Of Northern Colorado,0,71966907.0,University Of Northern Colorado,False,Public,West
University Of Notre Dame,21,107639228.0,University Of Notre Dame,False,Private,Midwest
University Of Oklahoma,40,8692664.0,University Of Oklahoma,False,Public,South
University Of Oregon,0,181233156.0,University Of Oregon,False,Public,West
University Of Pacific,3,119942576.0,University Of Pacific,False,Private,West
University Of Pennsylvania,26,79576946.0,University Of Pennsylvania,True,Private,Northeast
University Of Pittsburgh,46,170201317.0,University Of Pittsburgh,False,Public,Northeast
University Of Rhode Island,2,17626003.0,University Of Rhode Island,False,Public,Northeast
University Of Rochester,11,5388228.0,University Of Rochester,False,Private,Northeast
University Of San Diego,13,160856358.0,University Of San Diego,True,Private,West
University Of San Francisco,3,76766440.0,University Of San Francisco,False,Private,West
University Of South Alabama,10,83809506.0,University Of South Alabama,False,Public,South
University Of South Carolina,0,155781252.0,University Of South Carolina,False,Public,South
University Of South Dakota,46,189957204.0,University Of South Dakota,False,Public,Midwest
University Of South Florida,0,2613432.0,University Of South Florida,True,Public,South
University Of Southern California,27,1174212.0,University Of Southern California,False,Private,West
University Of Southern Mississippi,43,44854399.0,University Of Southern Mississippi,False,Public,South
University Of St Thomas Minnesota,27,161515732.0,University Of St Thomas Minnesota,False,Private,Midwest
University Of Texas At Austin,0,86519309.0,University Of Texas At Austin,False,Public,South
University Of Texas At Brownsville/Texas Southmost College,0,2802326326.0,University Of Texas At Brownsville/Texas Southmost College,True,Public,South
University Of Toledo,116,90871651.0,University Of Toledo,False,Public,Midwest
University Of Tulsa,6,87208437.0,University Of Tulsa,False,Private,South
University Of Utah,95,223532165.0,University Of Utah,False,Public,West
University Of Vermont,0,111236770.0,University Of Vermont,True,Public,Northeast
University Of Virginia,4,51556381.0,University Of Virginia,False,Public,South
University Of Washington,0,201448701.0,University Of Washington,False,Public,West
University Of Wyoming,0,12834331.0,University Of Wyoming,False,Public,West
Utah State University,95,121980950.0,Utah State University,False,Public,West
Vanderbilt University,13,200719446.0,Vanderbilt University,False,Private,South
Villanova University,3,7863295.0,Villanova University,False,Private,Northeast
Virginia Commonwealth University,1,184840846.0,Virginia Commonwealth University,False,Public,South
Virginia Polytechnic Institute And State University,0,859038795.0,Virginia Polytechnic Institute And State University,False,Public,South
Virginia Tech,0,859038795.0,Virginia Tech,False,Public,South
Wake Forest University,4,47251452.0,Wake Forest University,False,Private,South
Washington State University,2,72951846.0,Washington State University,False,Public,West
Washington University,7,204465549.0,Washington University,False,Private,Midwest
Wayne State University,0,185443292.0,Wayne State University,False,Public,Midwest
West Chester University Of Pennsylvania,5,161171246.0,West Chester University Of Pennsylvania,True,Public,Northeast
West Virginia University,31,12097938.0,West Virginia University,False,Public,South
Western Michigan University,0,141649380.0,Western Michigan University,False,Public,Midwest
Wichita State University,105,39587148.0,Wichita State University,False,Public,Midwest
Widener University,4,138659443.0,Widener University,False,Private,Northeast
Worcester Polytechnic Institute,4,107077323.0,Worcester Polytechnic Institute,False,Private,Northeast
Wright State University,0,19648265.0,Wright State University,True,Public,Midwest
Yale University,13,32971472.0,Yale University,False,Private,Northeast
Yeshiva University,24,19772626.0,Yeshiva University,False,Private,Northeast
