Institution,AffiliationId,eigenvector,betweenness,degree,strength,clustering,Year
Hofstra University,139290212.0,1.3471992026129762e-06,0.0,2.0,0.0185185185185185,0.0,1999
Howard University,137853757.0,8.187802140153342e-07,0.0,1.0,0.0114942528735632,0.0,1999
Illinois Institute of Technology,180949307.0,1.3399804979848138e-06,0.015873015873015872,2.0,0.0252188102655391,0.0,1999
Illinois State University,47301684.0,,,,,,1999
Indiana State University,86420138.0,1.7806006629511217e-06,0.00020614306328592042,2.0,0.0455465587044534,0.0,1999
Indiana University of Pennsylvania,200885203.0,0.0001408197145966467,0.0,2.0,0.0261206605999325,0.026095319765059695,1999
Jackson State University,61937129.0,,,,,,1999
James Madison University,11883440.0,,,,,,1999
Johns Hopkins University,145311948.0,1.347707993166936e-06,0.05029890744176458,3.0,0.0301899050474762,0.0,1999
Kennesaw State University,172980758.0,3.8835975198890275e-06,0.0,1.0,0.0454545454545454,0.0,1999
Kent State University,149910238.0,8.132290055025769e-07,0.015873015873015872,2.0,0.0144995080524053,0.0,1999
Lehigh University,186143895.0,1.5047794909462977e-06,0.015873015873015872,2.0,0.032765737874097,0.0,1999
Loma Linda University,26347476.0,4.85698386353422e-06,0.0,1.0,0.0666666666666666,0.0,1999
Long Island University,138873065.0,,,,,,1999
Louisiana Tech University,919208787.0,,,,,,1999
Loyola Marymount University,35566140.0,1.1136222708678347e-06,0.07750979179550607,2.0,0.0218637992831541,0.0,1999
Loyola University Chicago,1925986.0,9.358520441282379e-07,0.0,1.0,0.0158730158730158,0.0,1999
Marquette University,102461120.0,3.2174928126747764e-06,0.1282209853638425,5.0,0.0702095453566039,0.00275888039138491,1999
Marshall University,88694374.0,0.7012043987093352,0.0,4.0,0.5402886961236106,0.0862777475222346,1999
Massachusetts Institute of Technology,63966007.0,1.4852085211735425e-06,0.13419913419913418,4.0,0.0357524696870333,0.0,1999
Mercer University,150149174.0,,,,,,1999
Miami University,83328450.0,8.132290055025769e-07,0.015873015873015872,2.0,0.0144995080524053,0.0,1999
Michigan State University,87216513.0,0.0019343983065029425,0.0,1.0,0.0178571428571428,0.0,1999
Michigan Technological University,11957088.0,7.71536517216381e-07,0.0,1.0,0.0119047619047619,0.0,1999
Middle Tennessee State University,169615421.0,1.904836048176263e-06,0.00020614306328592042,2.0,0.0483036227717078,0.0,1999
Mississippi Institutions of Higher Learning,4210141039.0,,,,,,1999
Mississippi State University,99041443.0,,,,,,1999
Missouri University of Science and Technology,20382870.0,,,,,,1999
Montclair State College,166088655.0,,,,,,1999
Montclair State University,166088655.0,,,,,,1999
Nevada System of Higher Education,68260882.0,1.301675135061286e-06,0.0,1.0,0.0227272727272727,0.0,1999
New Jersey Institute of Technology,118118575.0,4.035388585853845e-06,0.061224489795918366,4.0,0.039153120678238396,0.0,1999
New School,102179633.0,1.5153472665558148e-06,0.0313337456194599,2.0,0.0250263832353384,0.0,1999
New School University,102179633.0,1.5153472665558148e-06,0.0313337456194599,2.0,0.0250263832353384,0.0,1999
New York University,57206974.0,4.630787778401979e-06,0.3339517625231911,7.0,0.06222037413452151,0.0010062294975966884,1999
New York University Polytechnic,57206974.0,4.630787778401979e-06,0.3339517625231911,7.0,0.06222037413452151,0.0010062294975966884,1999
New York University-Polytechnic,57206974.0,4.630787778401979e-06,0.3339517625231911,7.0,0.06222037413452151,0.0010062294975966884,1999
North Carolina Agricultural and Technical State University,35777872.0,1.4270371221835836e-06,0.08596165739022882,5.0,0.0352246149533598,0.0020901228045600655,1999
North Carolina State University,137902535.0,1.4270371221835836e-06,0.08596165739022882,5.0,0.0352246149533598,0.0020901228045600655,1999
North Dakota State University,57328836.0,,,,,,1999
North Dakota University,24571045.0,,,,,,1999
North Dakota University System,4210127926.0,,,,,,1999
Northern Arizona University,203172682.0,1.0975338942703484e-06,0.0,1.0,0.0196078431372549,0.0,1999
Northern Illinois University,102502594.0,,,,,,1999
Nova Southeastern University,203088144.0,,,,,,1999
Oakland University,177721651.0,,,,,,1999
Ohio State University,52357470.0,8.132290055025769e-07,0.015873015873015872,2.0,0.0144995080524053,0.0,1999
Ohio University,4210106879.0,8.132290055025769e-07,0.015873015873015872,2.0,0.0144995080524053,0.0,1999
Oklahoma State University,115475287.0,1.5672448635446166e-06,0.0,2.0,0.023649078194532602,0.021202612139629196,1999
Old Dominion University,81365321.0,2.208849413447165e-06,0.0,1.0,0.0238095238095238,0.0,1999
Pace University,126863827.0,,,,,,1999
Pennsylvania State System of Higher Education,29957033.0,0.0001408197145966467,0.0,2.0,0.0261206605999325,0.026095319765059695,1999
Pennsylvania State University,130769515.0,2.7928583477727488e-06,0.003916718202432488,3.0,0.048332328712075504,0.010318360107406107,1999
Pennsylvania State University (PSU),130769515.0,2.7928583477727488e-06,0.003916718202432488,3.0,0.048332328712075504,0.010318360107406107,1999
Polytechnic Institute Of New York University,57206974.0,4.630787778401979e-06,0.3339517625231911,7.0,0.06222037413452151,0.0010062294975966884,1999
Polytechnic University,57206974.0,4.630787778401979e-06,0.3339517625231911,7.0,0.06222037413452151,0.0010062294975966884,1999
Princeton University,20089843.0,1.3013395449137584e-06,0.015873015873015872,2.0,0.0268501426413827,0.0,1999
Purdue University,219193219.0,,,,,,1999
