Year,Institution,AffiliationId,female_president,PrimarySample,total_members,male,female,unknown,total_ethnicity,white,poc,unknown_eth,board_turnover,male_change,female_change,unknown_change,white_change,poc_change,unknown_eth_change,carnegie_id_x,state,control,StateSystem,region,num_billionaires,carnegie_id_y,year_x,admissions.admission_rate.overall,carnegie_id,year_y,student.demographics.age_entry,student.demographics.female_share,student.demographics.married,student.demographics.dependent,student.demographics.avg_family_income,student.students_with_pell_grant,student.demographics.poverty_rate,student.demographics.unemployment,student.demographics.men,student.demographics.women,student.demographics.share_white.home_ZIP,student.demographics.share_black.home_ZIP,student.demographics.share_asian.home_ZIP,student.demographics.share_hispanic.home_ZIP,student.demographics.share_bachelors_degree_age25.home_ZIP,student.demographics.share_professional_degree_age25.home_ZIP,student.demographics.share_born_US.home_ZIP,student.demographics.faculty.women,betweenness,closeness,eigenvector,degree,clustering
1999,College Of William And Mary,16285277.0,False,True,17,11,4,0,15,12,1,0,0.0,0,0,0,0,0,0,231624.0,VA,Public,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Colorado School Of Mines,167576493.0,False,True,7,6,1,0,6,5,1,0,0.0,0,0,0,0,0,0,126775.0,CO,Public,False,West,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Columbia University,78577930.0,False,True,26,18,5,3,21,19,2,0,0.0,0,0,0,0,0,0,190150.0,NY,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Cornell University,205783295.0,False,True,46,37,7,2,35,33,2,0,0.0,0,0,0,0,0,0,190415.0,NY,Private,False,Northeast,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Dartmouth College,107672454.0,False,True,17,13,4,0,15,14,1,0,0.0,0,0,0,0,0,0,182670.0,NH,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Drexel University,72816309.0,False,True,42,34,7,1,34,33,1,0,0.0,0,0,0,0,0,0,212054.0,PA,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Duke University,170897317.0,False,True,42,25,13,4,24,22,2,0,0.0,0,0,0,0,0,0,198419.0,NC,Private,False,South,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Duquesne University,165102784.0,False,True,46,34,7,5,35,34,1,0,0.0,0,0,0,0,0,0,212106.0,PA,Private,False,Northeast,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Eastern Michigan University,138216421.0,False,True,34,16,6,1,25,14,1,0,0.0,0,0,0,0,0,0,169798.0,MI,Public,False,Midwest,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1999,Emory University,150468666.0,False,True,41,32,5,4,30,30,0,0,0.0,0,0,0,0,0,0,139658.0,GA,Private,False,South,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
