Id,Label,Interlock_Count,AffiliationId,Board_Size
University Of Kentucky,University Of Kentucky,0,143302722,17
University Of La Verne,University Of La Verne,0,708430,39
University Of Louisville,University Of Louisville,0,142740786,35
University of Massachusetts at Worcester,University of Massachusetts at Worcester,0,166722992,22
University Of Michigan,University Of Michigan,0,27837315,10
University of Missouri St Louis,University of Missouri St Louis,0,208333798,10
"University of Nevada, Reno","University of Nevada, Reno",0,134113660,11
University Of New Mexico,University Of New Mexico,0,169521973,8
University of North Carolina at Charlotte,University of North Carolina at Charlotte,0,102149020,27
University of North Carolina at Greensboro,University of North Carolina at Greensboro,1,169335092,18
University of North Carolina at Wilmington,University of North Carolina at Wilmington,0,153901656,39
University of North Texas,University of North Texas,0,123534392,9
University Of Northern Colorado,University Of Northern Colorado,0,71966907,8
University Of Notre Dame,University Of Notre Dame,3,107639228,55
University Of Pacific,University Of Pacific,0,119942576,29
University Of Pittsburgh,University Of Pittsburgh,5,170201317,52
University Of Rhode Island,University Of Rhode Island,1,17626003,16
University Of San Diego,University Of San Diego,0,160856358,36
University Of South Alabama,University Of South Alabama,3,83809506,23
University Of South Carolina,University Of South Carolina,0,155781252,48
University Of Southern California,University Of Southern California,2,1174212,43
University of Southern Mississippi,University of Southern Mississippi,0,44854399,11
University Of St Thomas Minnesota,University Of St Thomas Minnesota,2,161515732,40
University of Texas at Brownsville/Texas Southmost College,University of Texas at Brownsville/Texas Southmost College,0,2802326326,7
University Of Toledo,University Of Toledo,0,90871651,22
University Of Tulsa,University Of Tulsa,1,87208437,37
University Of Vermont,University Of Vermont,0,111236770,26
University Of Virginia,University Of Virginia,0,51556381,18
University Of Washington,University Of Washington,0,201448701,11
University Of Wyoming,University Of Wyoming,0,12834331,15
University of Alaska Fairbanks,University of Alaska Fairbanks,0,141472210,12
University of Arkansas,University of Arkansas,0,78715868,39
University of Arkansas at Little Rock,University of Arkansas at Little Rock,0,102401767,13
University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences,0,79620101,13
University of California Berkeley,University of California Berkeley,21,95457486,56
University of California Davis,University of California Davis,21,84218800,56
University of California Irvine,University of California Irvine,21,204250578,56
University of California Los Angeles,University of California Los Angeles,21,161318765,56
University of California Merced,University of California Merced,21,156087764,56
University of California Riverside,University of California Riverside,21,103635307,56
University of California San Diego,University of California San Diego,21,36258959,56
"University of California, San Francisco","University of California, San Francisco",21,180670191,28
"University of California, Santa Barbara","University of California, Santa Barbara",21,154570441,28
"University of California, Santa Cruz","University of California, Santa Cruz",21,185103710,28
University of Central Florida,University of Central Florida,0,106165777,16
University of Colorado Health Sciences Center,University of Colorado Health Sciences Center,0,921990950,36
University of Colorado at Boulder,University of Colorado at Boulder,0,188538660,18
University of Colorado at Colorado Springs,University of Colorado at Colorado Springs,0,888729015,18
University of Florida,University of Florida,0,33213144,16
University of Georgia,University of Georgia,1,165733156,16
University of Hawaii Manoa,University of Hawaii Manoa,0,117965899,28
University of Houston,University of Houston,0,44461941,9
