Year,Institution,AffiliationId,female_president,PrimarySample,total_members,male,female,unknown,total_ethnicity,white,poc,unknown_eth,board_turnover,male_change,female_change,unknown_change,white_change,poc_change,unknown_eth_change,StateSystem,carnegie_id_x,region,num_billionaires,betweenness,closeness,eigenvector,degree,strength,clustering,carnegie_id_y,year_x,admissions.admission_rate.overall,year_y,student.demographics.age_entry,student.demographics.female_share,student.demographics.married,student.demographics.dependent,student.demographics.avg_family_income,student.students_with_pell_grant,student.demographics.poverty_rate,student.demographics.unemployment,student.demographics.men,student.demographics.women,student.demographics.share_white.home_ZIP,student.demographics.share_black.home_ZIP,student.demographics.share_asian.home_ZIP,student.demographics.share_hispanic.home_ZIP,student.demographics.share_bachelors_degree_age25.home_ZIP,student.demographics.share_professional_degree_age25.home_ZIP,student.demographics.share_born_US.home_ZIP,student.demographics.faculty.women,carnegie_id,state,control
1999,Clark University,130785548.0,False,True,24,18,6,0,16,16,0,0,0.0,0,0,0,0,0,0,False,234933.0,Northeast,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,165334.0,MA,Private
1999,Clark University,130785548.0,False,True,24,18,6,0,16,16,0,0,0.0,0,0,0,0,0,0,False,234933.0,West,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,234933.0,WA,Public
1999,Clarkson University,16944753.0,False,True,28,23,3,2,17,17,0,0,0.0,0,0,0,0,0,0,False,190044.0,Northeast,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,190044.0,NY,Private
1999,Clemson University,8078737.0,False,True,58,28,5,5,40,22,0,0,0.0,0,0,0,0,0,0,False,217882.0,South,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,217882.0,SC,Public
1999,College Of William And Mary,16285277.0,False,True,17,11,4,0,13,10,1,0,0.0,0,0,0,0,0,0,False,231624.0,South,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,231624.0,VA,Public
1999,Colorado School Of Mines,167576493.0,False,True,7,6,1,0,5,4,1,0,0.0,0,0,0,0,0,0,False,126775.0,West,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,126775.0,CO,Public
1999,Columbia University,78577930.0,False,True,26,18,5,3,20,18,2,0,0.0,0,0,0,0,0,0,False,190150.0,Northeast,0,0.0,0.0165631469979296,1.062277922347373e-05,1.0,0.0133333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,190150.0,NY,Private
1999,Cornell University,205783295.0,False,True,46,36,8,2,27,25,2,0,0.0,0,0,0,0,0,0,False,190415.0,Northeast,1,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,190415.0,NY,Private
1999,Dartmouth College,107672454.0,False,True,17,13,4,0,12,11,1,0,0.0,0,0,0,0,0,0,False,182670.0,Northeast,0,0.0,0.0382253956703656,6.36985634020586e-63,1.0,0.0151515151515151,0.0,,,,,,,,,,,,,,,,,,,,,,,182670.0,NH,Private
1999,Drexel University,72816309.0,False,True,42,34,7,1,32,31,1,0,0.0,0,0,0,0,0,0,False,212054.0,Northeast,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,212054.0,PA,Private
1999,Duke University,170897317.0,False,True,42,25,13,4,21,19,2,0,0.0,0,0,0,0,0,0,False,198419.0,South,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,198419.0,NC,Private
1999,Duquesne University,165102784.0,False,True,46,34,7,5,31,30,1,0,0.0,0,0,0,0,0,0,False,212106.0,Northeast,0,0.0,0.0385479728490185,1.4721816500969865e-58,1.0,0.0222222222222222,0.0,,,,,,,,,,,,,,,,,,,,,,,212106.0,PA,Private
1999,Eastern Michigan University,138216421.0,False,True,34,16,6,1,20,10,1,0,0.0,0,0,0,0,0,0,False,169798.0,Midwest,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,169798.0,MI,Public
1999,Emory University,150468666.0,False,True,41,32,5,4,23,23,0,0,0.0,0,0,0,0,0,0,False,139658.0,South,1,0.0,0.0054347826086956,1.270005963856336e-62,1.0,0.0298507462686567,0.0,,,,,,,,,,,,,,,,,,,,,,,139658.0,GA,Private
1999,Florida Institute Of Technology,106959904.0,True,True,27,21,5,1,18,17,1,0,0.0,0,0,0,0,0,0,False,133881.0,South,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,133881.0,FL,Private
1999,Fordham University,164389053.0,False,True,35,29,6,0,21,21,0,0,0.0,0,0,0,0,0,0,False,191241.0,Northeast,0,0.001247327156094,0.0447836743393009,1.4221522084313502e-62,2.0,0.0259915611814346,0.0,,,,,,,,,,,,,,,,,,,,,,,191241.0,NY,Private
1999,George Mason University,162714631.0,False,True,15,11,4,0,11,11,0,0,0.0,0,0,0,0,0,0,False,232186.0,South,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,232186.0,VA,Public
