Year,Name,Position,Institution,SubInstitution,Education,AffiliationId,carnegie_id,FixedPosition,StateSystem,PrimarySample
2011,Frederick B. Craves,Trustee,Loyola Marymount University,,Georgetown 1967 BS; UC San Francisco PhD,35566140.0,117946.0,Regent,,True
2011,"Rudy F. deLeon, Jr.",Trustee,Loyola Marymount University,,Loyola Marymount 1974,35566140.0,117946.0,Regent,,True
2011,David S. DeVito,Trustee,Loyola Marymount University,,UCLA BA,35566140.0,117946.0,Regent,,True
2011,R. Chad Dreier,Chair,Loyola Marymount University,,Loyola Marymount 1969 BS,35566140.0,117946.0,Board President,,True
2011,George A.V. Dunning,Trustee,Loyola Marymount University,,,35566140.0,117946.0,Regent,,True
2011,"Rev. Paul J. Fitzgerald, S.J.",Trustee,Loyola Marymount University,,"Santa Clara U 1980 BA; Munich Theology (Germany) PhB; Weston Theology 1991 MDiv, 1993; U Paris IV PhD",35566140.0,117946.0,Regent,,True
2011,"Sister Mary Genino, RSHM",Trustee,Loyola Marymount University,,,35566140.0,117946.0,Regent,,True
2011,"Sister Anne Hennessy, CSJ",Trustee,Loyola Marymount University,,,35566140.0,117946.0,Regent,,True
2011,Nelly Llanos Kilroy,Trustee,Loyola Marymount University,,,35566140.0,117946.0,Regent,,True
2011,"Rev. Daniel K. Lahart, S.J.",Trustee,Loyola Marymount University,,Georgetown 1983 BSBA; Weston Theology MDiv; Boston Col MEd; Stanford 1996 MBA,35566140.0,117946.0,Regent,,True
2011,Edward A. Landry,Trustee,Loyola Marymount University,,LSU 1961 BA; UCLA 1964 JD,35566140.0,117946.0,Regent,,True
2011,Deborah Lanni,Trustee,Loyola Marymount University,,,35566140.0,117946.0,Regent,,True
2011,"Thomas E. Larkin, Jr",Trustee,Loyola Marymount University,,Notre Dame 1961 BA,35566140.0,117946.0,Regent,,True
2011,Kathleen L. McCarthy,Trustee,Loyola Marymount University,,,35566140.0,117946.0,Regent,,True
2011,Paul W. Mikos.,Vice Chair,Loyola Marymount University,,Loyola Marymount 1966,35566140.0,117946.0,Board Vice President,,True
2011,Susan F. Moley,Trustee,Loyola Marymount University,,Loyola Marymount 1985,35566140.0,117946.0,Regent,,True
2011,Gregory J. O'Meara,Trustee,Loyola Marymount University,,,35566140.0,117946.0,Regent,,True
2011,Stephen F. Page,Trustee,Loyola Marymount University,,"Loyola Marymount 1962, 1968 JD",35566140.0,117946.0,Regent,,True
2011,"Joan A. Payden, CFA.",Trustee,Loyola Marymount University,,Trinity Col (DC) BA; Harvard 1981 AMP,35566140.0,117946.0,Regent,,True
2011,Timothy G. Psomas,Trustee,Loyola Marymount University,,Loyola Marymount 1962 BS,35566140.0,117946.0,Regent,,True
2011,"Edward P. Roski, Jr.",Trustee,Loyola Marymount University,,USC 1962 BS,35566140.0,117946.0,Regent,,True
2011,"Rev. Robert W. Scholla, S.J",Secretary,Loyola Marymount University,,,35566140.0,117946.0,Other Board Member,,True
2011,Michael R. Steed.,Trustee,Loyola Marymount University,,Loyola Marymount 1971Loyola U (Los Angeles) 1974 JD,35566140.0,117946.0,Regent,,True
2011,Elbridge H. Stuart III,Trustee,Loyola Marymount University,,,35566140.0,117946.0,Regent,,True
2011,Rosemary L. Turner,Trustee,Loyola Marymount University,,Loyola Marymount 1984,35566140.0,117946.0,Regent,,True
2011,Walter F. Ulloa,Trustee,Loyola Marymount University,,USC; Loyola Marymount 1975 JD,35566140.0,117946.0,Regent,,True
2011,Paul S. VivIano,Trustee,Loyola Marymount University,,,35566140.0,117946.0,Regent,,True
2011,"Thomas R. Von Der Ahe, Sr",Trustee,Loyola Marymount University,,Loyola Marymount 1963,35566140.0,117946.0,Regent,,True
2011,"Rev. Robert T. Walsh, S.J",Trustee,Loyola Marymount University,,,35566140.0,117946.0,Regent,,True
2011,Laura D. Williamson,Trustee,Loyola Marymount University,,Loyola Marymount 1974,35566140.0,117946.0,Regent,,True
2011,"David J. ""Dave"" Zuercher",Trustee,Loyola Marymount University,,Loyola Marymount 1968,35566140.0,117946.0,Regent,,True
2011,Philip K. Beachem,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,Overseer,,True
2011,Dennis M. Bone,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,Overseer,,True
2011,Cory A. Booker,Ex Officio Trustee,New Jersey Institute Of Technology,,"Stanford 1991 BA, 1992 MA; Yale 1997 JD",118118575.0,185828.0,"Overseer, Ex Officio",,True
2011,"Christopher J. ""Chris"" Christie",Ex Officio Trustee,New Jersey Institute Of Technology,,Delaware 1984 BA; Seton Hall 1987 JD,118118575.0,185828.0,"Overseer, Ex Officio",,True
2011,Peter A. Cistaro,Trustee,New Jersey Institute Of Technology,,NJIT 1968 PhD,118118575.0,185828.0,Overseer,,True
2011,Vincent L. DeCaprio,Trustee,New Jersey Institute Of Technology,,NJIT 1972,118118575.0,185828.0,Overseer,,True
2011,Stephen P. DePalma,Vice Chairman,New Jersey Institute Of Technology,,NJIT 1972,118118575.0,185828.0,Board Vice President,,True
2011,"Elizabeth ""Liz"" Garcia",Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,Overseer,,True
2011,"Anthony J. Knapp, Jr",Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,Overseer,,True
2011,Henry A. Mauermeyer,Treasurer,New Jersey Institute Of Technology,,,118118575.0,185828.0,Other Board Member,,True
2011,Diane Montalto,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,Overseer,,True
2011,Mariel O'Brien,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,Overseer,,True
2011,Holly Stern,Secretary,New Jersey Institute Of Technology,,,118118575.0,185828.0,Other Board Member,,True
2011,Binay Sugla,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,Overseer,,True
2011,Kathleen Wielkopolski,Chairman,New Jersey Institute Of Technology,,,118118575.0,185828.0,Board President,,True
2011,Derish Wolff,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,Overseer,,True
2011,Martha A. Cotter,Faculty Representative Governor,Rutgers State University Of New Jersey,,Southern Illinois 1964 BA; Georgetown 1969 PhD,102322142.0,186380.0,Other Board Member,,True
2011,Catherine A. Cahill,Assistant Secretary,Rutgers State University Of New Jersey,,,102322142.0,186380.0,Other Board Member,,True
2011,Anthony J. DePetris,Governor,Rutgers State University Of New Jersey,,Rutgers (Camden) 1984 BA; Delaware 1986 MPA,102322142.0,186380.0,Trustee,,True
2011,Bruce Fehn,Treasurer,Rutgers State University Of New Jersey,,,102322142.0,186380.0,Other Board Member,,True
2011,Leslie A. Fehrenbach,Secretary,Rutgers State University Of New Jersey,,,102322142.0,186380.0,Other Board Member,,True
2011,Gerald C. Harvey,Vice Chairman,Rutgers State University Of New Jersey,,Rutgers 1972 BA: Columbia 1975 JD,102322142.0,186380.0,Board Vice President,,True
2011,Mark P. Hershhorn,Governor,Rutgers State University Of New Jersey,,Rutgers 1971 BA: Wharton 1972 MBA,102322142.0,186380.0,Trustee,,True
2011,"M. William Howard, Jr",Governor,Rutgers State University Of New Jersey,,Morehouse Col 1968 BA: Princeton Sem 1972 MDiv,102322142.0,186380.0,Trustee,,True
2011,Ralph Izzo,Chairman,Rutgers State University Of New Jersey,,"Columbia 1978 BS, 1979 MS, 1981 PhD; Rutgers MBA",102322142.0,186380.0,Board President,,True
2011,Robert A. Laudicina,Governor,Rutgers State University Of New Jersey,,"Rutgers 1963 BA, 1965 MA; Columbia 1968 PhD",102322142.0,186380.0,Trustee,,True
2011,Gordon Macinnes,Governor,Rutgers State University Of New Jersey,,Occidental 1963 BA; Princeton MPA,102322142.0,186380.0,Trustee,,True
2011,Richard L. McCormick,President,Rutgers State University Of New Jersey,,,102322142.0,186380.0,Board President,,True
2011,Richard L. McCormick,Ex Officio Governor,Rutgers State University Of New Jersey,,,102322142.0,186380.0,"Trustee, Ex Officio",,True
2011,Jonathan C. Nycz,Student Representative Governor,Rutgers State University Of New Jersey,,,102322142.0,186380.0,Other Board Member,,True
2011,Paul Panayotatos,Faculty Representative Governor,Rutgers State University Of New Jersey,,,102322142.0,186380.0,Other Board Member,,True
2011,"Joseph J. Roberts, Jr",Governor,Rutgers State University Of New Jersey,,Rutgers BA; Pennsylvania 1986 MGA,102322142.0,186380.0,Trustee,,True
2011,"John F. Russo, Sr",Governor,Rutgers State University Of New Jersey,,Notre Dame 1955; Columbia 1958 JD,102322142.0,186380.0,Trustee,,True
2011,"Daniel H. ""Dan"" Schulman",Governor,Rutgers State University Of New Jersey,,"Princeton High (Princeton, NJ; Middlebury 1980 BA; Stern 1986 MBA",102322142.0,186380.0,Trustee,,True
2011,George R. Zoffinger,Governor,Rutgers State University Of New Jersey,,Penn State 1970 BA; NYU 1971 MA,102322142.0,186380.0,Trustee,,True
2011,Kurt T. Borowsky,Trustee,Seton Hall University,,,12524447.0,186584.0,Regent,,True
2011,Monsignor James M. Cafone,Vice Chairman,Seton Hall University,,,12524447.0,186584.0,Board Vice President,,True
2011,Patricia Cahill,Trustee,Seton Hall University,,,12524447.0,186584.0,Regent,,True
2011,Monsignor John Doran,Trustee,Seton Hall University,,,12524447.0,186584.0,Regent,,True
2011,A. Gabriel Esteban,Trustee,Seton Hall University,,,12524447.0,186584.0,Regent,,True
2011,Dr. Phillip Frese,Trustee,Seton Hall University,,,12524447.0,186584.0,Regent,,True
2011,Joseph P. La Sala,Trustee,Seton Hall University,,St Peter's Col 1969 BS; Seton Hall 1972 JD,12524447.0,186584.0,Regent,,True
2011,Patrick M. Murray,Trustee,Seton Hall University,,,12524447.0,186584.0,Regent,,True
2011,The Most Reverend John J. Myers,Chairman,Seton Hall University,,,12524447.0,186584.0,Board President,,True
2011,Monsignor Joseph Reilly,Trustee,Seton Hall University,,,12524447.0,186584.0,Regent,,True
2011,John J. Schimpf,Trustee,Seton Hall University,,,12524447.0,186584.0,Regent,,True
2011,The Most Reverend Arthur J. Serratelli,Trustee,Seton Hall University,,,12524447.0,186584.0,Regent,,True
2011,Pamela M. Swartzberg,Secretary,Seton Hall University,,,12524447.0,186584.0,Other Board Member,,True
2011,Bruce A. Tomason,Trustee,Seton Hall University,,,12524447.0,186584.0,Regent,,True
2011,Monsignor Robert Wister,Trustee,Seton Hall University,,,12524447.0,186584.0,Regent,,True
2011,"James W. Severt, Sr",Board Member,Virginia Polytechnic Institute And State University,,,859038795.0,233921.0,Member,,True
2011,Paul W. Rogers,Ex Officio Board Member,Virginia Polytechnic Institute And State University,,,859038795.0,233921.0,"Member, Ex Officio",,True
2011,"John G. Rocovich, Jr",Board Member,Virginia Polytechnic Institute And State University,,Virginia Tech 1966 BS; Richmond 1967 JD; NYU 1968 LLM,859038795.0,233921.0,Member,,True
2011,"Michael Jack ""Mike"" Quillen",Board Member,Virginia Polytechnic Institute And State University,,"Virginia Tech 1970 BS, 1971 MS",859038795.0,233921.0,Member,,True
