Source,Target,Type,Weight,Year
Cornell University,Adelphi University,Undirected,1,2013
Cornell University,Adelphi University,Undirected,1,2013
Loma Linda University,Andrews University,Undirected,1,2013
Loma Linda University,Andrews University,Undirected,1,2013
Loma Linda University,Andrews University,Undirected,1,2013
Baylor University,Baylor College Of Medicine,Undirected,1,2013
Rice University,Baylor College Of Medicine,Undirected,1,2013
Rice University,Baylor College Of Medicine,Undirected,1,2013
Baylor University,Baylor College Of Medicine,Undirected,1,2013
Rice University,Baylor College Of Medicine,Undirected,1,2013
Baylor College Of Medicine,Baylor University,Undirected,1,2013
Marquette University,Boston College,Undirected,1,2013
Loyola University Chicago,Boston College,Undirected,1,2013
Georgetown University,Boston College,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Massachusetts Institute Of Technology,Boston University,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Boston College,Boston University,Undirected,1,2013
Harvard University,Brandeis University,Undirected,1,2013
Ohio State University,Brandeis University,Undirected,1,2013
Columbia University,Brandeis University,Undirected,1,2013
New York University,Brandeis University,Undirected,1,2013
Cornell University,Brandeis University,Undirected,1,2013
George Washington University,Brandeis University,Undirected,1,2013
Tufts University,Brown University,Undirected,1,2013
West Virginia University,Carnegie Mellon University,Undirected,1,2013
University Of San Francisco,Carnegie Mellon University,Undirected,1,2013
University Of San Francisco,Carnegie Mellon University,Undirected,1,2013
University Of Notre Dame,Carnegie Mellon University,Undirected,1,2013
University Of Pittsburgh,Carnegie Mellon University,Undirected,1,2013
Brown University,Carnegie Mellon University,Undirected,1,2013
Virginia Polytechnic Institute And State University,Case Western Reserve University,Undirected,1,2013
Fordham University,Catholic University Of America,Undirected,1,2013
California Institute Of Technology,Chapman University,Undirected,1,2013
University Of San Diego,Chapman University,Undirected,1,2013
George Washington University,Clark University,Undirected,1,2013
Virginia Commonwealth University,College Of William And Mary,Undirected,1,2013
University Of Michigan,Columbia University,Undirected,1,2013
Rochester Institute Of Technology,Cornell University,Undirected,1,2013
University Of Tulsa,Cornell University,Undirected,1,2013
Brandeis University,Cornell University,Undirected,1,2013
New School University,Cornell University,Undirected,1,2013
New School,Cornell University,Undirected,1,2013
University Of Southern California,Cornell University,Undirected,1,2013
Boston College,Creighton University,Undirected,1,2013
Boston College,Creighton University,Undirected,1,2013
Texas Christian University,Dartmouth College,Undirected,1,2013
Stanford University,Dartmouth College,Undirected,1,2013
St Johns University,Depaul University,Undirected,1,2013
St Johns University,Depaul University,Undirected,1,2013
Catholic University Of America,Depaul University,Undirected,1,2013
Villanova University,Drexel University,Undirected,1,2013
Brown University,Drexel University,Undirected,1,2013
Brown University,Drexel University,Undirected,1,2013
Brown University,Drexel University,Undirected,1,2013
Brown University,Drexel University,Undirected,1,2013
Brown University,Drexel University,Undirected,1,2013
Brown University,Drexel University,Undirected,1,2013
Johns Hopkins University,Duke University,Undirected,1,2013
University Of Chicago,Duke University,Undirected,1,2013
Emory University,Duke University,Undirected,1,2013
Clark Atlanta University,Emory University,Undirected,1,2013
Mercer University,Emory University,Undirected,1,2013
Duke University,Emory University,Undirected,1,2013
Clark Atlanta University,Emory University,Undirected,1,2013
Clark Atlanta University,Emory University,Undirected,1,2013
Washington University,Emory University,Undirected,1,2013
Boston College,Fordham University,Undirected,1,2013
New School,Fordham University,Undirected,1,2013
Catholic University Of America,Fordham University,Undirected,1,2013
Northwestern University,Fordham University,Undirected,1,2013
Loyola University Chicago,Fordham University,Undirected,1,2013
Northeastern University,George Washington University,Undirected,1,2013
Carnegie Mellon University,George Washington University,Undirected,1,2013
Brandeis University,George Washington University,Undirected,1,2013
New York University,Georgetown University,Undirected,1,2013
University Of Connecticut,Georgetown University,Undirected,1,2013
University Of Chicago,Georgetown University,Undirected,1,2013
California Institute Of Technology,Harvard University,Undirected,1,2013
Yeshiva University,Hofstra University,Undirected,1,2013
Cornell University,Howard University,Undirected,1,2013
George Washington University,Howard University,Undirected,1,2013
University Of Connecticut,Illinois Institute Of Technology,Undirected,1,2013
University Of Chicago,Illinois Institute Of Technology,Undirected,1,2013
Duke University,Johns Hopkins University,Undirected,1,2013
University Of Chicago,Johns Hopkins University,Undirected,1,2013
Brown University,Johns Hopkins University,Undirected,1,2013
Andrews University,Loma Linda University,Undirected,1,2013
Andrews University,Loma Linda University,Undirected,1,2013
Andrews University,Loma Linda University,Undirected,1,2013
Andrews University,Loma Linda University,Undirected,1,2013
