Source,Target,Type,Weight,Year
University Of Texas At Brownsville/Texas Southmost College,Duquesne University,Undirected,1,2007
University Of Memphis,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
Tennessee State University,East Tennessee State University,Undirected,1,2007
Middle Tennessee State University,East Tennessee State University,Undirected,1,2007
University Of Memphis,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
Tennessee State University,East Tennessee State University,Undirected,1,2007
Middle Tennessee State University,East Tennessee State University,Undirected,1,2007
University Of Memphis,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
Tennessee State University,East Tennessee State University,Undirected,1,2007
Middle Tennessee State University,East Tennessee State University,Undirected,1,2007
Middle Tennessee State University,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
University Of Memphis,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
Tennessee State University,East Tennessee State University,Undirected,1,2007
Middle Tennessee State University,East Tennessee State University,Undirected,1,2007
University Of Memphis,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
Tennessee State University,East Tennessee State University,Undirected,1,2007
Middle Tennessee State University,East Tennessee State University,Undirected,1,2007
University Of Memphis,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
Tennessee State University,East Tennessee State University,Undirected,1,2007
Middle Tennessee State University,East Tennessee State University,Undirected,1,2007
Tennessee State University,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
University Of Memphis,East Tennessee State University,Undirected,1,2007
University Of Memphis,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
Tennessee State University,East Tennessee State University,Undirected,1,2007
Middle Tennessee State University,East Tennessee State University,Undirected,1,2007
Tennessee State University,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
University Of Memphis,East Tennessee State University,Undirected,1,2007
University Of Memphis,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
Tennessee State University,East Tennessee State University,Undirected,1,2007
Middle Tennessee State University,East Tennessee State University,Undirected,1,2007
University Of Memphis,East Tennessee State University,Undirected,1,2007
Tennessee Technological University,East Tennessee State University,Undirected,1,2007
Tennessee State University,East Tennessee State University,Undirected,1,2007
Middle Tennessee State University,East Tennessee State University,Undirected,1,2007
