Source,Target,Type,Weight,Year
Loma Linda University,Andrews University,Undirected,1,2000
Loma Linda University,Andrews University,Undirected,1,2000
Northern Arizona University,Arizona State University,Undirected,1,2000
Northern Arizona University,Arizona State University,Undirected,1,2000
University Of Arizona,Arizona State University,Undirected,1,2000
University Of Arizona,Arizona State University,Undirected,1,2000
Northern Arizona University,Arizona State University,Undirected,1,2000
University Of Arizona,Arizona State University,Undirected,1,2000
Northern Arizona University,Arizona State University,Undirected,1,2000
University Of Arizona,Arizona State University,Undirected,1,2000
Northern Arizona University,Arizona State University,Undirected,1,2000
University Of Arizona,Arizona State University,Undirected,1,2000
Northern Arizona University,Arizona State University,Undirected,1,2000
University Of Arizona,Arizona State University,Undirected,1,2000
Northern Arizona University,Arizona State University,Undirected,1,2000
University Of Arizona,Arizona State University,Undirected,1,2000
University Of Alabama,Auburn University,Undirected,1,2000
University Of South Alabama,Auburn University,Undirected,1,2000
Massachusetts Institute Of Technology,Boston University,Undirected,1,2000
University Of Washington,Brandeis University,Undirected,1,2000
University Of Massachusetts Worcester,Brandeis University,Undirected,1,2000
Fordham University,Brandeis University,Undirected,1,2000
Johns Hopkins University,Brown University,Undirected,1,2000
Harvard University,California Institute Of Technology,Undirected,1,2000
Pepperdine University,California Institute Of Technology,Undirected,1,2000
Chapman University,California Institute Of Technology,Undirected,1,2000
Duquesne University,Carnegie Mellon University,Undirected,1,2000
Duquesne University,Carnegie Mellon University,Undirected,1,2000
Worcester Polytechnic Institute,Carnegie Mellon University,Undirected,1,2000
University Of Southern California,Carnegie Mellon University,Undirected,1,2000
University Of Pittsburgh,Carnegie Mellon University,Undirected,1,2000
Duquesne University,Carnegie Mellon University,Undirected,1,2000
Ohio State University,Case Western Reserve University,Undirected,1,2000
California Institute Of Technology,Chapman University,Undirected,1,2000
Ohio University,Cleveland State University,Undirected,1,2000
University Of Akron,Cleveland State University,Undirected,1,2000
University Of Cincinnati,Cleveland State University,Undirected,1,2000
Kent State University,Cleveland State University,Undirected,1,2000
Ohio University,Cleveland State University,Undirected,1,2000
University Of Akron,Cleveland State University,Undirected,1,2000
University Of Cincinnati,Cleveland State University,Undirected,1,2000
Kent State University,Cleveland State University,Undirected,1,2000
Ohio University,Cleveland State University,Undirected,1,2000
University Of Akron,Cleveland State University,Undirected,1,2000
University Of Cincinnati,Cleveland State University,Undirected,1,2000
Kent State University,Cleveland State University,Undirected,1,2000
Ohio University,Cleveland State University,Undirected,1,2000
University Of Akron,Cleveland State University,Undirected,1,2000
University Of Cincinnati,Cleveland State University,Undirected,1,2000
Kent State University,Cleveland State University,Undirected,1,2000
Ohio University,Cleveland State University,Undirected,1,2000
University Of Akron,Cleveland State University,Undirected,1,2000
Kent State University,Cleveland State University,Undirected,1,2000
Ohio University,Cleveland State University,Undirected,1,2000
University Of Akron,Cleveland State University,Undirected,1,2000
University Of Cincinnati,Cleveland State University,Undirected,1,2000
Kent State University,Cleveland State University,Undirected,1,2000
Ohio University,Cleveland State University,Undirected,1,2000
University Of Akron,Cleveland State University,Undirected,1,2000
University Of Cincinnati,Cleveland State University,Undirected,1,2000
Kent State University,Cleveland State University,Undirected,1,2000
Ohio University,Cleveland State University,Undirected,1,2000
University Of Akron,Cleveland State University,Undirected,1,2000
University Of Cincinnati,Cleveland State University,Undirected,1,2000
Kent State University,Cleveland State University,Undirected,1,2000
Case Western Reserve University,Columbia University,Undirected,1,2000
Stanford University,Cornell University,Undirected,1,2000
New School University,Dartmouth College,Undirected,1,2000
Carnegie Mellon University,Duquesne University,Undirected,1,2000
Carnegie Mellon University,Duquesne University,Undirected,1,2000
Carnegie Mellon University,Duquesne University,Undirected,1,2000
Clark Atlanta University,Emory University,Undirected,1,2000
Clark Atlanta University,Emory University,Undirected,1,2000
Brandeis University,Fordham University,Undirected,1,2000
Georgetown University,Fordham University,Undirected,1,2000
Massachusetts Institute Of Technology,George Washington University,Undirected,1,2000
Marquette University,George Washington University,Undirected,1,2000
Pepperdine University,George Washington University,Undirected,1,2000
New York University,Georgetown University,Undirected,1,2000
University Of Delaware,Georgetown University,Undirected,1,2000
Fordham University,Georgetown University,Undirected,1,2000
Old Dominion University,Hampton University,Undirected,1,2000
California Institute Of Technology,Harvard University,Undirected,1,2000
University Of Pittsburgh,Hofstra University,Undirected,1,2000
Johns Hopkins University,Howard University,Undirected,1,2000
University Of Idaho,Idaho State University,Undirected,1,2000
University Of Idaho,Idaho State University,Undirected,1,2000
University Of Chicago,Illinois Institute Of Technology,Undirected,1,2000
West Chester University Of Pennsylvania,Indiana University Of Pennsylvania,Undirected,1,2000
West Chester University Of Pennsylvania,Indiana University Of Pennsylvania,Undirected,1,2000
University Of Iowa,Iowa State University,Undirected,1,2000
University Of Iowa,Iowa State University,Undirected,1,2000
University Of Iowa,Iowa State University,Undirected,1,2000
University Of Iowa,Iowa State University,Undirected,1,2000
University Of Iowa,Iowa State University,Undirected,1,2000
University Of Iowa,Iowa State University,Undirected,1,2000
Howard University,Johns Hopkins University,Undirected,1,2000
Brown University,Johns Hopkins University,Undirected,1,2000
University Of Rochester,Johns Hopkins University,Undirected,1,2000
University Of Kansas,Kansas State University,Undirected,1,2000
Wichita State University,Kansas State University,Undirected,1,2000
University Of Kansas,Kansas State University,Undirected,1,2000
Wichita State University,Kansas State University,Undirected,1,2000
University Of Akron,Kent State University,Undirected,1,2000
University Of Cincinnati,Kent State University,Undirected,1,2000
