Id,Label,Interlock_Count,AffiliationId,female_president,control,region
Tufts University,Tufts University,43,121934306.0,False,Private,Northeast
Union Institute,Union Institute,15,204669301.0,False,Private,Midwest
University Of Akron,University Of Akron,83,110152177.0,False,Public,Midwest
University Of Alabama,University Of Alabama,4,17301866.0,False,Public,South
University Of Arizona,University Of Arizona,175,138006243.0,False,Public,West
University Of Chicago,University Of Chicago,101,40347166.0,False,Private,Midwest
University Of Cincinnati,University Of Cincinnati,53,63135867.0,True,Public,Midwest
University Of Connecticut,University Of Connecticut,37,140172145.0,False,Public,Northeast
University Of Dayton,University Of Dayton,4,127591826.0,False,Private,Midwest
University Of Delaware,University Of Delaware,15,86501945.0,False,Public,South
University Of Denver,University Of Denver,28,131651094.0,False,Private,West
University Of Hartford,University Of Hartford,1,162281398.0,False,Private,Northeast
University Of Idaho,University Of Idaho,50,155093810.0,False,Public,West
University Of Illinois At Urbana Champaign,University Of Illinois At Urbana Champaign,1,157725225.0,False,Public,Midwest
University Of Iowa,University Of Iowa,69,126307644.0,True,Public,Midwest
University Of Kansas,University Of Kansas,152,146416000.0,False,Public,Midwest
University Of La Verne,University Of La Verne,1,708430.0,False,Private,West
University Of Louisville,University Of Louisville,1,142740786.0,False,Public,South
University Of Massachusetts Worcester,University Of Massachusetts Worcester,9,166722992.0,False,Public,Northeast
University Of Miami,University Of Miami,5,145608581.0,True,Private,South
University Of Michigan,University Of Michigan,16,27837315.0,True,Public,Midwest
University Of Mississippi,University Of Mississippi,52,368840534.0,False,Public,South
University Of New Mexico,University Of New Mexico,11,169521973.0,False,Public,West
University Of North Carolina At Charlotte,University Of North Carolina At Charlotte,5,102149020.0,False,Public,South
University Of North Carolina At Greensboro,University Of North Carolina At Greensboro,14,169335092.0,True,Public,South
University Of North Texas,University Of North Texas,2,123534392.0,False,Public,South
University Of Notre Dame,University Of Notre Dame,43,107639228.0,False,Private,Midwest
University Of Oklahoma,University Of Oklahoma,54,8692664.0,False,Public,South
University Of Pacific,University Of Pacific,5,119942576.0,False,Private,West
University Of Pittsburgh,University Of Pittsburgh,85,170201317.0,False,Public,Northeast
University Of Rochester,University Of Rochester,35,5388228.0,False,Private,Northeast
University Of San Diego,University Of San Diego,23,160856358.0,True,Private,West
University Of South Alabama,University Of South Alabama,15,83809506.0,False,Public,South
University Of South Carolina,University Of South Carolina,14,155781252.0,False,Public,South
University Of South Dakota,University Of South Dakota,67,189957204.0,False,Public,Midwest
University Of Southern California,University Of Southern California,43,1174212.0,False,Private,West
University Of Southern Mississippi,University Of Southern Mississippi,54,44854399.0,False,Public,South
University Of St Thomas Minnesota,University Of St Thomas Minnesota,55,161515732.0,False,Private,Midwest
University Of Texas At Brownsville/Texas Southmost College,University Of Texas At Brownsville/Texas Southmost College,21,2802326326.0,True,Public,South
University Of Tulsa,University Of Tulsa,15,87208437.0,False,Private,South
University Of Utah,University Of Utah,150,223532165.0,False,Public,West
University Of Virginia,University Of Virginia,35,51556381.0,False,Public,South
University Of Washington,University Of Washington,1,201448701.0,False,Public,West
Utah State University,Utah State University,164,121980950.0,False,Public,West
Vanderbilt University,Vanderbilt University,27,200719446.0,False,Private,South
Villanova University,Villanova University,14,7863295.0,False,Private,Northeast
Virginia Commonwealth University,Virginia Commonwealth University,9,184840846.0,False,Public,South
Virginia Polytechnic Institute And State University,Virginia Polytechnic Institute And State University,36,859038795.0,False,Public,South
Wake Forest University,Wake Forest University,9,47251452.0,False,Private,South
Washington State University,Washington State University,7,72951846.0,False,Public,West
Washington University,Washington University,12,204465549.0,False,Private,Midwest
West Chester University Of Pennsylvania,West Chester University Of Pennsylvania,12,161171246.0,True,Public,Northeast
West Virginia University,West Virginia University,63,12097938.0,False,Public,South
Wichita State University,Wichita State University,147,39587148.0,False,Public,Midwest
Widener University,Widener University,17,138659443.0,False,Private,Northeast
Worcester Polytechnic Institute,Worcester Polytechnic Institute,20,107077323.0,False,Private,Northeast
Yale University,Yale University,51,32971472.0,False,Private,Northeast
Yeshiva University,Yeshiva University,60,19772626.0,False,Private,Northeast
Rockefeller University,Rockefeller University,139,83399316.0,False,Private,Northeast
Saint Louis University,Saint Louis University,9,47838141.0,False,Private,Midwest
Southern Illinois University System,Southern Illinois University System,23,2801502357.0,False,Public,Midwest
Southern Methodist University,Southern Methodist University,5,178169726.0,False,Private,South
Stevens Institute Of Technology,Stevens Institute Of Technology,8,108468826.0,False,Private,Northeast
Tennessee State University,Tennessee State University,473,75256744.0,False,Public,South
Tennessee Technological University,Tennessee Technological University,464,63920570.0,False,Public,South
University At Albany Suny,University At Albany Suny,12,392282.0,False,Public,Northeast
University Of Memphis,University Of Memphis,460,94658018.0,True,Public,South
University Of Pennsylvania,University Of Pennsylvania,64,79576946.0,True,Private,Northeast
University Of San Francisco,University Of San Francisco,17,76766440.0,False,Private,West
Florida Agricultural And Mechanical University,Florida Agricultural And Mechanical University,2,8248082.0,False,Public,South
Florida State University,Florida State University,4,103163165.0,False,Public,South
Montana State University Bozeman,Montana State University Bozeman,10,23732399.0,False,Public,West
Oregon Health & Science University,Oregon Health & Science University,13,165690674.0,False,Public,West
State University Of New York Stony Brook,State University Of New York Stony Brook,8,59553526.0,True,Public,Northeast
Union Institute & University,Union Institute & University,15,204669301.0,False,Private,Midwest
University At Buffalo State University Of New York,University At Buffalo State University Of New York,3,63190737.0,False,Public,Northeast
New School,New School,249,102179633.0,False,Private,Northeast
University Of California Los Angeles,University Of California Los Angeles,14,161318765.0,False,Public,West
Baylor College Of Medicine,Baylor College Of Medicine,45,181547552.0,False,Private,South
Boise State University,Boise State University,27,120156002.0,False,Public,West
Montana State University,Montana State University,10,23732399.0,False,Public,West
Northeastern University,Northeastern University,6,12912129.0,False,Private,Northeast
Northwestern University,Northwestern University,27,111979921.0,False,Private,Midwest
North Dakota State University,North Dakota State University,3,57328836.0,False,Public,Midwest
Virginia Tech,Virginia Tech,25,859038795.0,False,Public,South
Polytechnic Institute Of New York University,Polytechnic Institute Of New York University,48,57206974.0,False,Private,Northeast
