Source,Target,Type,Weight,Year
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Kent State University,University Of Cincinnati,Undirected,1,1999
Ohio University,University Of Cincinnati,Undirected,1,1999
University Of Akron,University Of Cincinnati,Undirected,1,1999
Tufts University,University Of Delaware,Undirected,1,1999
Georgetown University,University Of Delaware,Undirected,1,1999
Idaho State University,University Of Idaho,Undirected,1,1999
Idaho State University,University Of Idaho,Undirected,1,1999
Depaul University,University Of Illinois At Urbana Champaign,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Kansas State University,University Of Kansas,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
Mississippi State University,University Of Mississippi,Undirected,1,1999
New Mexico State University,University Of New Mexico,Undirected,1,1999
Middle Tennessee State University,University Of North Texas,Undirected,1,1999
New York University,University Of Notre Dame,Undirected,1,1999
New Jersey Institute Of Technology,University Of Notre Dame,Undirected,1,1999
Carnegie Mellon University,University Of Oklahoma,Undirected,1,1999
Oklahoma State University,University Of Oklahoma,Undirected,1,1999
Oklahoma State University,University Of Oklahoma,Undirected,1,1999
Oklahoma State University,University Of Oklahoma,Undirected,1,1999
Hofstra University,University Of Pittsburgh,Undirected,1,1999
Carnegie Mellon University,University Of Pittsburgh,Undirected,1,1999
New Jersey Institute Of Technology,University Of Pittsburgh,Undirected,1,1999
Rochester Institute Of Technology,University Of Rochester,Undirected,1,1999
Johns Hopkins University,University Of Rochester,Undirected,1,1999
University Of Chicago,University Of Rochester,Undirected,1,1999
Auburn University,University Of South Alabama,Undirected,1,1999
University Of Alabama,University Of South Alabama,Undirected,1,1999
South Dakota State University,University Of South Dakota,Undirected,1,1999
South Dakota State University,University Of South Dakota,Undirected,1,1999
South Dakota State University,University Of South Dakota,Undirected,1,1999
South Dakota State University,University Of South Dakota,Undirected,1,1999
South Dakota State University,University Of South Dakota,Undirected,1,1999
Carnegie Mellon University,University Of Southern California,Undirected,1,1999
Loyola Marymount University,University Of Southern California,Undirected,1,1999
Mississippi State University,University Of Southern Mississippi,Undirected,1,1999
University Of Mississippi,University Of Southern Mississippi,Undirected,1,1999
Mississippi State University,University Of Southern Mississippi,Undirected,1,1999
University Of Mississippi,University Of Southern Mississippi,Undirected,1,1999
Mississippi State University,University Of Southern Mississippi,Undirected,1,1999
University Of Mississippi,University Of Southern Mississippi,Undirected,1,1999
Mississippi State University,University Of Southern Mississippi,Undirected,1,1999
University Of Mississippi,University Of Southern Mississippi,Undirected,1,1999
Mississippi State University,University Of Southern Mississippi,Undirected,1,1999
University Of Mississippi,University Of Southern Mississippi,Undirected,1,1999
Mississippi State University,University Of Southern Mississippi,Undirected,1,1999
University Of Mississippi,University Of Southern Mississippi,Undirected,1,1999
Mississippi State University,University Of Southern Mississippi,Undirected,1,1999
University Of Mississippi,University Of Southern Mississippi,Undirected,1,1999
Mississippi State University,University Of Southern Mississippi,Undirected,1,1999
University Of Mississippi,University Of Southern Mississippi,Undirected,1,1999
University Of Mississippi,University Of Southern Mississippi,Undirected,1,1999
Mississippi State University,University Of Southern Mississippi,Undirected,1,1999
University Of Mississippi,University Of Southern Mississippi,Undirected,1,1999
Mississippi State University,University Of Southern Mississippi,Undirected,1,1999
Marquette University,University Of St Thomas Minnesota,Undirected,1,1999
University Of Notre Dame,University Of St Thomas Minnesota,Undirected,1,1999
Carnegie Mellon University,University Of Tulsa,Undirected,1,1999
University Of Oklahoma,University Of Tulsa,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
University Of Utah,Utah State University,Undirected,1,1999
Seton Hall University,Villanova University,Undirected,1,1999
University Of North Carolina At Greensboro,Wake Forest University,Undirected,1,1999
Indiana University Of Pennsylvania,West Chester University Of Pennsylvania,Undirected,1,1999
Indiana University Of Pennsylvania,West Chester University Of Pennsylvania,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
Marshall University,West Virginia University,Undirected,1,1999
