Id,Label,Year,Interlock_Count,AffiliationId,female_president
Adelphi University,Adelphi University,2018,39,71965598.0,True
Andrews University,Andrews University,2018,80,102298084.0,True
Arizona State University,Arizona State University,2018,168,55732556.0,False
Auburn University,Auburn University,2018,46,82497590.0,False
Ball State University,Ball State University,2018,7,198089087.0,False
Baylor University,Baylor University,2018,17,157394403.0,True
Boston College,Boston College,2018,91,103531236.0,False
Boston University,Boston University,2018,54,111088046.0,False
Brandeis University,Brandeis University,2018,70,6902469.0,False
Brown University,Brown University,2018,57,27804330.0,True
California Institute Of Technology,California Institute Of Technology,2018,73,122411786.0,unknown
Carnegie Mellon University,Carnegie Mellon University,2018,92,74973139.0,False
Case Western Reserve University,Case Western Reserve University,2018,15,58956616.0,True
Catholic University Of America,Catholic University Of America,2018,28,84470341.0,False
Central Michigan University,Central Michigan University,2018,3,1629065.0,False
Chapman University,Chapman University,2018,23,185071736.0,True
Clark Atlanta University,Clark Atlanta University,2018,14,52064589.0,False
Clark University,Clark University,2018,5,130785548.0,False
Clarkson University,Clarkson University,2018,7,16944753.0,False
Clemson University,Clemson University,2018,5,8078737.0,False
Cleveland State University,Cleveland State University,2018,50,102607778.0,unknown
College Of William And Mary,College Of William And Mary,2018,2,16285277.0,False
Columbia University,Columbia University,2018,52,78577930.0,False
Cornell University,Cornell University,2018,124,205783295.0,True
Creighton University,Creighton University,2018,20,114493937.0,False
Dartmouth College,Dartmouth College,2018,25,107672454.0,False
Depaul University,Depaul University,2018,17,118353179.0,unknown
Drexel University,Drexel University,2018,34,72816309.0,False
Duke University,Duke University,2018,33,170897317.0,False
Duquesne University,Duquesne University,2018,52,165102784.0,False
East Tennessee State University,East Tennessee State University,2018,469,119443389.0,unknown
Emory University,Emory University,2018,28,150468666.0,True
Florida Institute Of Technology,Florida Institute Of Technology,2018,2,106959904.0,False
Fordham University,Fordham University,2018,59,164389053.0,False
Gallaudet University,Gallaudet University,2018,2,66108857.0,unknown
George Mason University,George Mason University,2018,1,162714631.0,False
George Washington University,George Washington University,2018,33,193531525.0,False
Georgetown University,Georgetown University,2018,105,184565670.0,False
Hampton University,Hampton University,2018,3,151328261.0,unknown
Harvard University,Harvard University,2018,42,136199984.0,False
Hofstra University,Hofstra University,2018,20,139290212.0,False
Howard University,Howard University,2018,35,137853757.0,False
Idaho State University,Idaho State University,2018,55,106969075.0,unknown
Illinois Institute Of Technology,Illinois Institute Of Technology,2018,40,180949307.0,False
Indiana University Of Pennsylvania,Indiana University Of Pennsylvania,2018,17,200885203.0,unknown
Iowa State University,Iowa State University,2018,69,173911158.0,unknown
James Madison University,James Madison University,2018,5,11883440.0,False
Johns Hopkins University,Johns Hopkins University,2018,66,145311948.0,False
Kansas State University,Kansas State University,2018,149,189590672.0,unknown
Kent State University,Kent State University,2018,80,149910238.0,unknown
Lehigh University,Lehigh University,2018,10,186143895.0,False
Loma Linda University,Loma Linda University,2018,80,26347476.0,False
Long Island University,Long Island University,2018,6,138873065.0,True
Loyola Marymount University,Loyola Marymount University,2018,30,35566140.0,False
Loyola University Chicago,Loyola University Chicago,2018,63,1925986.0,False
Marquette University,Marquette University,2018,60,102461120.0,False
Marshall University,Marshall University,2018,53,88694374.0,False
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,2018,125,63966007.0,False
Mercer University,Mercer University,2018,28,150149174.0,False
Miami University,Miami University,2018,20,83328450.0,unknown
Michigan State University,Michigan State University,2018,3,87216513.0,False
Middle Tennessee State University,Middle Tennessee State University,2018,472,169615421.0,unknown
Mississippi State University,Mississippi State University,2018,52,99041443.0,unknown
Montclair State University,Montclair State University,2018,2,166088655.0,True
New Jersey Institute Of Technology,New Jersey Institute Of Technology,2018,17,118118575.0,False
New Mexico State University,New Mexico State University,2018,5,10052268.0,False
New School University,New School University,2018,250,102179633.0,False
New York University,New York University,2018,113,57206974.0,False
Northern Arizona University,Northern Arizona University,2018,179,203172682.0,unknown
Nova Southeastern University,Nova Southeastern University,2018,5,203088144.0,False
Ohio State University,Ohio State University,2018,8,52357470.0,unknown
Ohio University,Ohio University,2018,54,4210106879.0,unknown
Oklahoma State University,Oklahoma State University,2018,50,115475287.0,unknown
Old Dominion University,Old Dominion University,2018,4,81365321.0,False
Pace University,Pace University,2018,2,126863827.0,False
Pennsylvania State University,Pennsylvania State University,2018,48,130769515.0,False
Pepperdine University,Pepperdine University,2018,19,100191712.0,False
Polytechnic University,Polytechnic University,2018,57,57206974.0,False
Princeton University,Princeton University,2018,55,20089843.0,False
Purdue University,Purdue University,2018,2,219193219.0,False
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,2018,35,165799507.0,True
Rice University,Rice University,2018,39,74775410.0,False
Rochester Institute Of Technology,Rochester Institute Of Technology,2018,34,155173764.0,False
Rowan University,Rowan University,2018,2,44265643.0,False
Rutgers State University Of New Jersey,Rutgers State University Of New Jersey,2018,1,102322142.0,False
Seton Hall University,Seton Hall University,2018,23,12524447.0,True
South Dakota State University,South Dakota State University,2018,67,177156846.0,unknown
Southern Illinois University,Southern Illinois University,2018,23,2801502357.0,False
St Johns University,St Johns University,2018,29,142823887.0,False
Stanford University,Stanford University,2018,53,97018004.0,False
State University Of New York At Albany,State University Of New York At Albany,2018,18,392282.0,unknown
State University Of New York At Buffalo,State University Of New York At Buffalo,2018,3,63190737.0,unknown
State University Of New York At Stony Brook,State University Of New York At Stony Brook,2018,8,59553526.0,unknown
Syracuse University,Syracuse University,2018,21,70983195.0,False
Temple University,Temple University,2018,33,84392919.0,False
Texas Christian University,Texas Christian University,2018,3,128956969.0,False
Thomas Jefferson University,Thomas Jefferson University,2018,28,149251103.0,unknown
Tufts University,Tufts University,2018,43,121934306.0,False
Union Institute,Union Institute,2018,15,204669301.0,unknown
University Of Akron,University Of Akron,2018,83,110152177.0,unknown
University Of Alabama,University Of Alabama,2018,4,17301866.0,unknown
University Of Arizona,University Of Arizona,2018,175,138006243.0,unknown
University Of Chicago,University Of Chicago,2018,101,40347166.0,False
University Of Cincinnati,University Of Cincinnati,2018,53,63135867.0,unknown
University Of Connecticut,University Of Connecticut,2018,37,140172145.0,True
University Of Dayton,University Of Dayton,2018,4,127591826.0,False
University Of Delaware,University Of Delaware,2018,15,86501945.0,False
University Of Denver,University Of Denver,2018,28,131651094.0,True
University Of Hartford,University Of Hartford,2018,1,162281398.0,False
University Of Idaho,University Of Idaho,2018,50,155093810.0,unknown
University Of Illinois At Urbana Champaign,University Of Illinois At Urbana Champaign,2018,1,157725225.0,unknown
University Of Iowa,University Of Iowa,2018,69,126307644.0,unknown
University Of Kansas,University Of Kansas,2018,152,146416000.0,unknown
University Of La Verne,University Of La Verne,2018,1,708430.0,True
University Of Louisville,University Of Louisville,2018,1,142740786.0,False
University Of Massachusetts Worcester,University Of Massachusetts Worcester,2018,9,166722992.0,unknown
University Of Miami,University Of Miami,2018,5,145608581.0,False
University Of Michigan,University Of Michigan,2018,16,27837315.0,False
