Id,Label,Year,Interlock_Count,AffiliationId,female_president
University Of North Carolina At Charlotte,University Of North Carolina At Charlotte,2009,5,102149020.0,unknown
University Of North Carolina At Greensboro,University Of North Carolina At Greensboro,2009,9,169335092.0,unknown
University Of North Texas,University Of North Texas,2009,2,123534392.0,unknown
University Of Notre Dame,University Of Notre Dame,2009,31,107639228.0,False
University Of Oklahoma,University Of Oklahoma,2009,54,8692664.0,False
University Of Pittsburgh,University Of Pittsburgh,2009,60,170201317.0,False
University Of Rochester,University Of Rochester,2009,10,5388228.0,unknown
University Of San Diego,University Of San Diego,2009,15,160856358.0,True
University Of South Alabama,University Of South Alabama,2009,12,83809506.0,False
University Of South Carolina,University Of South Carolina,2009,1,155781252.0,False
University Of South Dakota,University Of South Dakota,2009,67,189957204.0,False
University Of Southern California,University Of Southern California,2009,23,1174212.0,False
University Of Southern Mississippi,University Of Southern Mississippi,2009,54,44854399.0,True
University Of St Thomas Minnesota,University Of St Thomas Minnesota,2009,31,161515732.0,False
University Of Texas At Brownsville/Texas Southmost College,University Of Texas At Brownsville/Texas Southmost College,2009,14,2802326326.0,True
University Of Tulsa,University Of Tulsa,2009,12,87208437.0,False
University Of Utah,University Of Utah,2009,150,223532165.0,False
University Of Virginia,University Of Virginia,2009,13,51556381.0,False
University Of Washington,University Of Washington,2009,1,201448701.0,False
Utah State University,Utah State University,2009,157,121980950.0,False
Vanderbilt University,Vanderbilt University,2009,14,200719446.0,False
Villanova University,Villanova University,2009,10,7863295.0,False
Virginia Commonwealth University,Virginia Commonwealth University,2009,3,184840846.0,False
Virginia Polytechnic Institute And State University,Virginia Polytechnic Institute And State University,2009,23,859038795.0,False
Wake Forest University,Wake Forest University,2009,9,47251452.0,False
Washington State University,Washington State University,2009,5,72951846.0,False
Washington University,Washington University,2009,1,204465549.0,False
West Chester University Of Pennsylvania,West Chester University Of Pennsylvania,2009,12,161171246.0,True
West Virginia University,West Virginia University,2009,53,12097938.0,False
Wichita State University,Wichita State University,2009,147,39587148.0,False
Widener University,Widener University,2009,11,138659443.0,False
Worcester Polytechnic Institute,Worcester Polytechnic Institute,2009,15,107077323.0,False
Yale University,Yale University,2009,37,32971472.0,False
Yeshiva University,Yeshiva University,2009,48,19772626.0,False
Rockefeller University,Rockefeller University,2009,101,83399316.0,False
Saint Louis University,Saint Louis University,2009,3,47838141.0,False
Southern Illinois University System,Southern Illinois University System,2009,15,2801502357.0,False
Southern Methodist University,Southern Methodist University,2009,3,178169726.0,False
Stevens Institute Of Technology,Stevens Institute Of Technology,2009,4,108468826.0,False
Tennessee State University,Tennessee State University,2009,473,75256744.0,False
Tennessee Technological University,Tennessee Technological University,2009,464,63920570.0,False
University At Albany Suny,University At Albany Suny,2009,12,392282.0,unknown
University Of Memphis,University Of Memphis,2009,460,94658018.0,True
University Of Pennsylvania,University Of Pennsylvania,2009,49,79576946.0,True
University Of San Francisco,University Of San Francisco,2009,6,76766440.0,False
Florida Agricultural And Mechanical University,Florida Agricultural And Mechanical University,2009,2,8248082.0,False
Florida State University,Florida State University,2009,2,103163165.0,False
Montana State University Bozeman,Montana State University Bozeman,2009,10,23732399.0,False
State University Of New York Stony Brook,State University Of New York Stony Brook,2009,8,59553526.0,unknown
Union Institute & University,Union Institute & University,2009,14,204669301.0,False
University At Buffalo State University Of New York,University At Buffalo State University Of New York,2009,3,63190737.0,unknown
New School,New School,2009,151,102179633.0,False
University Of California Los Angeles,University Of California Los Angeles,2009,7,161318765.0,unknown
Baylor College Of Medicine,Baylor College Of Medicine,2009,18,181547552.0,False
Boise State University,Boise State University,2009,27,120156002.0,unknown
Montana State University,Montana State University,2009,10,23732399.0,False
Northeastern University,Northeastern University,2009,2,12912129.0,False
Northwestern University,Northwestern University,2009,8,111979921.0,False
North Dakota State University,North Dakota State University,2009,1,57328836.0,False
Virginia Tech,Virginia Tech,2009,16,859038795.0,False
