Source,Target,Type,Weight,Year
Cornell University,Adelphi University,Undirected,1,2008
Cornell University,Adelphi University,Undirected,1,2008
Cornell University,Adelphi University,Undirected,1,2008
Cornell University,Adelphi University,Undirected,1,2008
Cornell University,Adelphi University,Undirected,1,2008
Cornell University,Adelphi University,Undirected,1,2008
State University Of New York At Albany,Adelphi University,Undirected,1,2008
Loma Linda University,Andrews University,Undirected,1,2008
Loma Linda University,Andrews University,Undirected,1,2008
Loma Linda University,Andrews University,Undirected,1,2008
Loma Linda University,Andrews University,Undirected,1,2008
Loma Linda University,Andrews University,Undirected,1,2008
Loma Linda University,Andrews University,Undirected,1,2008
University Of Arizona,Arizona State University,Undirected,1,2008
Northern Arizona University,Arizona State University,Undirected,1,2008
University Of Arizona,Arizona State University,Undirected,1,2008
Northern Arizona University,Arizona State University,Undirected,1,2008
University Of Arizona,Arizona State University,Undirected,1,2008
Northern Arizona University,Arizona State University,Undirected,1,2008
University Of Arizona,Arizona State University,Undirected,1,2008
Northern Arizona University,Arizona State University,Undirected,1,2008
University Of Arizona,Arizona State University,Undirected,1,2008
Northern Arizona University,Arizona State University,Undirected,1,2008
University Of Arizona,Arizona State University,Undirected,1,2008
Northern Arizona University,Arizona State University,Undirected,1,2008
University Of Arizona,Arizona State University,Undirected,1,2008
Northern Arizona University,Arizona State University,Undirected,1,2008
University Of Arizona,Arizona State University,Undirected,1,2008
Northern Arizona University,Arizona State University,Undirected,1,2008
University Of South Alabama,Auburn University,Undirected,1,2008
Baylor University,Baylor College Of Medicine,Undirected,1,2008
Rice University,Baylor College Of Medicine,Undirected,1,2008
Baylor University,Baylor College Of Medicine,Undirected,1,2008
Rice University,Baylor College Of Medicine,Undirected,1,2008
Rice University,Baylor College Of Medicine,Undirected,1,2008
Southern Methodist University,Baylor College Of Medicine,Undirected,1,2008
Baylor University,Baylor College Of Medicine,Undirected,1,2008
Baylor College Of Medicine,Baylor University,Undirected,1,2008
Idaho State University,Boise State University,Undirected,1,2008
University Of Idaho,Boise State University,Undirected,1,2008
Idaho State University,Boise State University,Undirected,1,2008
University Of Idaho,Boise State University,Undirected,1,2008
Idaho State University,Boise State University,Undirected,1,2008
University Of Idaho,Boise State University,Undirected,1,2008
Idaho State University,Boise State University,Undirected,1,2008
University Of Idaho,Boise State University,Undirected,1,2008
Clark University,Boston College,Undirected,1,2008
Columbia University,Boston College,Undirected,1,2008
Worcester Polytechnic Institute,Boston College,Undirected,1,2008
Loyola University Chicago,Boston College,Undirected,1,2008
Harvard University,Brandeis University,Undirected,1,2008
Fordham University,Brandeis University,Undirected,1,2008
Rockefeller University,Brandeis University,Undirected,1,2008
University Of Massachusetts Worcester,Brandeis University,Undirected,1,2008
Columbia University,Brandeis University,Undirected,1,2008
New York University,Brandeis University,Undirected,1,2008
Rockefeller University,Brandeis University,Undirected,1,2008
Tufts University,Brandeis University,Undirected,1,2008
Tufts University,Brown University,Undirected,1,2008
Chapman University,California Institute Of Technology,Undirected,1,2008
Massachusetts Institute Of Technology,California Institute Of Technology,Undirected,1,2008
Pepperdine University,California Institute Of Technology,Undirected,1,2008
Adelphi University,California Institute Of Technology,Undirected,1,2008
University Of Pennsylvania,California Institute Of Technology,Undirected,1,2008
Harvard University,California Institute Of Technology,Undirected,1,2008
Harvard University,California Institute Of Technology,Undirected,1,2008
Stanford University,California Institute Of Technology,Undirected,1,2008
Loyola Marymount University,California Institute Of Technology,Undirected,1,2008
Duquesne University,Carnegie Mellon University,Undirected,1,2008
Duquesne University,Carnegie Mellon University,Undirected,1,2008
Worcester Polytechnic Institute,Carnegie Mellon University,Undirected,1,2008
University Of Pittsburgh,Carnegie Mellon University,Undirected,1,2008
University Of Pittsburgh,Carnegie Mellon University,Undirected,1,2008
James Madison University,Catholic University Of America,Undirected,1,2008
University Of St Thomas Minnesota,Catholic University Of America,Undirected,1,2008
University Of San Diego,Chapman University,Undirected,1,2008
California Institute Of Technology,Chapman University,Undirected,1,2008
Polytechnic University,Clarkson University,Undirected,1,2008
Mercer University,Clemson University,Undirected,1,2008
Princeton University,Cleveland State University,Undirected,1,2008
University Of Michigan,Columbia University,Undirected,1,2008
Rockefeller University,Columbia University,Undirected,1,2008
University Of Michigan,Columbia University,Undirected,1,2008
Stanford University,Columbia University,Undirected,1,2008
Yeshiva University,Columbia University,Undirected,1,2008
Brandeis University,Columbia University,Undirected,1,2008
New York University,Columbia University,Undirected,1,2008
Massachusetts Institute Of Technology,Cornell University,Undirected,1,2008
University Of Southern California,Cornell University,Undirected,1,2008
New School University,Cornell University,Undirected,1,2008
New School,Cornell University,Undirected,1,2008
University Of Tulsa,Cornell University,Undirected,1,2008
University Of Notre Dame,Creighton University,Undirected,1,2008
Rockefeller University,Dartmouth College,Undirected,1,2008
Columbia University,Depaul University,Undirected,1,2008
Villanova University,Drexel University,Undirected,1,2008
Thomas Jefferson University,Drexel University,Undirected,1,2008
Johns Hopkins University,Duke University,Undirected,1,2008
Middle Tennessee State University,East Tennessee State University,Undirected,1,2008
Tennessee State University,East Tennessee State University,Undirected,1,2008
Tennessee Technological University,East Tennessee State University,Undirected,1,2008
University Of Memphis,East Tennessee State University,Undirected,1,2008
Tennessee Technological University,East Tennessee State University,Undirected,1,2008
Tennessee State University,East Tennessee State University,Undirected,1,2008
Middle Tennessee State University,East Tennessee State University,Undirected,1,2008
University Of Memphis,East Tennessee State University,Undirected,1,2008
Tennessee Technological University,East Tennessee State University,Undirected,1,2008
Tennessee State University,East Tennessee State University,Undirected,1,2008
Middle Tennessee State University,East Tennessee State University,Undirected,1,2008
University Of Memphis,East Tennessee State University,Undirected,1,2008
Tennessee Technological University,East Tennessee State University,Undirected,1,2008
Tennessee State University,East Tennessee State University,Undirected,1,2008
Middle Tennessee State University,East Tennessee State University,Undirected,1,2008
University Of Memphis,East Tennessee State University,Undirected,1,2008
Tennessee Technological University,East Tennessee State University,Undirected,1,2008
