Source,Target,Type,Weight
Mississippi State University,University Of Southern Mississippi,Undirected,1
University Of Mississippi,University Of Southern Mississippi,Undirected,1
Mississippi State University,University Of Southern Mississippi,Undirected,1
University Of Mississippi,University Of Southern Mississippi,Undirected,1
Mississippi State University,University Of Southern Mississippi,Undirected,1
University Of Mississippi,University Of Southern Mississippi,Undirected,1
University Of Mississippi,University Of Southern Mississippi,Undirected,1
Mississippi State University,University Of Southern Mississippi,Undirected,1
University Of Mississippi,University Of Southern Mississippi,Undirected,1
Mississippi State University,University Of Southern Mississippi,Undirected,1
University Of Mississippi,University Of Southern Mississippi,Undirected,1
Mississippi State University,University Of Southern Mississippi,Undirected,1
Mississippi State University,University Of Southern Mississippi,Undirected,1
University Of Mississippi,University Of Southern Mississippi,Undirected,1
Mississippi State University,University Of Southern Mississippi,Undirected,1
University Of Notre Dame,University Of St Thomas Minnesota,Undirected,1
Marquette University,University Of St Thomas Minnesota,Undirected,1
University Of Oklahoma,University Of Tulsa,Undirected,1
Carnegie Mellon University,University Of Tulsa,Undirected,1
University Of Utah,Utah State University,Undirected,1
University Of Utah,Utah State University,Undirected,1
University Of Utah,Utah State University,Undirected,1
University Of Utah,Utah State University,Undirected,1
University Of Utah,Utah State University,Undirected,1
University Of Utah,Utah State University,Undirected,1
University Of Utah,Utah State University,Undirected,1
University Of Utah,Utah State University,Undirected,1
University Of Utah,Utah State University,Undirected,1
University Of Utah,Utah State University,Undirected,1
University Of Utah,Utah State University,Undirected,1
University Of Utah,Utah State University,Undirected,1
University Of Utah,Utah State University,Undirected,1
University Of Utah,Utah State University,Undirected,1
Seton Hall University,Villanova University,Undirected,1
University Of North Carolina At Greensboro,Wake Forest University,Undirected,1
Indiana University Of Pennsylvania,West Chester University Of Pennsylvania,Undirected,1
Indiana University Of Pennsylvania,West Chester University Of Pennsylvania,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
Marshall University,West Virginia University,Undirected,1
University Of Kansas,Wichita State University,Undirected,1
Kansas State University,Wichita State University,Undirected,1
University Of Kansas,Wichita State University,Undirected,1
Kansas State University,Wichita State University,Undirected,1
University Of Kansas,Wichita State University,Undirected,1
Kansas State University,Wichita State University,Undirected,1
University Of Kansas,Wichita State University,Undirected,1
Kansas State University,Wichita State University,Undirected,1
University Of Kansas,Wichita State University,Undirected,1
Kansas State University,Wichita State University,Undirected,1
University Of Kansas,Wichita State University,Undirected,1
Kansas State University,Wichita State University,Undirected,1
University Of Kansas,Wichita State University,Undirected,1
Kansas State University,Wichita State University,Undirected,1
University Of Kansas,Wichita State University,Undirected,1
Kansas State University,Wichita State University,Undirected,1
University Of Kansas,Wichita State University,Undirected,1
Thomas Jefferson University,Widener University,Undirected,1
Carnegie Mellon University,Worcester Polytechnic Institute,Undirected,1
University Of Connecticut,Yale University,Undirected,1
