Source,Target,Type,Weight,Year
Cornell University,Adelphi University,Undirected,1,2011
Cornell University,Adelphi University,Undirected,1,2011
Cornell University,Adelphi University,Undirected,1,2011
Cornell University,Adelphi University,Undirected,1,2011
State University Of New York At Albany,Adelphi University,Undirected,1,2011
Loma Linda University,Andrews University,Undirected,1,2011
Loma Linda University,Andrews University,Undirected,1,2011
Loma Linda University,Andrews University,Undirected,1,2011
Loma Linda University,Andrews University,Undirected,1,2011
Loma Linda University,Andrews University,Undirected,1,2011
Loma Linda University,Andrews University,Undirected,1,2011
University Of South Alabama,Auburn University,Undirected,1,2011
Southern Methodist University,Baylor College Of Medicine,Undirected,1,2011
Baylor University,Baylor College Of Medicine,Undirected,1,2011
Baylor University,Baylor College Of Medicine,Undirected,1,2011
Rice University,Baylor College Of Medicine,Undirected,1,2011
Rice University,Baylor College Of Medicine,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Boston University,Boston College,Undirected,1,2011
Marquette University,Boston College,Undirected,1,2011
Rockefeller University,Brandeis University,Undirected,1,2011
New York University,Brandeis University,Undirected,1,2011
Fordham University,Brandeis University,Undirected,1,2011
Columbia University,Brandeis University,Undirected,1,2011
New York University,Brandeis University,Undirected,1,2011
Ohio State University,Brandeis University,Undirected,1,2011
University Of Massachusetts Worcester,Brandeis University,Undirected,1,2011
Harvard University,Brandeis University,Undirected,1,2011
Tufts University,Brown University,Undirected,1,2011
Rockefeller University,Brown University,Undirected,1,2011
University Of Pennsylvania,California Institute Of Technology,Undirected,1,2011
Adelphi University,California Institute Of Technology,Undirected,1,2011
University Of Southern California,California Institute Of Technology,Undirected,1,2011
Loyola Marymount University,California Institute Of Technology,Undirected,1,2011
University Of Southern California,California Institute Of Technology,Undirected,1,2011
Stanford University,California Institute Of Technology,Undirected,1,2011
Harvard University,California Institute Of Technology,Undirected,1,2011
Harvard University,California Institute Of Technology,Undirected,1,2011
West Virginia University,Carnegie Mellon University,Undirected,1,2011
University Of Pittsburgh,Carnegie Mellon University,Undirected,1,2011
University Of Southern California,Carnegie Mellon University,Undirected,1,2011
Virginia Polytechnic Institute And State University,Case Western Reserve University,Undirected,1,2011
Seton Hall University,Catholic University Of America,Undirected,1,2011
California Institute Of Technology,Chapman University,Undirected,1,2011
University Of San Diego,Chapman University,Undirected,1,2011
Emory University,Clark Atlanta University,Undirected,1,2011
Virginia Commonwealth University,College Of William And Mary,Undirected,1,2011
University Of Michigan,Columbia University,Undirected,1,2011
University Of Southern California,Cornell University,Undirected,1,2011
