Source,Target,Type,Weight,Year
Loma Linda University,Andrews University,Undirected,1,2018
Loma Linda University,Andrews University,Undirected,1,2018
Loma Linda University,Andrews University,Undirected,1,2018
Loma Linda University,Andrews University,Undirected,1,2018
Loma Linda University,Andrews University,Undirected,1,2018
Loma Linda University,Andrews University,Undirected,1,2018
Rice University,Baylor College Of Medicine,Undirected,1,2018
Rice University,Baylor College Of Medicine,Undirected,1,2018
Syracuse University,Baylor College Of Medicine,Undirected,1,2018
Baylor University,Baylor College Of Medicine,Undirected,1,2018
Rice University,Baylor College Of Medicine,Undirected,1,2018
Baylor University,Baylor College Of Medicine,Undirected,1,2018
Baylor College Of Medicine,Baylor University,Undirected,1,2018
Baylor College Of Medicine,Baylor University,Undirected,1,2018
Baylor College Of Medicine,Baylor University,Undirected,1,2018
Marquette University,Boston College,Undirected,1,2018
Boston College,Boston University,Undirected,1,2018
Boston College,Boston University,Undirected,1,2018
Boston College,Boston University,Undirected,1,2018
Boston College,Boston University,Undirected,1,2018
Boston College,Boston University,Undirected,1,2018
Boston College,Boston University,Undirected,1,2018
Boston College,Boston University,Undirected,1,2018
Boston College,Boston University,Undirected,1,2018
Boston College,Boston University,Undirected,1,2018
Boston College,Boston University,Undirected,1,2018
Boston College,Boston University,Undirected,1,2018
Boston College,Boston University,Undirected,1,2018
Harvard University,Brandeis University,Undirected,1,2018
Dartmouth College,Brown University,Undirected,1,2018
University Of Pennsylvania,Brown University,Undirected,1,2018
Carnegie Mellon University,Brown University,Undirected,1,2018
University Of Pittsburgh,Carnegie Mellon University,Undirected,1,2018
West Virginia University,Carnegie Mellon University,Undirected,1,2018
University Of Chicago,Carnegie Mellon University,Undirected,1,2018
University Of San Francisco,Carnegie Mellon University,Undirected,1,2018
University Of Southern California,Carnegie Mellon University,Undirected,1,2018
George Washington University,Carnegie Mellon University,Undirected,1,2018
University Of San Francisco,Carnegie Mellon University,Undirected,1,2018
University Of Notre Dame,Carnegie Mellon University,Undirected,1,2018
University Of Notre Dame,Case Western Reserve University,Undirected,1,2018
Virginia Polytechnic Institute And State University,Case Western Reserve University,Undirected,1,2018
University Of San Diego,Chapman University,Undirected,1,2018
University Of San Francisco,Chapman University,Undirected,1,2018
George Washington University,Clark University,Undirected,1,2018
University Of Michigan,Columbia University,Undirected,1,2018
University Of Southern California,Cornell University,Undirected,1,2018
Brandeis University,Cornell University,Undirected,1,2018
Rochester Institute Of Technology,Cornell University,Undirected,1,2018
Boston College,Creighton University,Undirected,1,2018
Boston College,Creighton University,Undirected,1,2018
Stanford University,Dartmouth College,Undirected,1,2018
Johns Hopkins University,Dartmouth College,Undirected,1,2018
New Jersey Institute Of Technology,Drexel University,Undirected,1,2018
Brown University,Drexel University,Undirected,1,2018
Clark Atlanta University,Duke University,Undirected,1,2018
Northwestern University,Duke University,Undirected,1,2018
Emory University,Duke University,Undirected,1,2018
Clark Atlanta University,Emory University,Undirected,1,2018
Case Western Reserve University,Emory University,Undirected,1,2018
University Of San Francisco,Fordham University,Undirected,1,2018
Drexel University,Fordham University,Undirected,1,2018
Brandeis University,George Washington University,Undirected,1,2018
Northeastern University,George Washington University,Undirected,1,2018
University Of St Thomas Minnesota,Georgetown University,Undirected,1,2018
St Johns University,Georgetown University,Undirected,1,2018
University Of St Thomas Minnesota,Georgetown University,Undirected,1,2018
University Of Hartford,Harvard University,Undirected,1,2018
Yeshiva University,Hofstra University,Undirected,1,2018
Northwestern University,Illinois Institute Of Technology,Undirected,1,2018
University Of Chicago,Illinois Institute Of Technology,Undirected,1,2018
Pennsylvania State University,Johns Hopkins University,Undirected,1,2018
Rockefeller University,Johns Hopkins University,Undirected,1,2018
Drexel University,Lehigh University,Undirected,1,2018
Andrews University,Loma Linda University,Undirected,1,2018
Andrews University,Loma Linda University,Undirected,1,2018
Andrews University,Loma Linda University,Undirected,1,2018
Andrews University,Loma Linda University,Undirected,1,2018
Andrews University,Loma Linda University,Undirected,1,2018
Andrews University,Loma Linda University,Undirected,1,2018
Andrews University,Loma Linda University,Undirected,1,2018
Andrews University,Loma Linda University,Undirected,1,2018
New York University,Long Island University,Undirected,1,2018
University Of Southern California,Loyola Marymount University,Undirected,1,2018
Loyola University Chicago,Loyola Marymount University,Undirected,1,2018
Fordham University,Loyola Marymount University,Undirected,1,2018
Illinois Institute Of Technology,Loyola University Chicago,Undirected,1,2018
University Of Chicago,Loyola University Chicago,Undirected,1,2018
Saint Louis University,Loyola University Chicago,Undirected,1,2018
University Of San Francisco,Loyola University Chicago,Undirected,1,2018
Illinois Institute Of Technology,Loyola University Chicago,Undirected,1,2018
Loyola University Chicago,Marquette University,Undirected,1,2018
New School University,Marquette University,Undirected,1,2018
University Of California Los Angeles,Marquette University,Undirected,1,2018
