Id,Label,Interlock_Count
Case Western Reserve University,Case Western Reserve University,9
Columbia University,Columbia University,22
Carnegie Mellon University,Carnegie Mellon University,41
Duquesne University,Duquesne University,16
Clark Atlanta University,Clark Atlanta University,4
Emory University,Emory University,6
Brandeis University,Brandeis University,26
Fordham University,Fordham University,22
Georgetown University,Georgetown University,45
California Institute Of Technology,California Institute Of Technology,27
Harvard University,Harvard University,16
Brown University,Brown University,11
Johns Hopkins University,Johns Hopkins University,25
Howard University,Howard University,10
Andrews University,Andrews University,25
Loma Linda University,Loma Linda University,25
Illinois Institute Of Technology,Illinois Institute Of Technology,14
Loyola University Chicago,Loyola University Chicago,26
George Washington University,George Washington University,10
Marquette University,Marquette University,17
Boston University,Boston University,5
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,44
Dartmouth College,Dartmouth College,10
New School University,New School University,68
New York University,New York University,40
Arizona State University,Arizona State University,112
Northern Arizona University,Northern Arizona University,110
Ohio State University,Ohio State University,4
Kent State University,Kent State University,80
Ohio University,Ohio University,54
Hampton University,Hampton University,3
Old Dominion University,Old Dominion University,3
Pepperdine University,Pepperdine University,10
Polytechnic University,Polytechnic University,10
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,13
Princeton University,Princeton University,19
Rice University,Rice University,9
Lehigh University,Lehigh University,6
Seton Hall University,Seton Hall University,12
Adelphi University,Adelphi University,5
State University Of New York At Albany,State University Of New York At Albany,13
Pennsylvania State University,Pennsylvania State University,16
Temple University,Temple University,13
Tufts University,Tufts University,23
University Of Akron,University Of Akron,82
Auburn University,Auburn University,15
University Of Alabama,University Of Alabama,4
University Of Arizona,University Of Arizona,108
University Of Chicago,University Of Chicago,39
University Of Cincinnati,University Of Cincinnati,53
University Of Delaware,University Of Delaware,9
Idaho State University,Idaho State University,34
University Of Idaho,University Of Idaho,29
Depaul University,Depaul University,4
University Of Illinois At Urbana Champaign,University Of Illinois At Urbana Champaign,1
Iowa State University,Iowa State University,40
University Of Iowa,University Of Iowa,40
Kansas State University,Kansas State University,74
University Of Kansas,University Of Kansas,77
Mississippi State University,Mississippi State University,52
University Of Mississippi,University Of Mississippi,52
New Mexico State University,New Mexico State University,5
University Of New Mexico,University Of New Mexico,7
Middle Tennessee State University,Middle Tennessee State University,245
University Of North Texas,University Of North Texas,2
University Of Notre Dame,University Of Notre Dame,17
New Jersey Institute Of Technology,New Jersey Institute Of Technology,10
Oklahoma State University,Oklahoma State University,24
University Of Oklahoma,University Of Oklahoma,28
Hofstra University,Hofstra University,10
University Of Pittsburgh,University Of Pittsburgh,33
University Of Rochester,University Of Rochester,9
Rochester Institute Of Technology,Rochester Institute Of Technology,9
University Of South Alabama,University Of South Alabama,9
