Source,Target,Type,Weight,Year
State University Of New York At Albany,Adelphi University,Undirected,1,2005
Loma Linda University,Andrews University,Undirected,1,2005
University Of Arizona,Arizona State University,Undirected,1,2005
Northern Arizona University,Arizona State University,Undirected,1,2005
University Of Arizona,Arizona State University,Undirected,1,2005
Northern Arizona University,Arizona State University,Undirected,1,2005
Loyola University Chicago,Boston College,Undirected,1,2005
Columbia University,Boston College,Undirected,1,2005
Loyola University Chicago,Boston College,Undirected,1,2005
Loyola University Chicago,Boston College,Undirected,1,2005
Loyola Marymount University,Boston College,Undirected,1,2005
Fordham University,Brandeis University,Undirected,1,2005
Harvard University,Brandeis University,Undirected,1,2005
University Of Massachusetts Worcester,Brandeis University,Undirected,1,2005
University Of Massachusetts Worcester,Brandeis University,Undirected,1,2005
Harvard University,Brandeis University,Undirected,1,2005
Tufts University,Brandeis University,Undirected,1,2005
Rockefeller University,Brandeis University,Undirected,1,2005
Pepperdine University,California Institute Of Technology,Undirected,1,2005
Chapman University,California Institute Of Technology,Undirected,1,2005
Adelphi University,California Institute Of Technology,Undirected,1,2005
Duquesne University,Carnegie Mellon University,Undirected,1,2005
University Of Pittsburgh,Carnegie Mellon University,Undirected,1,2005
University Of Pittsburgh,Carnegie Mellon University,Undirected,1,2005
Duquesne University,Carnegie Mellon University,Undirected,1,2005
Worcester Polytechnic Institute,Carnegie Mellon University,Undirected,1,2005
Duquesne University,Carnegie Mellon University,Undirected,1,2005
James Madison University,Catholic University Of America,Undirected,1,2005
California Institute Of Technology,Chapman University,Undirected,1,2005
University Of Michigan,Columbia University,Undirected,1,2005
Rockefeller University,Columbia University,Undirected,1,2005
Stanford University,Columbia University,Undirected,1,2005
University Of Michigan,Columbia University,Undirected,1,2005
New York University,Columbia University,Undirected,1,2005
University Of Michigan,Columbia University,Undirected,1,2005
New School University,Cornell University,Undirected,1,2005
Stanford University,Cornell University,Undirected,1,2005
Rochester Institute Of Technology,Cornell University,Undirected,1,2005
University Of Tulsa,Cornell University,Undirected,1,2005
New School University,Cornell University,Undirected,1,2005
University Of San Francisco,Creighton University,Undirected,1,2005
Loyola University Chicago,Creighton University,Undirected,1,2005
University Of San Francisco,Creighton University,Undirected,1,2005
Loyola University Chicago,Creighton University,Undirected,1,2005
University Of San Francisco,Creighton University,Undirected,1,2005
Rockefeller University,Dartmouth College,Undirected,1,2005
New School University,Dartmouth College,Undirected,1,2005
Carnegie Mellon University,Duquesne University,Undirected,1,2005
Carnegie Mellon University,Duquesne University,Undirected,1,2005
University Of Memphis,East Tennessee State University,Undirected,1,2005
Tennessee Technological University,East Tennessee State University,Undirected,1,2005
Tennessee State University,East Tennessee State University,Undirected,1,2005
Middle Tennessee State University,East Tennessee State University,Undirected,1,2005
University Of Memphis,East Tennessee State University,Undirected,1,2005
Tennessee Technological University,East Tennessee State University,Undirected,1,2005
Tennessee State University,East Tennessee State University,Undirected,1,2005
Middle Tennessee State University,East Tennessee State University,Undirected,1,2005
University Of Memphis,East Tennessee State University,Undirected,1,2005
Tennessee Technological University,East Tennessee State University,Undirected,1,2005
Tennessee State University,East Tennessee State University,Undirected,1,2005
Middle Tennessee State University,East Tennessee State University,Undirected,1,2005
Middle Tennessee State University,East Tennessee State University,Undirected,1,2005
Tennessee State University,East Tennessee State University,Undirected,1,2005
University Of Memphis,East Tennessee State University,Undirected,1,2005
Middle Tennessee State University,East Tennessee State University,Undirected,1,2005
Tennessee State University,East Tennessee State University,Undirected,1,2005
University Of Memphis,East Tennessee State University,Undirected,1,2005
Clark Atlanta University,Emory University,Undirected,1,2005
Duke University,Emory University,Undirected,1,2005
Lehigh University,Florida Institute Of Technology,Undirected,1,2005
Georgetown University,Fordham University,Undirected,1,2005
Yeshiva University,Fordham University,Undirected,1,2005
University Of San Francisco,Fordham University,Undirected,1,2005
New School University,Georgetown University,Undirected,1,2005
University Of Texas At Brownsville/Texas Southmost College,Georgetown University,Undirected,1,2005
Auburn University,Georgetown University,Undirected,1,2005
New York University,Georgetown University,Undirected,1,2005
University Of Connecticut,Georgetown University,Undirected,1,2005
Creighton University,Georgetown University,Undirected,1,2005
Fordham University,Georgetown University,Undirected,1,2005
Rensselaer Polytechnic Institute,Georgetown University,Undirected,1,2005
California Institute Of Technology,Harvard University,Undirected,1,2005
California Institute Of Technology,Harvard University,Undirected,1,2005
Yeshiva University,Hofstra University,Undirected,1,2005
New York University,Howard University,Undirected,1,2005
Loyola University Chicago,Illinois Institute Of Technology,Undirected,1,2005
University Of Iowa,Iowa State University,Undirected,1,2005
Howard University,Johns Hopkins University,Undirected,1,2005
University Of Rochester,Johns Hopkins University,Undirected,1,2005
Massachusetts Institute Of Technology,Johns Hopkins University,Undirected,1,2005
Rockefeller University,Johns Hopkins University,Undirected,1,2005
Massachusetts Institute Of Technology,Johns Hopkins University,Undirected,1,2005
University Of Kansas,Kansas State University,Undirected,1,2005
Wichita State University,Kansas State University,Undirected,1,2005
Andrews University,Loma Linda University,Undirected,1,2005
Andrews University,Loma Linda University,Undirected,1,2005
Andrews University,Loma Linda University,Undirected,1,2005
Andrews University,Loma Linda University,Undirected,1,2005
Andrews University,Loma Linda University,Undirected,1,2005
Andrews University,Loma Linda University,Undirected,1,2005
Boston College,Loyola Marymount University,Undirected,1,2005
Boston College,Loyola Marymount University,Undirected,1,2005
Boston College,Loyola University Chicago,Undirected,1,2005
Boston College,Loyola University Chicago,Undirected,1,2005
University Of San Diego,Loyola University Chicago,Undirected,1,2005
Fordham University,Loyola University Chicago,Undirected,1,2005
Loyola University Chicago,Marquette University,Undirected,1,2005
University Of Chicago,Marquette University,Undirected,1,2005
West Virginia University,Marshall University,Undirected,1,2005
West Virginia University,Marshall University,Undirected,1,2005
New School University,Massachusetts Institute Of Technology,Undirected,1,2005
University Of North Carolina At Greensboro,Massachusetts Institute Of Technology,Undirected,1,2005
Cornell University,Massachusetts Institute Of Technology,Undirected,1,2005
Howard University,Massachusetts Institute Of Technology,Undirected,1,2005
California Institute Of Technology,Massachusetts Institute Of Technology,Undirected,1,2005
Pepperdine University,Massachusetts Institute Of Technology,Undirected,1,2005
Boston University,Massachusetts Institute Of Technology,Undirected,1,2005
California Institute Of Technology,Massachusetts Institute Of Technology,Undirected,1,2005
Harvard University,Massachusetts Institute Of Technology,Undirected,1,2005
Miami University,Mercer University,Undirected,1,2005
Miami University,Mercer University,Undirected,1,2005
Miami University,Mercer University,Undirected,1,2005
Tennessee State University,Middle Tennessee State University,Undirected,1,2005
Tennessee Technological University,Middle Tennessee State University,Undirected,1,2005
