Source,Target,Type,Weight,Year
Cornell University,Adelphi University,Undirected,1,2009
Cornell University,Adelphi University,Undirected,1,2009
Cornell University,Adelphi University,Undirected,1,2009
Cornell University,Adelphi University,Undirected,1,2009
Cornell University,Adelphi University,Undirected,1,2009
State University Of New York At Albany,Adelphi University,Undirected,1,2009
Loma Linda University,Andrews University,Undirected,1,2009
Loma Linda University,Andrews University,Undirected,1,2009
Loma Linda University,Andrews University,Undirected,1,2009
Loma Linda University,Andrews University,Undirected,1,2009
Loma Linda University,Andrews University,Undirected,1,2009
Loma Linda University,Andrews University,Undirected,1,2009
University Of Arizona,Arizona State University,Undirected,1,2009
Northern Arizona University,Arizona State University,Undirected,1,2009
University Of Arizona,Arizona State University,Undirected,1,2009
Northern Arizona University,Arizona State University,Undirected,1,2009
University Of Arizona,Arizona State University,Undirected,1,2009
Northern Arizona University,Arizona State University,Undirected,1,2009
University Of Arizona,Arizona State University,Undirected,1,2009
Northern Arizona University,Arizona State University,Undirected,1,2009
University Of Arizona,Arizona State University,Undirected,1,2009
Northern Arizona University,Arizona State University,Undirected,1,2009
University Of Arizona,Arizona State University,Undirected,1,2009
Northern Arizona University,Arizona State University,Undirected,1,2009
University Of Arizona,Arizona State University,Undirected,1,2009
Northern Arizona University,Arizona State University,Undirected,1,2009
University Of Arizona,Arizona State University,Undirected,1,2009
Northern Arizona University,Arizona State University,Undirected,1,2009
University Of South Alabama,Auburn University,Undirected,1,2009
Baylor University,Baylor College Of Medicine,Undirected,1,2009
Baylor University,Baylor College Of Medicine,Undirected,1,2009
Rice University,Baylor College Of Medicine,Undirected,1,2009
Rice University,Baylor College Of Medicine,Undirected,1,2009
Rice University,Baylor College Of Medicine,Undirected,1,2009
Baylor University,Baylor College Of Medicine,Undirected,1,2009
Worcester Polytechnic Institute,Boston College,Undirected,1,2009
Marquette University,Boston College,Undirected,1,2009
Loyola University Chicago,Boston College,Undirected,1,2009
Clark University,Boston College,Undirected,1,2009
Columbia University,Brandeis University,Undirected,1,2009
New York University,Brandeis University,Undirected,1,2009
Rockefeller University,Brandeis University,Undirected,1,2009
University Of Massachusetts Worcester,Brandeis University,Undirected,1,2009
Rockefeller University,Brandeis University,Undirected,1,2009
Harvard University,Brandeis University,Undirected,1,2009
New York University,Brandeis University,Undirected,1,2009
Rockefeller University,Brown University,Undirected,1,2009
Tufts University,Brown University,Undirected,1,2009
Drexel University,Brown University,Undirected,1,2009
Drexel University,Brown University,Undirected,1,2009
Drexel University,Brown University,Undirected,1,2009
Drexel University,Brown University,Undirected,1,2009
Drexel University,Brown University,Undirected,1,2009
Adelphi University,California Institute Of Technology,Undirected,1,2009
University Of Southern California,California Institute Of Technology,Undirected,1,2009
Harvard University,California Institute Of Technology,Undirected,1,2009
Harvard University,California Institute Of Technology,Undirected,1,2009
Chapman University,California Institute Of Technology,Undirected,1,2009
Massachusetts Institute Of Technology,California Institute Of Technology,Undirected,1,2009
Pepperdine University,California Institute Of Technology,Undirected,1,2009
Stanford University,California Institute Of Technology,Undirected,1,2009
University Of Pennsylvania,California Institute Of Technology,Undirected,1,2009
Loyola Marymount University,California Institute Of Technology,Undirected,1,2009
University Of Pittsburgh,Carnegie Mellon University,Undirected,1,2009
University Of Pittsburgh,Carnegie Mellon University,Undirected,1,2009
Seton Hall University,Catholic University Of America,Undirected,1,2009
Seton Hall University,Catholic University Of America,Undirected,1,2009
James Madison University,Catholic University Of America,Undirected,1,2009
University Of St Thomas Minnesota,Catholic University Of America,Undirected,1,2009
University Of San Diego,Chapman University,Undirected,1,2009
California Institute Of Technology,Chapman University,Undirected,1,2009
Princeton University,Cleveland State University,Undirected,1,2009
Yeshiva University,Columbia University,Undirected,1,2009
University Of Michigan,Columbia University,Undirected,1,2009
Stanford University,Columbia University,Undirected,1,2009
Brandeis University,Columbia University,Undirected,1,2009
New York University,Columbia University,Undirected,1,2009
University Of Southern California,Cornell University,Undirected,1,2009
