Year,Name,Position,Institution,SubInstitution,Education,AffiliationId,carnegie_id,PrimarySample,FixedPosition
2010,Walter F Ulloa,Trustee,Loyola Marymount University,,USC; Loyola U (Los Angeles),35566140.0,117946.0,True,Regent
2010,Rosemary L Turner,Trustee,Loyola Marymount University,,,35566140.0,117946.0,True,Regent
2010,Michael R Steed,Trustee,Loyola Marymount University,,Loyola Marymount 1971; Loyola U (Los Angeles) 1974 JD,35566140.0,117946.0,True,Regent
2010,Rita Arthur Rshm Phd,Trustee,Loyola Marymount University,,,35566140.0,117946.0,True,Regent
2010,Laura D Williamson,Trustee,Loyola Marymount University,,Loyola Marymount 1974,35566140.0,117946.0,True,Regent
2010,Robert C Baker,Trustee,Loyola Marymount University,,Yale 1956 BA. 1959 LLB,35566140.0,117946.0,True,Regent
2010,Robert J Abernethy,Trustee,Loyola Marymount University,,,35566140.0,117946.0,True,Regent
2010,Irma J Browndillon,Trustee,Loyola Marymount University,,Loyola Marymount 1970; Loyola U (Los Angeles) 1973,35566140.0,117946.0,True,Regent
2010,Larry R Carter,Trustee,Loyola Marymount University,,Arizona State 1974 BS,35566140.0,117946.0,True,Regent
2010,John F Cosgrove,Trustee,Loyola Marymount University,,Lovola Marymount 1977 MA,35566140.0,117946.0,True,Regent
2010,Frederick B Craves,Trustee,Loyola Marymount University,,Georgetown 1967 BS; UC San Francisco PhD,35566140.0,117946.0,True,Regent
2010,Rudy F Deleon,Trustee,Loyola Marymount University,,Loyola Marymount 1974,35566140.0,117946.0,True,Regent
2010,R Chad Dreier,Chair,Loyola Marymount University,,Loyola Marymount 1969 BS,35566140.0,117946.0,True,Board President
2010,Edward P Roski,Trustee,Loyola Marymount University,,USC 1962 BS,35566140.0,117946.0,True,Regent
2010,Elizabeth Liz Garcia,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,True,Overseer
2010,Vincent L Decaprio,Trustee,New Jersey Institute Of Technology,,NJIT 1972,118118575.0,185828.0,True,Overseer
2010,Binay Sugla,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,True,Overseer
2010,Kathleen Wielkopolski,Chairman,New Jersey Institute Of Technology,,,118118575.0,185828.0,True,Board President
2010,Derish Wolff,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,True,Overseer
2010,Anthony J Knapp,Trustee,New Jersey Institute Of Technology,,,118118575.0,185828.0,True,Overseer
