Year,Institution,AffiliationId,Interlock_Count,Board_Size,Total_Interlocks,University_Count,Density,Avg_Path_Unweighted,Avg_Path_Weighted,Global_Clustering,Num_Components
1999,Adelphi University,71965598,1,17,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,American University,181401687,0,28,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Andrews University,102298084,4,36,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Arizona Board of Regents,203172682,1,12,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Auburn University,82497590,3,12,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Ball State University,198089087,0,9,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Baylor University,157394403,2,36,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Biola University,152479009,0,23,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Boston College,103531236,0,37,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Boston University,111088046,3,51,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Brandeis University,6902469,3,46,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Brown University,27804330,4,54,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,California State University System,127339247,3,23,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Carnegie Mellon University,74973139,11,92,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Case Western Reserve University,58956616,3,51,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Catholic University Of America,84470341,2,41,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Central Michigan University,1629065,1,7,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Chapman University,185071736,4,40,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Clark Atlanta University,52064589,5,28,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Clark University,130785548,0,21,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Clarkson University,16944753,1,25,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Clemson University,8078737,1,58,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,College Of William And Mary,16285277,0,16,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Colorado School Of Mines,167576493,0,7,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Columbia University,78577930,2,25,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Cornell University,205783295,5,46,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Dartmouth College,107672454,2,16,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Drexel University,72816309,3,39,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Duke University,170897317,0,32,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Duquesne University,165102784,4,45,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Eastern Michigan University,138216421,1,33,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Emory University,150468666,4,41,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Florida Institute Of Technology,106959904,0,26,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Fordham University,164389053,4,34,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,George Mason University,162714631,1,15,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,George Washington University,193531525,2,43,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Georgetown University,184565670,4,42,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Harvard University,136199984,3,37,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Hofstra University,139290212,2,39,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Howard University,137853757,1,26,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Illinois Institute Of Technology,180949307,2,59,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Illinois State University,47301684,0,7,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Indiana State University,86420138,2,9,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,James Madison University,11883440,0,17,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Johns Hopkins University,145311948,3,61,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Lehigh University,186143895,2,38,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Loma Linda University,26347476,4,24,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
1999,Long Island University,138873065,0,98,148,100,0.023434343434343436,5.56994482310938,0.06640102900089663,0.22265625,8
