Id,Label,Interlock_Count,AffiliationId,Board_Size
University of Maine System,University of Maine System,0,2802397601,16
University of Massachusetts System,University of Massachusetts System,0,2802841742,22
University of Missouri System,University of Missouri System,0,4777552,10
University of Nebraska System,University of Nebraska System,0,2802450327,12
University of North Carolina System,University of North Carolina System,2,4210158053,104
University of North Texas System,University of North Texas System,1,2802090120,9
University of Tennessee System,University of Tennessee System,2,2799495847,36
University of Texas System,University of Texas System,0,16452829,17
University of Wisconsin System,University of Wisconsin System,0,1304256225,17
Vanderbilt University,Vanderbilt University,0,200719446,38
Villanova University,Villanova University,1,7863295,26
Virginia Commonwealth University,Virginia Commonwealth University,0,184840846,16
Virginia Polytechnic Institute And State University,Virginia Polytechnic Institute And State University,0,859038795,17
Wake Forest University,Wake Forest University,1,47251452,42
Washington State University,Washington State University,0,72951846,10
Washington University,Washington University,0,204465549,50
West Virginia University,West Virginia University,15,12097938,18
Western Michigan University,Western Michigan University,0,141649380,8
Widener University,Widener University,0,138659443,26
Worcester Polytechnic Institute,Worcester Polytechnic Institute,1,107077323,38
Yale University,Yale University,1,32971472,19
Yeshiva University,Yeshiva University,3,19772626,98
