Year,Name,Position,Institution,SubInstitution,Education,AffiliationId,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
2011,Thomas A. Gottschalk,Trustee,American University,,Earlham 1964 BA; Chicago 1967 JD,181401687.0,131159.0,,,Trustee,True,
2011,Jerome King Del Pino,Ex Officio Trustee,American University,,,181401687.0,131159.0,,,"Trustee, Ex Officio",True,
2011,David R. Drobis,Trustee,American University,,American U 1965 MA,181401687.0,131159.0,,,Trustee,True,
2011,Marc N. Duber,Trustee,American University,,American U 1981 BS,181401687.0,131159.0,,,Trustee,True,
2011,Hani M. S. Farsi,Trustee,American University,,American U BA,181401687.0,131159.0,,,Trustee,True,
2011,Ronald Frey,Student Trustee,American University,,,181401687.0,131159.0,,,Trustee,True,
2011,Pamela M. Deese,Trustee,American University,,"American U 1980 BS, 1983 JE",181401687.0,131159.0,,,Trustee,True,
2011,Dolores E. Slikkers,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Jan Paulsen,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Barbara J. Randall,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,David R. Rowe,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Donald C. Schneider,Trustee,Andrews University,,Union Col (NE); Andrews,102298084.0,168740.0,,,Trustee,True,
2011,"William G. C. Murdoch, Jr",Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Glynn Scott,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Paul A. Stokstad,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Dana L. Wales,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Max Torkelsen II,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Max A. Trevino,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Lynne K. Waihee,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Rebekah Wang Cheng,Trustee,Andrews University,,Loma Linda 1978 MD,102298084.0,168740.0,,,Trustee,True,
2011,Dave Weigley,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Danielle Wuchenich,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Edward E. Zinke,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Naomi McKenzie,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Garry Sudds,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Margaret McFarland,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Juan R. Prestol,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Don Livesay,Vice Chairmar,Andrews University,,Andrews 1976 MDiv,102298084.0,168740.0,,,Board Vice President,True,
2011,Niels-Erik A. Andreasen,Secretary of the Board,Andrews University,,,102298084.0,168740.0,,,Other Board Member,True,
2011,Matthew Bediako,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Fred M. Manchur,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Jerome Davis,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Ken Denslow,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,C. Garland Dulan,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Jay Gallimore,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Cletus R. Georges,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Lynn S. Gray,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Donald W. Corkum,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Loren Hamel,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Edwin Hernandez,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Roscoe Howard III,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Van G. Hurst,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Sandra K. Johnson,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Gerry D. Karst,Chairman,Andrews University,,,102298084.0,168740.0,,,Board President,True,
2011,Robert E. Lemon,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,Rodney A. Grove,Trustee,Andrews University,,,102298084.0,168740.0,,,Trustee,True,
2011,"Frederick ""Fred"" Corey",Director,Arizona Board of Regents,School Of Letters And Sciences,,55732556.0,104151.0,0.0,742.0,Director,True,Arizona Board of Regents
2011,Elizabeth D. Capaldi,Executive Vice President,Arizona Board of Regents,Arizona State University At Tempe Campus,,55732556.0,104151.0,1.0,745.0,Board Vice President,True,Arizona Board of Regents
2011,Elizabeth D. Capaldi,University Provost,Arizona Board of Regents,Arizona State University At Tempe Campus,,55732556.0,104151.0,2.0,746.0,Director,True,Arizona Board of Regents
2011,Virgil Renzulli,"Vice President, Public Affairs",Arizona Board of Regents,Arizona State University At Tempe Campus,,55732556.0,104151.0,10.0,754.0,Board Vice President,True,Arizona Board of Regents
2011,Elizabeth Langland,University Vice President,Arizona Board of Regents,New College Of Interdisciplinary Arts And Sciences,,55732556.0,104151.0,23.0,784.0,Board Vice President,True,Arizona Board of Regents
2011,James Rund,"Senior Vice President, Educational Outreach and Student Services",Arizona Board of Regents,Arizona State University At Tempe Campus,,55732556.0,104151.0,4.0,748.0,Board Vice President,True,Arizona Board of Regents
2011,"R. F. ""Rick"" Shangraw, Jr",Senior Vice President. Research and Economic Affairs,Arizona Board of Regents,Arizona State University At Tempe Campus,,55732556.0,104151.0,5.0,749.0,Board Vice President,True,Arizona Board of Regents
2011,Christine K. Wilkinson,Senior Vice President,Arizona Board of Regents,Arizona State University At Tempe Campus,,55732556.0,104151.0,6.0,750.0,Board Vice President,True,Arizona Board of Regents
2011,Christine K. Wilkinson,Secretary Of The University,Arizona Board of Regents,Arizona State University At Tempe Campus,,55732556.0,104151.0,7.0,751.0,Other Board Member,True,Arizona Board of Regents
2011,Christine K. Wilkinson,"President, Alumni Association",Arizona Board of Regents,Arizona State University At Tempe Campus,,55732556.0,104151.0,8.0,752.0,Board President,True,Arizona Board of Regents
