Id,Source,Target,Type,Weight,Year
e_2011_1,Brandeis University,Cornell University,Undirected,1,2011
e_2011_2,Clark Atlanta University,Emory University,Undirected,1,2011
e_2011_3,Catholic University Of America,Fordham University,Undirected,1,2011
e_2011_4,Boston College,Fordham University,Undirected,1,2011
e_2011_5,Duke University,Johns Hopkins University,Undirected,1,2011
e_2011_6,Andrews University,Loma Linda University,Undirected,1,2011
e_2011_7,Boston College,Loyola University Chicago,Undirected,1,2011
e_2011_8,Fordham University,Loyola University Chicago,Undirected,1,2011
e_2011_9,Boston College,Marquette University,Undirected,1,2011
e_2011_10,Boston University,Massachusetts Institute Of Technology,Undirected,1,2011
e_2011_11,Fordham University,New School,Undirected,1,2011
e_2011_12,Cornell University,New School,Undirected,1,2011
e_2011_13,Massachusetts Institute Of Technology,New School,Undirected,1,2011
e_2011_14,Howard University,New School,Undirected,1,2011
e_2011_15,Brandeis University,New York University,Undirected,1,2011
e_2011_16,New School,New York University,Undirected,1,2011
e_2011_17,Drexel University,Pennsylvania State System Of Higher Education,Undirected,1,2011
e_2011_18,Pennsylvania State System Of Higher Education,Pennsylvania State University,Undirected,1,2011
e_2011_19,Catholic University Of America,Seton Hall University,Undirected,1,2011
e_2011_20,Rensselaer Polytechnic Institute,St Johns University,Undirected,1,2011
e_2011_21,Catholic University Of America,St Johns University,Undirected,1,2011
e_2011_22,St Johns University,State University Of New York System,Undirected,1,2011
e_2011_23,Rensselaer Polytechnic Institute,State University Of New York System,Undirected,1,2011
e_2011_24,Rochester Institute Of Technology,Syracuse University,Undirected,1,2011
e_2011_25,Dartmouth College,Texas Christian University,Undirected,1,2011
e_2011_26,Auburn University,University of Alabama System,Undirected,1,2011
e_2011_27,Georgetown University,University Of Chicago,Undirected,1,2011
e_2011_28,Loyola University Chicago,University Of Chicago,Undirected,1,2011
e_2011_29,Johns Hopkins University,University Of Chicago,Undirected,1,2011
e_2011_30,Duke University,University Of Chicago,Undirected,1,2011
e_2011_31,Illinois Institute Of Technology,University Of Chicago,Undirected,1,2011
e_2011_32,Howard University,University Of Delaware,Undirected,1,2011
e_2011_33,Louisiana State University System,University Of Notre Dame,Undirected,1,2011
e_2011_34,Pennsylvania State System Of Higher Education,University Of Pittsburgh,Undirected,1,2011
e_2011_35,Pennsylvania State University,University Of Pittsburgh,Undirected,1,2011
e_2011_36,Carnegie Mellon University,University Of Pittsburgh,Undirected,1,2011
e_2011_37,Chapman University,University Of San Diego,Undirected,1,2011
e_2011_38,University Of South Alabama,University of Alabama System,Undirected,2,2011
e_2011_39,Auburn University,University Of South Alabama,Undirected,1,2011
e_2011_40,Cornell University,University Of Southern California,Undirected,1,2011
e_2011_41,University Of California System,University Of Southern California,Undirected,1,2011
e_2011_42,St Johns University,University Of St Thomas Minnesota,Undirected,1,2011
e_2011_43,Seton Hall University,University Of St Thomas Minnesota,Undirected,1,2011
e_2011_44,Georgetown University,University Of St Thomas Minnesota,Undirected,1,2011
e_2011_45,University Of San Diego,University Of St Thomas Minnesota,Undirected,1,2011
e_2011_46,Cornell University,University Of Tulsa,Undirected,1,2011
e_2011_47,Howard University,University Of Virginia,Undirected,1,2011
e_2011_48,New School,University Of Virginia,Undirected,1,2011
e_2011_49,Mercer University,University System Of Georgia,Undirected,4,2011
e_2011_50,Dartmouth College,University System Of New Hampshire,Undirected,1,2011
e_2011_51,University Of St Thomas Minnesota,Vanderbilt University,Undirected,1,2011
e_2011_52,University Of Pacific,Washington University,Undirected,1,2011
e_2011_53,Carnegie Mellon University,West Virginia University,Undirected,1,2011
e_2011_54,University Of Connecticut,Yale University,Undirected,1,2011
e_2011_55,Massachusetts Institute Of Technology,Yale University,Undirected,1,2011
