Id,Source,Target,Type,Weight,Year
e_2008_1,Brandeis University,Columbia University,Undirected,1,2008
e_2008_2,Fordham University,Georgetown University,Undirected,2,2008
e_2008_3,Boston College,Georgetown University,Undirected,1,2008
e_2008_4,Duke University,Johns Hopkins University,Undirected,1,2008
e_2008_5,Andrews University,Loma Linda University,Undirected,5,2008
e_2008_6,Boston College,Loyola University Chicago,Undirected,1,2008
e_2008_7,Fordham University,Loyola University Chicago,Undirected,1,2008
e_2008_8,Loyola University Chicago,Marquette University,Undirected,1,2008
e_2008_9,Howard University,Massachusetts Institute Of Technology,Undirected,1,2008
e_2008_10,Cornell University,Massachusetts Institute Of Technology,Undirected,1,2008
e_2008_11,Clemson University,Mercer University,Undirected,1,2008
e_2008_12,Massachusetts Institute Of Technology,New School,Undirected,1,2008
e_2008_13,Cornell University,New School,Undirected,1,2008
e_2008_14,Georgetown University,New York University,Undirected,2,2008
e_2008_15,New School,New York University,Undirected,1,2008
e_2008_16,Columbia University,New York University,Undirected,1,2008
e_2008_17,Brandeis University,New York University,Undirected,1,2008
e_2008_18,Clarkson University,New York University,Undirected,1,2008
e_2008_19,Pennsylvania State System Of Higher Education,Pennsylvania State University,Undirected,2,2008
e_2008_20,New School,Princeton University,Undirected,1,2008
e_2008_21,Catholic University Of America,Seton Hall University,Undirected,1,2008
e_2008_22,Rensselaer Polytechnic Institute,St Johns University,Undirected,1,2008
e_2008_23,Rice University,Stanford University,Undirected,1,2008
e_2008_24,Rochester Institute Of Technology,Syracuse University,Undirected,1,2008
e_2008_25,Syracuse University,Temple University,Undirected,1,2008
e_2008_26,Brown University,Tufts University,Undirected,1,2008
e_2008_27,University Of Arkansas System,University Of California System,Undirected,1,2008
e_2008_28,University Of California System,University Of Chicago,Undirected,1,2008
e_2008_29,Tufts University,University Of Chicago,Undirected,1,2008
e_2008_30,Carnegie Mellon University,University Of Chicago,Undirected,1,2008
e_2008_31,Illinois Institute Of Technology,University Of Chicago,Undirected,1,2008
e_2008_32,Princeton University,University Of Chicago,Undirected,1,2008
e_2008_33,Duke University,University Of Chicago,Undirected,1,2008
e_2008_34,Johns Hopkins University,University Of Chicago,Undirected,1,2008
e_2008_35,Illinois Institute Of Technology,University Of Connecticut,Undirected,1,2008
e_2008_36,Tufts University,University Of New Mexico,Undirected,1,2008
e_2008_37,New Jersey Institute Of Technology,University Of Notre Dame,Undirected,1,2008
e_2008_38,Pennsylvania State System Of Higher Education,University Of Pittsburgh,Undirected,2,2008
e_2008_39,Pennsylvania State University,University Of Pittsburgh,Undirected,2,2008
e_2008_40,Carnegie Mellon University,University Of Pittsburgh,Undirected,2,2008
e_2008_41,Chapman University,University Of San Diego,Undirected,1,2008
e_2008_42,Auburn University,University Of South Alabama,Undirected,1,2008
e_2008_43,University Of California System,University Of Southern California,Undirected,1,2008
e_2008_44,Cornell University,University Of Southern California,Undirected,1,2008
e_2008_45,Catholic University Of America,University Of St Thomas Minnesota,Undirected,1,2008
e_2008_46,Seton Hall University,University Of St Thomas Minnesota,Undirected,1,2008
e_2008_47,Georgetown University,University Of St Thomas Minnesota,Undirected,1,2008
e_2008_48,Cornell University,University Of Tulsa,Undirected,1,2008
e_2008_49,Mercer University,University System Of Georgia,Undirected,2,2008
e_2008_50,Clark Atlanta University,University System Of Georgia,Undirected,1,2008
e_2008_51,University Of South Alabama,University of Alabama System,Undirected,1,2008
e_2008_52,Auburn University,University of Alabama System,Undirected,1,2008
e_2008_53,New York University,Vanderbilt University,Undirected,1,2008
e_2008_54,University Of St Thomas Minnesota,Vanderbilt University,Undirected,1,2008
e_2008_55,University Of Alaska System,Worcester Polytechnic Institute,Undirected,1,2008
e_2008_56,Boston College,Worcester Polytechnic Institute,Undirected,1,2008
e_2008_57,Massachusetts Institute Of Technology,Yale University,Undirected,1,2008
e_2008_58,University Of Connecticut,Yale University,Undirected,1,2008
e_2008_59,Johns Hopkins University,Yeshiva University,Undirected,1,2008
e_2008_60,Fordham University,Yeshiva University,Undirected,1,2008
e_2008_61,Columbia University,Yeshiva University,Undirected,1,2008
